CuspID,Origin_time,Record,Mw,MwUncert,TectClass,Mech,PreferredFaultPlane,Strike,Dip,Rake,Location,HypLat,HypLon,StationLat,StationLon,HypN,HypE,StationN,StationE,LENGTH_km,WIDTH_km,Repi_km,Rhyp_km,Rjb_km,Rrup_km,Rx_km,Ry_km,Rvol_km,HypDepth_km,ZTOR_km,HWFW,SiteCode,SiteClass1170,Vs30,Vs30Uncert,Tsite,TsiteUncert,Z1,Z1Uncertainty,Directivity,Pulse_or,Pulse_T,S_Trigger_Flag,fcButterHP,f_iniLP,fmin,fmax,References,f100.0000SA_RotD50,f50.0000SA_RotD50,f33.3333SA_RotD50,f25.0000SA_RotD50,f20.0000SA_RotD50,f13.3333SA_RotD50,f10.0000SA_RotD50,f6.6667SA_RotD50,f5.0000SA_RotD50,f4.0000SA_RotD50,f3.3333SA_RotD50,f2.5000SA_RotD50,f2.0000SA_RotD50,f1.3333SA_RotD50,f1.0000SA_RotD50,f0.6667SA_RotD50,f0.5000SA_RotD50,f0.3333SA_RotD50,f0.2500SA_RotD50,f0.2000SA_RotD50,f0.1333SA_RotD50,f0.1000SA_RotD50,f100.0000SA_RotD100,f50.0000SA_RotD100,f33.3333SA_RotD100,f25.0000SA_RotD100,f20.0000SA_RotD100,f13.3333SA_RotD100,f10.0000SA_RotD100,f6.6667SA_RotD100,f5.0000SA_RotD100,f4.0000SA_RotD100,f3.3333SA_RotD100,f2.5000SA_RotD100,f2.0000SA_RotD100,f1.3333SA_RotD100,f1.0000SA_RotD100,f0.6667SA_RotD100,f0.5000SA_RotD100,f0.3333SA_RotD100,f0.2500SA_RotD100,f0.2000SA_RotD100,f0.1333SA_RotD100,f0.1000SA_RotD100,PGA_RotD50,PGA_RotD100,PGV_RotD50,PGV_RotD100
1553782,1971-08-13T14:42:41.636000Z,A71053A1,5.7,0.15,Crustal,S,1,242,83,207,special,-42.13,172.1,-42.3786,172.3329,5897058.69,2435589.3,5869623,2455066,6.51,6.51,33.64,34.99,33.13,33.79,-32.97,-4.32,0,9,5.77,fw,053A,C,391,Q3,0.27,Q3,20,Q3,0,-99999,-99999,1,0.4,18,0.68,18,Anderson_etal_1993&Dowrick_Rhoades_1998,0.05613894,0.056676195,0.057669111,0.058748161,0.060063548,0.060926727,0.063125841,0.070989884,0.072150724,0.072175479,0.071240227,0.05863606,0.046691248,0.032982168,0.022684803,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.070782724,0.071180724,0.071794746,0.072792353,0.074542619,0.079714797,0.079634663,0.077265259,0.085751048,0.085189554,0.088072803,0.077936584,0.063233296,0.042701872,0.029167245,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.056127,0.07071,0.042573,0.053299
1556608,1975-06-10T10:11:17.094000Z,K75301A2,5.62,0.15,Slab,N,1,250,56,257,special,-40.34,175.93,-40.3553,175.6152,6092087.55,2758882.27,6091232,2732094,5.9,5.9,26.73,46.53,23.88,44.21,10.02,25.47,0,38,35.54,nu,301A,D,341,Q3,0.7,Q2,60,Q3,0,-99999,-99999,1,0.4,19,0.68,19,Webb_Anderson_1998&Dowrick_Rhoades1998,0.037900947,0.038432751,0.039155367,0.040649023,0.042456655,0.046949561,0.050478352,0.047621729,0.041454948,0.038090293,0.03720516,0.03210021,0.028719302,0.019201148,0.012067778,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.043939885,0.04415614,0.04467385,0.045500799,0.046573316,0.051631293,0.053718382,0.052459627,0.052489517,0.053559073,0.052141287,0.045044512,0.038583183,0.026730124,0.015747723,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.037864,0.043987,0.023645,0.030684
1556608,1975-06-10T10:11:17.094000Z,K75340A1,5.62,0.15,Slab,N,1,250,56,257,special,-40.34,175.93,-40.3863,175.6165,6092087.55,2758882.27,6087788,2732102,5.9,5.9,27.06,46.71,24.14,44.26,6.78,26.64,0,38,35.54,nu,340A,D,283,Q3,0.96,Q3,90,Q3,0,-99999,-99999,1,0.65,18,1.105,18,Webb_Anderson_1998&Dowrick_Rhoades1998,0.049356257,0.049592023,0.050090153,0.050811314,0.051434004,0.056139241,0.060212952,0.064063655,0.070233745,0.064491068,0.053691009,0.04087849,0.031146606,0.016881984,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.063117445,0.06372358,0.064479147,0.065332843,0.06653395,0.071158263,0.075860611,0.082159867,0.080696999,0.072385929,0.069973681,0.04874813,0.034808144,0.020826246,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.049392,0.063153,0.024416,0.028186
1557438,1976-05-04T13:56:29.201000Z,A76080B1,6.51,0.15,Interface,O,1,48,47,130,special,-44.67,167.45,-44.6729,167.9264,5600506.59,2070223.23,5602634,2107939,22.44,22.44,37.67,39.08,27.88,31.04,31.31,29.45,0,10,1.79,nu,080B,C,210,Q3,0.57,Q3,30,Q3,0,-99999,-99999,1,0.2,29,0.34,29,Anderson_etal_1993&Dowrick_Rhoades_1998,0.088194354,0.088781682,0.089762627,0.090361554,0.089600309,0.09044327,0.093465462,0.10243229,0.107825483,0.114490769,0.123534707,0.130917101,0.125164838,0.072577754,0.04395124,0.020876444,0.012542133,-99999,-99999,-99999,-99999,-99999,0.098389889,0.098811599,0.099901631,0.101835379,0.102378662,0.102780748,0.105431255,0.122750186,0.131172851,0.135932916,0.143244884,0.152058827,0.151005175,0.092279668,0.058441473,0.029370219,0.015078299,-99999,-99999,-99999,-99999,-99999,0.087882,0.098438,0.089847,0.115009
1557438,1976-05-04T13:56:29.201000Z,K76070A1,6.51,0.15,Interface,O,1,48,47,130,special,-44.67,167.45,-45.4167,167.7191,5600506.59,2070223.23,5519112,2096857,22.44,22.44,85.68,86.25,77.38,79.21,85.96,-34.67,0,10,1.79,nu,TAFS,D,298,Q3,1.4,Q3,200,Q3,0,-99999,-99999,1,0.28,11,0.476,11,Anderson_etal_1993&Dowrick_Rhoades_1998,0.024404926,0.024483825,0.02457945,0.024746073,0.024993398,0.026379321,0.028796324,0.029439324,0.029566418,0.032320562,0.033247222,0.029323716,0.025964931,0.02338829,0.020010974,0.015420589,0.010238417,-99999,-99999,-99999,-99999,-99999,0.029504843,0.029578014,0.029727675,0.029950136,0.030285642,0.032258631,0.035497707,0.035037281,0.033493123,0.035525331,0.036908331,0.031915407,0.030677548,0.032120675,0.023842808,0.016881281,0.012136735,-99999,-99999,-99999,-99999,-99999,0.024409,0.029457,0.031912,0.037482
1557438,1976-05-04T13:56:29.201000Z,K76089A1,6.51,0.15,Interface,O,1,48,47,130,special,-44.67,167.45,-44.6946,169.143,5600506.59,2070223.23,5605452,2204373,22.44,22.44,133.87,134.63,124.04,125.19,93.74,103,0,10,1.79,nu,WNPS,D,330,Q3,2.1,Q3,300,Q3,0,-99999,-99999,1,0.25,15,0.425,15,Anderson_etal_1993&Dowrick_Rhoades_1998,0.03102321,0.031125086,0.03120172,0.031329727,0.031725534,0.032804512,0.034837257,0.03752001,0.041826091,0.043274953,0.041481611,0.037502964,0.037996056,0.033926785,0.026771819,0.021831583,0.013719031,-99999,-99999,-99999,-99999,-99999,0.039753555,0.039843013,0.040002291,0.040272097,0.040517099,0.041897022,0.043824516,0.047817349,0.046916478,0.046384331,0.044917654,0.042489188,0.041086026,0.039142078,0.03159126,0.024700584,0.01545251,-99999,-99999,-99999,-99999,-99999,0.031017,0.039762,0.04426,0.048661
1558224,1977-01-18T05:41:48.207000Z,A77048C1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.5138,173.9572,5941084.19,2618142.66,5965463,2589883,9.4,9.4,37.28,50.49,35.45,48.97,38.74,-5.05,0,34,29.64,nu,048C,D,235,Q3,0.9,Q3,64,Q3,0,-99999,-99999,1,0.4,13,0.68,13,Webb_Anderson_1998&Dowrick_Rhoades1998,0.037001585,0.037105477,0.037266179,0.037498769,0.037948861,0.039699385,0.041781705,0.045661698,0.05253728,0.057349369,0.052886178,0.035624048,0.029173897,0.022850175,0.015821612,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.041483484,0.041618194,0.041916078,0.042353068,0.042887863,0.044813736,0.04729768,0.050527311,0.056172908,0.061167544,0.061404364,0.041647697,0.034507139,0.024297477,0.019866865,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.036924,0.041508,0.022251,0.027174
1558224,1977-01-18T05:41:48.207000Z,A77601A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2263,174.8719,5941084.19,2618142.66,5996147,2666912,9.4,9.4,73.53,81.03,68.88,76.33,-9.15,-72.74,0,34,29.64,nu,601A,D,161,Q3,2.3,Q3,297,Q3,0,-99999,-99999,1,0.4,20,0.68,20,Webb_Anderson_1998&Dowrick_Rhoades1998,0.043754917,0.043960292,0.044425521,0.044802394,0.045147892,0.046546543,0.049878301,0.055928316,0.058750863,0.055044148,0.044558527,0.040256996,0.033784297,0.026364837,0.015967107,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.055710713,0.056011359,0.056681583,0.057625425,0.058772473,0.063012393,0.068787432,0.074847088,0.078590533,0.071132755,0.059745494,0.044206009,0.043351949,0.028395542,0.017598526,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.043685,0.055421,0.023094,0.026097
1558224,1977-01-18T05:41:48.207000Z,A77902A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2776,174.7793,5941084.19,2618142.66,5990617,2659034,9.4,9.4,64.22,72.68,59.54,67.99,-5.56,-63.81,0,34,29.64,nu,902A,D,275,Q2,1.25,Q2,1.32E+02,Q2,0,-99999,-99999,1,0.5,20,0.85,20,Webb_Anderson_1998&Dowrick_Rhoades1998,0.08195971,0.082412355,0.082844307,0.083632854,0.084931417,0.086740512,0.09840914,0.11157654,0.116262515,0.119799732,0.112282982,0.091257822,0.075334889,0.038310164,0.019550743,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.11207126,0.11254178,0.113409488,0.114891946,0.116625101,0.121595035,0.13356392,0.147779664,0.142160838,0.154966985,0.15287185,0.128005007,0.104204509,0.053681634,0.024687818,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.081898,0.112007,0.047444,0.060139
1558224,1977-01-18T05:41:48.207000Z,A77907A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2788,174.7785,5941084.19,2618142.66,5990481,2658964,9.4,9.4,64.07,72.55,59.39,67.86,-5.57,-63.66,0,34,29.64,nu,907A,D,250,Q2,1.2,Q2,116,Q2,0,-99999,-99999,1,0.47,18,0.799,18,Webb_Anderson_1998&Dowrick_Rhoades1998,0.079745176,0.079945578,0.080302386,0.080857962,0.081716387,0.087563486,0.093862302,0.105444035,0.110476758,0.110233052,0.103058591,0.0889582,0.07809781,0.037016256,0.019261327,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.088818441,0.089008562,0.089353749,0.089967428,0.090816677,0.093188135,0.105179063,0.114358999,0.120163927,0.129196798,0.125955745,0.106611465,0.085605306,0.043998689,0.026514691,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.079581,0.088573,0.052515,0.058943
