CuspID,Origin_time,Record,Mw,MwUncert,TectClass,Mech,PreferredFaultPlane,Strike,Dip,Rake,Location,HypLat,HypLon,StationLat,StationLon,HypN,HypE,StationN,StationE,LENGTH_km,WIDTH_km,Repi_km,Rhyp_km,Rjb_km,Rrup_km,Rx_km,Ry_km,Rvol_km,HypDepth_km,ZTOR_km,HWFW,SiteCode,SiteClass1170,Vs30,Vs30Uncert,Tsite,TsiteUncert,Z1,Z1Uncertainty,Directivity,Pulse_or,Pulse_T,S_Trigger_Flag,fcButterHP,f_iniLP,fmin,fmax,References,f100.0000SA_Vert,f50.0000SA_Vert,f33.3333SA_Vert,f25.0000SA_Vert,f20.0000SA_Vert,f13.3333SA_Vert,f10.0000SA_Vert,f6.6667SA_Vert,f5.0000SA_Vert,f4.0000SA_Vert,f3.3333SA_Vert,f2.5000SA_Vert,f2.0000SA_Vert,f1.3333SA_Vert,f1.0000SA_Vert,f0.6667SA_Vert,f0.5000SA_Vert,f0.3333SA_Vert,f0.2500SA_Vert,f0.2000SA_Vert,f0.1333SA_Vert,f0.1000SA_Vert,PGA,PGV
164529,1990-10-04T23:48:26.123000Z,D90642E8,5.57,0.15,Interface,O,1,190,21,58,special,-41.61,175.44,-41.2341,174.918,5952370.8,2713346.37,5995197,2670758,4.5,4.5,60.35,61.96,58.2,60.01,51.48,-34.78,0,13.8,12.99,nu,642E,C,350,Q1,0.35,Q2,50,Q3,0,-99999,-99999,0,0.4,26,0.68,26,HarvardCMT&Luo(1992),0.019396845,0.019584764,0.019868483,0.020341423,0.028820749,0.030859381,0.035655605,0.057634963,0.050203244,0.042168685,0.053992226,0.022591834,0.016268594,0.015870407,0.019683137,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.019103,0.01108
164529,1990-10-04T23:48:26.123000Z,D90900B5,5.57,0.15,Interface,O,1,190,21,58,special,-41.61,175.44,-41.2921,174.779,5952370.8,2713346.37,5989003,2658976,4.5,4.5,65.46,67,63.34,65.08,62.01,-26.63,0,13.8,12.99,nu,941A,D,272,Q2,0.85,Q2,9.85E+01,Q2,0,-99999,-99999,0,0.4,10,0.68,10,HarvardCMT&Luo(1992),0.010488256,0.010511346,0.010547994,0.010741797,0.011144544,0.013270582,0.020894454,0.019913999,0.03666312,0.021402351,0.030058077,0.035657652,0.04863398,0.01987268,0.013773631,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.010489,0.00828
164529,1990-10-04T23:48:26.123000Z,D90935B2,5.57,0.15,Interface,O,1,190,21,58,special,-41.61,175.44,-41.2108,174.9047,5952370.8,2713346.37,5997808,2669699,4.5,4.5,62.96,64.5,60.81,62.54,52.97,-37.17,0,13.8,12.99,nu,935A,D,240,Q3,1.2,Q3,275,Q3,0,-99999,-99999,0,0.45,15,0.765,15,HarvardCMT&Luo(1992),0.008156861,0.008368141,0.008752815,0.00933851,0.010622802,0.022146014,0.021639161,0.031994619,0.022858471,0.026309496,0.018267585,0.016298424,0.018069615,0.013989634,0.012869438,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.007839,0.00692
164529,1990-10-04T23:48:26.123000Z,D90941A5,5.57,0.15,Interface,O,1,190,21,58,special,-41.61,175.44,-41.2921,174.779,5952370.8,2713346.37,5989003,2658976,4.5,4.5,65.46,67,63.34,65.08,62.01,-26.63,0,13.8,12.99,nu,941A,D,272,Q2,0.85,Q2,9.85E+01,Q2,0,-99999,-99999,0,0.51,21,0.867,21,HarvardCMT&Luo(1992),0.008643906,0.008701457,0.008789564,0.010224771,0.018440423,0.020646616,0.019736054,0.019819546,0.029410191,0.021183929,0.025149106,0.023225192,0.030455038,0.022294269,0.01470599,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.008644,0.00887
160610,1990-10-06T02:41:12.583000Z,D90900B6,5.46,0.15,Interface,O,1,250,38,145,special,-41.61,175.43,-41.2921,174.779,5952394.08,2712513.04,5989003,2658976,4,4,64.76,66.39,63.03,64.9,54.29,37.79,0,14.2,12.97,nu,941A,D,272,Q2,0.85,Q2,9.85E+01,Q2,0,-99999,-99999,0,0.4,15,0.68,15,HarvardCMT&Luo(1992),0.010841484,0.011067476,0.011461413,0.012200483,0.013621111,0.023692916,0.019881182,0.043250777,0.028102741,0.019994448,0.021489086,0.019011737,0.018714103,0.015272227,0.009447531,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.010693,0.00597
160610,1990-10-06T02:41:12.583000Z,D90935B3,5.46,0.15,Interface,O,1,250,38,145,special,-41.61,175.43,-41.2108,174.9047,5952394.08,2712513.04,5997808,2669699,4,4,62.37,64.01,60.72,62.65,58.89,24.7,0,14.2,12.97,nu,935A,D,240,Q3,1.2,Q3,275,Q3,0,-99999,-99999,0,0.3,15,0.51,15,HarvardCMT&Luo(1992),0.007299735,0.007507501,0.007876032,0.008561056,0.00997144,0.030313299,0.016030777,0.012510872,0.016320023,0.022350644,0.014785949,0.010812604,0.014475923,0.011817889,0.008104864,0.006033137,-9999,-9999,-9999,-9999,-9999,-9999,0.007136,0.00484
160610,1990-10-06T02:41:12.583000Z,D90941A6,5.46,0.15,Interface,O,1,250,38,145,special,-41.61,175.43,-41.2921,174.779,5952394.08,2712513.04,5989003,2658976,4,4,64.76,66.39,63.03,64.9,54.29,37.79,0,14.2,12.97,nu,941A,D,272,Q2,0.85,Q2,9.85E+01,Q2,0,-99999,-99999,0,0.45,15,0.765,15,HarvardCMT&Luo(1992),0.010379128,0.010625761,0.011070821,0.011850822,0.013315736,0.022602901,0.014077421,0.036775869,0.019165993,0.021303315,0.019629943,0.01476359,0.015082848,0.01536484,0.010235472,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.010285,0.005361
194283,1991-01-28T12:58:46.823000Z,A91083A1,5.76,0.08,Crustal,R,1,42,30,99,special,-41.89,171.58,-41.8311,171.6606,5923123.14,2392149.06,5929772,2398735,7,7,9.35,13.7,5.87,11.28,3.46,9.35,0,10,8.26,nu,083A,B,1200,Q3,<0.1,Q3,0,Q2,0,-99999,-99999,0,0.5,34,0.85,34,Anderson_etal_1993&Dowrick_Rhoades1998&HarvardCMT,0.144009072,0.153583821,0.212496643,0.380141355,0.276696796,0.260962966,0.180382152,0.300572758,0.273863255,0.120230049,0.128136492,0.14246881,0.087784548,0.093232383,0.076446908,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.141244,0.04469
201724,1991-01-28T18:00:53.158000Z,A91083A2,5.89,0.08,Crustal,S,1,48,77,11,special,-41.9,171.67,-41.8311,171.6606,5922133.85,2399635.78,5929772,2398735,8.1,8.1,7.7,14.26,5.85,10.38,-5.37,4.44,0,12,8.05,fw,083A,B,1200,Q3,<0.1,Q3,0,Q2,0,-99999,-99999,1,0.4,24.5,0.68,24.5,Anderson_etal_1993&Dowrick_Rhoades1998&HarvardCMT,0.056134552,0.057496289,0.065470049,0.087794676,0.143839103,0.244304485,0.130870272,0.124268944,0.082395763,0.092700904,0.055587522,0.085202034,0.039123774,0.035004089,0.029382077,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.054791,0.03579
201724,1991-01-28T18:00:53.158000Z,D91042A4,5.89,0.08,Crustal,S,1,48,77,11,special,-41.9,171.67,-42.5232,172.8305,5922133.85,2399635.78,5853765,2496076,8.1,8.1,118.06,118.86,116.84,117.93,116.25,25.92,0,12,8.05,nu,HSES,D,280,Q3,0.9,Q1,85,Q3,0,-99999,-99999,0,0.35,12,0.595,12,Anderson_etal_1993&Dowrick_Rhoades1998&HarvardCMT,0.012400965,0.012530954,0.01276069,0.013098633,0.013648407,0.017760178,0.022097671,0.017376124,0.026969244,0.029565365,0.033485613,0.022099369,0.016399226,0.024528034,0.014815256,0.011195146,-9999,-9999,-9999,-9999,-9999,-9999,0.012406,0.01057
201354,1991-02-15T10:48:09.669000Z,A91052A3,5.42,0.15,Crustal,R,0,213,37,90,geonet,-42.0386,171.5897,-42.1166,171.8604,5906631.78,2393229.54,5898305,2415760,4.7,4.7,23.97,25.04,22.28,23.52,-99999,-99999,0,6.92,5.27,nu,052A,C,333,Q3,0.3,Q3,30,Q3,0,-99999,-99999,0,0.5,42,0.85,42,HarvardCMT,0.099538233,0.152499635,0.347445649,0.290904125,0.275346785,0.217111027,0.216909419,0.146751376,0.141501474,0.082326707,0.039788327,0.039015562,0.029891232,0.023898787,0.03277303,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.100194,0.01704
255338,1991-09-08T13:50:30.989999Z,D91302A5,5.61,0.15,Slab,R,1,95,70,108,geonet,-40.2442,175.1672,-39.9338,175.053,6104594.2,2694363.31,6139282,2685450,5.9,5.9,35.86,93.81,34.54,90.88,-32.78,-11.9,0,86.69,83.93,nu,302A,D,250,Q2,0.8,Q3,80,Q3,0,-99999,-99999,0,0.5,26,0.85,26,HarvardCMT,0.048995062,0.050251681,0.052236192,0.068486967,0.078635654,0.139648115,0.120712802,0.10748272,0.11337207,0.073728891,0.03593031,0.044867348,0.033026624,0.015362936,0.011338261,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.048481,0.0119
255338,1991-09-08T13:50:30.989999Z,D91468A2,5.61,0.15,Slab,R,1,95,70,108,geonet,-40.2442,175.1672,-41.2011,174.9547,6104594.2,2694363.31,5998793,2673916,5.9,5.9,107.9,138.3,106.86,137.35,108.18,-11.15,0,86.69,83.93,nu,468A,D,190,Q1,0.9,Q3,50,Q3,0,-99999,-99999,0,0.5,29,0.85,29,HarvardCMT,0.022480644,0.022894,0.023914945,0.031582276,0.032455303,0.044221943,0.075867233,0.067758005,0.04652239,0.041314283,0.041588187,0.047488688,0.034855297,0.019209761,0.00761579,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.022467,0.00788
255338,1991-09-08T13:50:30.989999Z,D91606B1,5.61,0.15,Slab,R,1,95,70,108,geonet,-40.2442,175.1672,-41.2333,174.9199,6104594.2,2694363.31,5995282,2670919,5.9,5.9,111.94,141.47,110.88,140.55,111.94,-13.83,0,86.69,83.93,nu,606B,B,800,Q3,<0.1,Q3,0,Q3,0,-99999,-99999,0,0.5,13,0.85,13,HarvardCMT,0.00895323,0.009040872,0.009225417,0.009504108,0.009960484,0.013381475,0.015852966,0.015771734,0.02423057,0.044429598,0.0354643,0.011539217,0.008714152,0.002984222,0.001199888,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.008919,0.004181
255338,1991-09-08T13:50:30.989999Z,D91642E7,5.61,0.15,Slab,R,1,95,70,108,geonet,-40.2442,175.1672,-41.2341,174.918,6104594.2,2694363.31,5995197,2670758,5.9,5.9,112.06,141.57,111,140.65,112.04,-13.98,0,86.69,83.93,nu,642E,C,350,Q1,0.35,Q2,50,Q3,0,-99999,-99999,0,0.5,12,0.85,12,HarvardCMT,0.01197449,0.012046689,0.012163556,0.012329903,0.012558309,0.013949761,0.023634729,0.029959867,0.032483688,0.050126525,0.046914384,0.033300335,0.015808998,0.003347479,0.002075736,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.011978,0.006
255338,1991-09-08T13:50:30.989999Z,D91644C3,5.61,0.15,Slab,R,1,95,70,108,geonet,-40.2442,175.1672,-41.2187,174.8826,6104594.2,2694363.31,5996970,2667828,5.9,5.9,110.98,140.72,109.9,139.76,110.53,-17.05,0,86.69,83.93,nu,644C,D,189,Q3,2,Q3,250,Q3,0,-99999,-99999,0,0.6,15,1.02,15,HarvardCMT,0.015081016,0.015214277,0.015417816,0.015688025,0.016186032,0.021718855,0.031190723,0.035928997,0.033408067,0.058541395,0.040904847,0.028985262,0.02623239,0.007319256,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.014924,0.00634
255338,1991-09-08T13:50:30.989999Z,D91646A2,5.61,0.15,Slab,R,1,95,70,108,geonet,-40.2442,175.1672,-41.2574,174.9485,6104594.2,2694363.31,5992552,2673256,5.9,5.9,114.16,143.28,113.12,142.4,114.46,-11.26,0,86.69,83.93,nu,WDAS,E,120,Q1,1.6,Q2,62,Q2,0,-99999,-99999,0,0.7,30,1.19,30,HarvardCMT,0.020955699,0.021124478,0.021608656,0.036054547,0.037831836,0.032738562,0.035728356,0.034115892,0.048729661,0.081743377,0.058202334,0.066696847,0.062409292,0.0322797,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.020683,0.01372
255338,1991-09-08T13:50:30.989999Z,D91705B3,5.61,0.15,Slab,R,1,95,70,108,geonet,-40.2442,175.1672,-41.1391,174.8502,6104594.2,2694363.31,6005867,2665298,5.9,5.9,103.03,134.58,101.9,133.49,101.89,-20.35,0,86.69,83.93,nu,707A,C,570,Q3,0.15,Q3,10,Q3,0,-99999,-99999,0,0.7,13,1.19,13,HarvardCMT,0.016481384,0.016582342,0.016774376,0.017044552,0.017362869,0.02008134,0.027810428,0.030019161,0.049933124,0.049766974,0.038312282,0.027946225,0.014413358,0.0045695,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.016463,0.00593
