#ID,OT,Lat,Lon,Dep,NrStaMLv,NrStaMLNZ20,MLv,MLNZ20,Ratio MLNZ20/MLv
2026p024173,2026-01-09T22:39:36.2Z,-39.89,174.54,102,49,49,2.95,2.80,.9491
2026p024200,2026-01-09T22:54:21.9Z,-41.31,172.72,123,3,4,1.92,2.01,1.046
2026p024202,2026-01-09T22:55:17.6Z,-45.06,167.45,68,1,1,2.71,2.48,.9151
2026p024283,2026-01-09T23:39:23.9Z,-38.34,176.24,7,6,7,1.60,1.66,1.037
2026p024299,2026-01-09T23:46:54.0Z,-40.90,175.09,29,12,10,1.88,1.81,.9627
2026p024306,2026-01-09T23:50:37.2Z,-39.41,175.80,18,7,6,1.05,1.02,.9714
2026p024454,2026-01-10T01:09:32.4Z,-42.49,172.75,36,9,8,2.94,2.75,.9353
2026p024468,2026-01-10T01:16:53.0Z,-40.37,176.17,26,12,11,2.07,1.99,.9613
2026p024472,2026-01-10T01:18:51.9Z,-40.27,174.79,20,9,8,2.29,2.12,.9257
2026p024583,2026-01-10T02:17:57.7Z,-40.23,175.24,12,7,7,1.98,1.89,.9545
2026p024687,2026-01-10T03:13:45.1Z,-39.70,176.74,34,10,9,1.84,1.79,.9728
2026p024736,2026-01-10T03:39:25.1Z,-38.56,176.19,5,8,6,1.66,1.63,.9819
2026p024769,2026-01-10T03:57:22.7Z,-38.55,176.21,9,5,5,1.64,1.51,.9207
2026p024805,2026-01-10T04:16:26.6Z,-39.87,174.56,106,2,1,2.22,2.17,.9774
2026p024812,2026-01-10T04:20:01.4Z,-40.30,176.04,44,7,6,1.81,2.01,1.110
2026p024866,2026-01-10T04:48:48.8Z,-39.51,177.21,20,7,7,2.04,1.73,.8480
2026p024920,2026-01-10T05:17:35.1Z,-37.87,176.68,86,9,10,2.10,1.97,.9380
2026p024925,2026-01-10T05:20:20.5Z,-39.30,174.46,129,2,1,1.65,1.48,.8969
2026p024961,2026-01-10T05:39:32.8Z,-37.75,178.72,18,6,6,2.21,2.10,.9502
2026p025013,2026-01-10T06:07:24.5Z,-40.29,176.69,17,18,19,2.45,2.22,.9061
2026p025061,2026-01-10T06:33:07.7Z,-38.87,174.60,173,2,2,2.32,2.17,.9353
2026p025125,2026-01-10T07:06:34.4Z,-36.06,177.45,295,4,4,2.67,2.28,.8539
2026p025136,2026-01-10T07:12:28.0Z,-38.87,177.48,42,5,5,1.36,1.39,1.022
2026p025160,2026-01-10T07:25:35.2Z,-38.57,177.85,19,7,6,1.99,1.87,.9396
2026p025165,2026-01-10T07:28:20.2Z,-39.32,175.80,52,6,6,1.21,1.27,1.049
2026p025179,2026-01-10T07:35:46.0Z,-38.12,176.66,4,17,16,2.28,2.19,.9605
2026p025305,2026-01-10T08:42:40.2Z,-41.27,175.21,16,6,7,1.73,1.77,1.023
2026p025322,2026-01-10T08:51:36.5Z,-39.98,176.61,24,6,6,1.51,1.41,.9337
2026p025386,2026-01-10T09:26:02.9Z,-40.21,176.40,32,54,51,2.88,2.75,.9548
2026p025397,2026-01-10T09:31:47.8Z,-35.96,179.25,171,7,7,2.97,2.56,.8619
2026p025412,2026-01-10T09:40:02.5Z,-44.06,168.87,5,4,1,2.12,1.79,.8443
2026p025442,2026-01-10T09:55:59.5Z,-39.38,177.21,24,7,7,1.73,1.44,.8323
2026p025492,2026-01-10T10:22:20.8Z,-39.10,178.02,12,7,7,1.76,1.50,.8522
2026p025539,2026-01-10T10:47:38.1Z,-38.33,176.34,5,8,7,1.50,1.44,.9600
2026p025659,2026-01-10T11:51:30.0Z,-43.54,172.68,14,6,6,2.15,2.00,.9302
2026p025709,2026-01-10T12:18:01.8Z,-36.25,-179.39,100,7,7,3.28,2.87,.8750
2026p025839,2026-01-10T13:27:15.4Z,-40.71,174.10,61,7,7,2.04,1.90,.9313
2026p025916,2026-01-10T14:08:31.5Z,-41.19,172.52,193,7,7,2.05,2.28,1.112
2026p025926,2026-01-10T14:13:51.9Z,-39.17,177.60,19,22,22,2.50,2.32,.9280
2026p025973,2026-01-10T14:38:54.7Z,-37.54,177.17,5,10,10,2.10,1.96,.9333
2026p025974,2026-01-10T14:39:08.8Z,-37.49,177.14,5,18,18,2.88,2.82,.9791
2026p025976,2026-01-10T14:40:27.1Z,-37.45,177.12,5,48,46,3.19,3.23,1.012
2026p025987,2026-01-10T14:46:22.3Z,-37.43,177.18,5,12,12,2.49,2.36,.9477
2026p026035,2026-01-10T15:11:50.8Z,-38.20,177.69,51,11,11,2.65,2.62,.9886
2026p026046,2026-01-10T15:17:43.5Z,-38.36,177.17,31,7,7,2.14,1.97,.9205
2026p026057,2026-01-10T15:23:39.0Z,-39.15,177.58,16,11,11,2.52,2.16,.8571
2026p026095,2026-01-10T15:43:30.1Z,-39.02,174.53,18,5,3,1.57,1.06,.6751
2026p026112,2026-01-10T15:52:45.7Z,-40.69,175.75,19,9,9,1.69,1.51,.8934
2026p026142,2026-01-10T16:08:31.9Z,-40.09,175.05,18,2,2,1.46,1.34,.9178
