CuspID,Origin_time,Record,Mw,MwUncert,TectClass,Mech,PreferredFaultPlane,Strike,Dip,Rake,Location,HypLat,HypLon,StationLat,StationLon,HypN,HypE,StationN,StationE,LENGTH_km,WIDTH_km,Repi_km,Rhyp_km,Rjb_km,Rrup_km,Rx_km,Ry_km,Rvol_km,HypDepth_km,ZTOR_km,HWFW,SiteCode,SiteClass1170,Vs30,Vs30Uncert,Tsite,TsiteUncert,Z1,Z1Uncertainty,Directivity,Pulse_or,Pulse_T,S_Trigger_Flag,fcButterHP,f_iniLP,fmin,fmax,References,TotalDuration,D5_75_H1_sec,D5_75_H2_sec,D5_75_GM_sec,D5_95_H1_sec,D5_95_H2_sec,D5_95_GM_sec,D20_80_H1_sec,D20_80_H2_sec,D20_80_GM_sec
1558224,1977-01-18T05:41:48.207000Z,A77912A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.3264,174.809,5941084.19,2618142.66,5985141,2661416,9.4,9.4,61.72,70.5,57.11,65.8,-10.54,-60.52,0,34,29.64,nu,WNAS,D,239,Q2,0.78,Q2,64,Q2,0,-99999,-99999,0,0.45,24.5,0.765,24.5,Webb_Anderson_1998&Dowrick_Rhoades1998,50.17,6.85,5.96,6.39,22.89,20.07,21.43,5.5,7.61,6.47
1558224,1977-01-18T05:41:48.207000Z,A77913A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2875,174.7727,5941084.19,2618142.66,5989525,2658459,9.4,9.4,63.01,71.61,58.34,66.93,-5.67,-62.58,0,34,29.64,nu,913A,B,1000,Q3,<0.1,Q3,2,Q2,0,-99999,-99999,1,0.35,21,0.595,21,Webb_Anderson_1998&Dowrick_Rhoades1998,41.15,5.02,1.48,2.73,11.41,4.22,6.94,1.71,0.83,1.19
1558224,1977-01-18T05:41:48.207000Z,A77914A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.295,174.7735,5941084.19,2618142.66,5988691,2658509,9.4,9.4,62.4,76.37,57.73,71.7,-6.16,-61.91,0,34,29.64,nu,914B,D,282,Q2,0.61,Q2,4.65E+01,Q2,0,-99999,-99999,1,0.7,24.5,1.19,24.5,Webb_Anderson_1998&Dowrick_Rhoades1998,39.48,2.75,2.44,2.59,7.32,7.23,7.27,2.65,1.86,2.22
1558224,1977-01-18T05:41:48.207000Z,A77916A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2941,174.7757,5941084.19,2618142.66,5988787,2658695,9.4,9.4,62.59,71.26,57.93,66.57,-6.27,-62.09,0,34,29.64,nu,916A,D,291,Q2,0.8,Q2,8.54E+01,Q2,0,-99999,-99999,1,0.55,17,0.935,17,Webb_Anderson_1998&Dowrick_Rhoades1998,39.52,4.12,4.35,4.23,11.47,9.89,10.65,3.82,4.21,4.01
1561001,1980-06-23T16:45:19.942000Z,K80087C1,5.49,0.15,Slab,R,1,49,87,101,nlloc,-39.8738,175.576,-39.7171,175.1382,6144762.72,2730330.66,6163158,2693314,5.1,5.1,41.27,96.17,40.35,93.78,-38.03,-15.87,0,86.8,84.25,nu,087C,C,425,Q3,0.33,Q3,30,Q3,0,-99999,-99999,1,0.7,18,1.19,18,HarvardCMT,56.17,14.55,13.75,14.14,26.35,25.19,25.76,12.21,13.3,12.74
1561256,1980-10-05T15:32:49.243000Z,S80027C1,5.66,0.15,Slab,N,0,235,45,-5.20E+01,geonet,-39.72,176.87,-39.5046,176.896,6157802.95,2841693.87,6181602,2844964,6.2,6.2,24.06,38.47,21.18,36.39,-99999,-99999,0,30,27.61,nu,027C,E,150,Q3,1.7,Q3,200,Q3,0,-99999,-99999,1,0.43,19,0.731,19,HarvardCMT,48.86,3.54,3.28,3.41,12.54,11.1,11.8,3.72,3.17,3.43
1563250,1982-09-02T15:58:54.183999Z,S82032A1,5.46,0.15,Slab,N,0,76,32,-3.80E+01,nlloc,-39.7432,176.995,-39.9425,176.5874,6154756.79,2852286.05,6134136,2816486,4.9,4.9,41.25,56.9,39.07,55.11,-99999,-99999,0,38.98,37.16,nu,032A,C,495,Q3,0.13,Q3,10,Q3,0,-99999,-99999,1,0.6,16,1.02,16,HarvardCMT,31.67,2.54,1.14,1.7,7.33,6.32,6.81,2.8,0.91,1.6
1567345,1985-07-19T14:33:59.829999Z,A86018A1,5.97,0.08,Slab,N,1,213,73,255,special,-38.72,177.3,-38.6665,178.0227,6267008.8,2883855.15,6269685,2946952,11,11,63,70.36,59.68,65.91,-49.85,-36.61,0,31,25.74,nu,GISS,D,138,Q2,1,Q1,40,Q3,0,-99999,-99999,1,0.46,11,0.782,11,Webb_Anderson_1998&Dowrick_Rhoades1998&HarvardCMT,60.64,5.86,10.01,7.66,23.23,24.72,23.96,6.53,8.77,7.57
16899,1988-06-03T23:27:54.351999Z,A88070A1,6.69,0.08,Slab,R,1,310,86,118,special,-45.1,167.17,-45.4167,167.7191,5551299.74,2051472.44,5519112,2096857,25,55,55.56,81.99,43.13,61.55,6.43,-55.46,0,60,32.57,nu,TAFS,D,298,Q3,1.4,Q3,200,Q3,0,-99999,-99999,1,0.2,22,0.34,22,Robinson_etal_2003&Dowrick_Rhoades1998&HarvardCMT&Reyners_etal1991,56,14.36,14.52,14.44,28.76,29.3,29.03,13.73,16.66,15.12
16899,1988-06-03T23:27:54.351999Z,A88089A1,6.69,0.08,Slab,R,1,310,86,118,special,-45.1,167.17,-44.6946,169.143,5551299.74,2051472.44,5605452,2204373,25,55,161.81,173.05,155.62,164.27,141.68,-82.32,0,60,32.57,nu,WNPS,D,330,Q3,2.1,Q3,300,Q3,0,-99999,-99999,1,0.21,18,0.357,18,Robinson_etal_2003&Dowrick_Rhoades1998&HarvardCMT&Reyners_etal1991,55.44,15.05,14.58,14.81,27,26.75,26.87,13.63,16,14.77
