CuspID,Origin_time,Record,Mw,MwUncert,TectClass,Mech,PreferredFaultPlane,Strike,Dip,Rake,Location,HypLat,HypLon,StationLat,StationLon,HypN,HypE,StationN,StationE,LENGTH_km,WIDTH_km,Repi_km,Rhyp_km,Rjb_km,Rrup_km,Rx_km,Ry_km,Rvol_km,HypDepth_km,ZTOR_km,HWFW,SiteCode,SiteClass1170,Vs30,Vs30Uncert,Tsite,TsiteUncert,Z1,Z1Uncertainty,Directivity,Pulse_or,Pulse_T,S_Trigger_Flag,fcButterHP,f_iniLP,fmin,fmax,References,f100.0000SA_GeoMean,f50.0000SA_GeoMean,f33.3333SA_GeoMean,f25.0000SA_GeoMean,f20.0000SA_GeoMean,f13.3333SA_GeoMean,f10.0000SA_GeoMean,f6.6667SA_GeoMean,f5.0000SA_GeoMean,f4.0000SA_GeoMean,f3.3333SA_GeoMean,f2.5000SA_GeoMean,f2.0000SA_GeoMean,f1.3333SA_GeoMean,f1.0000SA_GeoMean,f0.6667SA_GeoMean,f0.5000SA_GeoMean,f0.3333SA_GeoMean,f0.2500SA_GeoMean,f0.2000SA_GeoMean,f0.1333SA_GeoMean,f0.1000SA_GeoMean,PGA_Geomean,PGV_Geomean
1558224,1977-01-18T05:41:48.207000Z,A77911A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2886,174.7769,5941084.19,2618142.66,5989396,2658808,9.4,9.4,63.13,71.72,58.46,67.03,-6.03,-62.67,0,34,29.64,nu,911A,C,358,Q2,0.29,Q2,1.85E+01,Q2,0,-99999,-99999,1,0.6,19,1.02,19,Webb_Anderson_1998&Dowrick_Rhoades1998,0.049484982,0.049799445,0.050321067,0.051138145,0.052659136,0.056747901,0.083619767,0.08575853,0.175513261,0.155334015,0.144546671,0.102567812,0.066510508,0.030502561,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.049465,0.027524
1558224,1977-01-18T05:41:48.207000Z,A77912A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.3264,174.809,5941084.19,2618142.66,5985141,2661416,9.4,9.4,61.72,70.5,57.11,65.8,-10.54,-60.52,0,34,29.64,nu,WNAS,D,239,Q2,0.78,Q2,64,Q2,0,-99999,-99999,0,0.45,24.5,0.765,24.5,Webb_Anderson_1998&Dowrick_Rhoades1998,0.054610642,0.055391297,0.056874527,0.060521146,0.069267984,0.101064166,0.221336543,0.146158704,0.137568017,0.120598019,0.107533221,0.05826334,0.062482811,0.061350282,0.030541388,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.054541,0.023974
1558224,1977-01-18T05:41:48.207000Z,A77913A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2875,174.7727,5941084.19,2618142.66,5989525,2658459,9.4,9.4,63.01,71.61,58.34,66.93,-5.67,-62.58,0,34,29.64,nu,913A,B,1000,Q3,<0.1,Q3,2,Q2,0,-99999,-99999,1,0.35,21,0.595,21,Webb_Anderson_1998&Dowrick_Rhoades1998,0.06009707,0.060800852,0.06204239,0.06411849,0.067334053,0.083439996,0.127906482,0.127658549,0.185516425,0.194774237,0.137967729,0.068680812,0.05478516,0.023230463,0.014053432,0.006591265,-99999,-99999,-99999,-99999,-99999,-99999,0.059883,0.022493
1558224,1977-01-18T05:41:48.207000Z,A77914A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.295,174.7735,5941084.19,2618142.66,5988691,2658509,9.4,9.4,62.4,76.37,57.73,71.7,-6.16,-61.91,0,34,29.64,nu,914B,D,282,Q2,0.61,Q2,4.65E+01,Q2,0,-99999,-99999,1,0.7,24.5,1.19,24.5,Webb_Anderson_1998&Dowrick_Rhoades1998,0.068601965,0.069067164,0.069983001,0.072882976,0.074161225,0.102847004,0.156800741,0.189701875,0.269728621,0.180798815,0.159890214,0.110025669,0.096437688,0.047828161,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.068482,0.032892
1558224,1977-01-18T05:41:48.207000Z,A77916A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2941,174.7757,5941084.19,2618142.66,5988787,2658695,9.4,9.4,62.59,71.26,57.93,66.57,-6.27,-62.09,0,34,29.64,nu,916A,D,291,Q2,0.8,Q2,8.54E+01,Q2,0,-99999,-99999,1,0.55,17,0.935,17,Webb_Anderson_1998&Dowrick_Rhoades1998,0.043315199,0.04377083,0.044534262,0.045711435,0.04813794,0.078204713,0.082334178,0.109371002,0.171371013,0.111537169,0.122664087,0.087561415,0.062629857,0.054045819,0.025532757,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.043319,0.02521
1561001,1980-06-23T16:45:19.942000Z,K80087C1,5.49,0.15,Slab,R,1,49,87,101,nlloc,-39.8738,175.576,-39.7171,175.1382,6144762.72,2730330.66,6163158,2693314,5.1,5.1,41.27,96.17,40.35,93.78,-38.03,-15.87,0,86.8,84.25,nu,087C,C,425,Q3,0.33,Q3,30,Q3,0,-99999,-99999,1,0.7,18,1.19,18,HarvardCMT,0.0959309,0.096273347,0.096830665,0.09780209,0.100263151,0.109943287,0.138142496,0.141076138,0.231636327,0.279882832,0.238173548,0.297477903,0.222054227,0.091301929,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.095901,0.061477
1561256,1980-10-05T15:32:49.243000Z,S80027C1,5.66,0.15,Slab,N,0,235,45,-5.20E+01,geonet,-39.72,176.87,-39.5046,176.896,6157802.95,2841693.87,6181602,2844964,6.2,6.2,24.06,38.47,21.18,36.39,-99999,-99999,0,30,27.61,nu,027C,E,150,Q3,1.7,Q3,200,Q3,0,-99999,-99999,1,0.43,19,0.731,19,HarvardCMT,0.120636218,0.121475978,0.123351096,0.127498566,0.131786891,0.159891762,0.204300494,0.462043011,0.388587155,0.361495591,0.437585486,0.240469333,0.157913568,0.100235429,0.060263752,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.120229,0.071402
1563250,1982-09-02T15:58:54.183999Z,S82032A1,5.46,0.15,Slab,N,0,76,32,-3.80E+01,nlloc,-39.7432,176.995,-39.9425,176.5874,6154756.79,2852286.05,6134136,2816486,4.9,4.9,41.25,56.9,39.07,55.11,-99999,-99999,0,38.98,37.16,nu,032A,C,495,Q3,0.13,Q3,10,Q3,0,-99999,-99999,1,0.6,16,1.02,16,HarvardCMT,0.079017495,0.079617259,0.080597472,0.081973513,0.083832562,0.10122592,0.13043733,0.24723175,0.239318158,0.144401499,0.155405477,0.123397442,0.077832675,0.034990042,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.078634,0.038762
1567345,1985-07-19T14:33:59.829999Z,A86018A1,5.97,0.08,Slab,N,1,213,73,255,special,-38.72,177.3,-38.6665,178.0227,6267008.8,2883855.15,6269685,2946952,11,11,63,70.36,59.68,65.91,-49.85,-36.61,0,31,25.74,nu,GISS,D,138,Q2,1,Q1,40,Q3,0,-99999,-99999,1,0.46,11,0.782,11,Webb_Anderson_1998&Dowrick_Rhoades1998&HarvardCMT,0.075810045,0.076088142,0.076549528,0.077206031,0.078096199,0.082087878,0.093669613,0.121681408,0.189634397,0.201439766,0.190016631,0.207660055,0.158179995,0.159015617,0.162554592,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.075816,0.069108
16899,1988-06-03T23:27:54.351999Z,A88070A1,6.69,0.08,Slab,R,1,310,86,118,special,-45.1,167.17,-45.4167,167.7191,5551299.74,2051472.44,5519112,2096857,25,55,55.56,81.99,43.13,61.55,6.43,-55.46,0,60,32.57,nu,TAFS,D,298,Q3,1.4,Q3,200,Q3,0,-99999,-99999,1,0.2,22,0.34,22,Robinson_etal_2003&Dowrick_Rhoades1998&HarvardCMT&Reyners_etal1991,0.100015666,0.100382595,0.100982716,0.101934093,0.106769432,0.115570485,0.152096747,0.200741109,0.280191167,0.272891696,0.2496949,0.217114605,0.176343171,0.119776834,0.148859226,0.119155081,0.095793803,-99999,-99999,-99999,-99999,-99999,0.100018,0.099545
