CuspID,Origin_time,Record,Mw,MwUncert,TectClass,Mech,PreferredFaultPlane,Strike,Dip,Rake,Location,HypLat,HypLon,StationLat,StationLon,HypN,HypE,StationN,StationE,LENGTH_km,WIDTH_km,Repi_km,Rhyp_km,Rjb_km,Rrup_km,Rx_km,Ry_km,Rvol_km,HypDepth_km,ZTOR_km,HWFW,SiteCode,SiteClass1170,Vs30,Vs30Uncert,Tsite,TsiteUncert,Z1,Z1Uncertainty,Directivity,Pulse_or,Pulse_T,S_Trigger_Flag,fcButterHP,f_iniLP,fmin,fmax,References,f100.0000SA_RotD50,f50.0000SA_RotD50,f33.3333SA_RotD50,f25.0000SA_RotD50,f20.0000SA_RotD50,f13.3333SA_RotD50,f10.0000SA_RotD50,f6.6667SA_RotD50,f5.0000SA_RotD50,f4.0000SA_RotD50,f3.3333SA_RotD50,f2.5000SA_RotD50,f2.0000SA_RotD50,f1.3333SA_RotD50,f1.0000SA_RotD50,f0.6667SA_RotD50,f0.5000SA_RotD50,f0.3333SA_RotD50,f0.2500SA_RotD50,f0.2000SA_RotD50,f0.1333SA_RotD50,f0.1000SA_RotD50,f100.0000SA_RotD100,f50.0000SA_RotD100,f33.3333SA_RotD100,f25.0000SA_RotD100,f20.0000SA_RotD100,f13.3333SA_RotD100,f10.0000SA_RotD100,f6.6667SA_RotD100,f5.0000SA_RotD100,f4.0000SA_RotD100,f3.3333SA_RotD100,f2.5000SA_RotD100,f2.0000SA_RotD100,f1.3333SA_RotD100,f1.0000SA_RotD100,f0.6667SA_RotD100,f0.5000SA_RotD100,f0.3333SA_RotD100,f0.2500SA_RotD100,f0.2000SA_RotD100,f0.1333SA_RotD100,f0.1000SA_RotD100,PGA_RotD50,PGA_RotD100,PGV_RotD50,PGV_RotD100
1558224,1977-01-18T05:41:48.207000Z,A77911A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2886,174.7769,5941084.19,2618142.66,5989396,2658808,9.4,9.4,63.13,71.72,58.46,67.03,-6.03,-62.67,0,34,29.64,nu,911A,C,358,Q2,0.29,Q2,1.85E+01,Q2,0,-99999,-99999,1,0.6,19,1.02,19,Webb_Anderson_1998&Dowrick_Rhoades1998,0.060040427,0.06025189,0.060568362,0.060976224,0.061509196,0.06647435,0.073521193,0.081158605,0.10589375,0.108548763,0.117592896,0.100021975,0.066053749,0.026279281,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.075259533,0.075490196,0.075863873,0.076417754,0.07722369,0.079279863,0.086081249,0.092355347,0.116396135,0.148423491,0.160215469,0.132759768,0.089635855,0.034720003,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.060043,0.074911,0.030987,0.042595
1558224,1977-01-18T05:41:48.207000Z,A77912A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.3264,174.809,5941084.19,2618142.66,5985141,2661416,9.4,9.4,61.72,70.5,57.11,65.8,-10.54,-60.52,0,34,29.64,nu,WNAS,D,239,Q2,0.78,Q2,64,Q2,0,-99999,-99999,0,0.45,24.5,0.765,24.5,Webb_Anderson_1998&Dowrick_Rhoades1998,0.052657366,0.053435133,0.056371406,0.060482796,0.066011493,0.08692217,0.11411341,0.09780963,0.087743286,0.072189027,0.064478417,0.044462975,0.041135746,0.035126955,0.019828973,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.06774746,0.068918883,0.07087582,0.077574512,0.09003705,0.113887995,0.161305943,0.130789426,0.12205618,0.083881557,0.073411885,0.049641493,0.047440357,0.042880715,0.022142877,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.052681,0.067417,0.023664,0.029786
1558224,1977-01-18T05:41:48.207000Z,A77913A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2875,174.7727,5941084.19,2618142.66,5989525,2658459,9.4,9.4,63.01,71.61,58.34,66.93,-5.67,-62.58,0,34,29.64,nu,913A,B,1000,Q3,<0.1,Q3,2,Q2,0,-99999,-99999,1,0.35,21,0.595,21,Webb_Anderson_1998&Dowrick_Rhoades1998,0.052425474,0.053284211,0.05476166,0.057202935,0.060928871,0.073002179,0.08312726,0.098261432,0.116165483,0.104300213,0.089479618,0.047710199,0.038916973,0.020190201,0.011433906,0.005670335,-99999,-99999,-99999,-99999,-99999,-99999,0.070513593,0.071032025,0.07192844,0.072864994,0.073800506,0.087961184,0.112034737,0.118695155,0.125959685,0.143165735,0.114355103,0.066798882,0.052522686,0.026816768,0.012580014,0.006369602,-99999,-99999,-99999,-99999,-99999,-99999,0.052221,0.070372,0.02514,0.032603
1558224,1977-01-18T05:41:48.207000Z,A77914A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.295,174.7735,5941084.19,2618142.66,5988691,2658509,9.4,9.4,62.4,76.37,57.73,71.7,-6.16,-61.91,0,34,29.64,nu,914B,D,282,Q2,0.61,Q2,4.65E+01,Q2,0,-99999,-99999,1,0.7,24.5,1.19,24.5,Webb_Anderson_1998&Dowrick_Rhoades1998,0.069259933,0.069612657,0.070472941,0.072165974,0.076850894,0.087430831,0.103166149,0.139774326,0.146741443,0.113251359,0.116161979,0.090603998,0.079563916,0.034341884,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.09210064,0.092387007,0.092909332,0.096445293,0.099673667,0.105746725,0.130002101,0.168370563,0.154396422,0.129367436,0.129294634,0.098672621,0.091144672,0.042443826,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.068777,0.092105,0.039386,0.043406
1558224,1977-01-18T05:41:48.207000Z,A77916A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2941,174.7757,5941084.19,2618142.66,5988787,2658695,9.4,9.4,62.59,71.26,57.93,66.57,-6.27,-62.09,0,34,29.64,nu,916A,D,291,Q2,0.8,Q2,8.54E+01,Q2,0,-99999,-99999,1,0.55,17,0.935,17,Webb_Anderson_1998&Dowrick_Rhoades1998,0.047480208,0.047830583,0.04843172,0.049505878,0.051161735,0.063771098,0.066181742,0.079146005,0.089922951,0.075947867,0.078169016,0.072447897,0.054770848,0.033952336,0.018087167,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.059385435,0.059856158,0.060664918,0.061971036,0.063856352,0.074893312,0.084594576,0.106307731,0.096637592,0.081184035,0.087239412,0.08766971,0.072146319,0.040478835,0.022023267,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.047512,0.059028,0.027303,0.035633
1561001,1980-06-23T16:45:19.942000Z,K80087C1,5.49,0.15,Slab,R,1,49,87,101,nlloc,-39.8738,175.576,-39.7171,175.1382,6144762.72,2730330.66,6163158,2693314,5.1,5.1,41.27,96.17,40.35,93.78,-38.03,-15.87,0,86.8,84.25,nu,087C,C,425,Q3,0.33,Q3,30,Q3,0,-99999,-99999,1,0.7,18,1.19,18,HarvardCMT,0.097376919,0.097920768,0.098608538,0.099844731,0.102123553,0.103445198,0.108913216,0.128154885,0.154770786,0.159361326,0.149322509,0.166724728,0.131099892,0.067859362,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.109963614,0.110267235,0.110735923,0.111445885,0.112841477,0.118349339,0.126944379,0.141280735,0.172555837,0.173728848,0.191461439,0.180029947,0.148888231,0.07817751,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.096925,0.109994,0.059819,0.06454
1561256,1980-10-05T15:32:49.243000Z,S80027C1,5.66,0.15,Slab,N,0,235,45,-5.20E+01,geonet,-39.72,176.87,-39.5046,176.896,6157802.95,2841693.87,6181602,2844964,6.2,6.2,24.06,38.47,21.18,36.39,-99999,-99999,0,30,27.61,nu,027C,E,150,Q3,1.7,Q3,200,Q3,0,-99999,-99999,1,0.43,19,0.731,19,HarvardCMT,0.136740034,0.137400611,0.138111887,0.138514423,0.138695507,0.169248609,0.193846379,0.299326096,0.299443825,0.247567361,0.235919917,0.172779945,0.125062457,0.062551245,0.04601236,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.156751569,0.157389229,0.1584099,0.159856357,0.161670098,0.180300774,0.218945917,0.333047812,0.33487005,0.328086095,0.330801993,0.190599935,0.152723666,0.082676606,0.055581755,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.136702,0.155901,0.066808,0.091566
1563250,1982-09-02T15:58:54.183999Z,S82032A1,5.46,0.15,Slab,N,0,76,32,-3.80E+01,nlloc,-39.7432,176.995,-39.9425,176.5874,6154756.79,2852286.05,6134136,2816486,4.9,4.9,41.25,56.9,39.07,55.11,-99999,-99999,0,38.98,37.16,nu,032A,C,495,Q3,0.13,Q3,10,Q3,0,-99999,-99999,1,0.6,16,1.02,16,HarvardCMT,0.077465402,0.07819151,0.079356883,0.081096594,0.08368204,0.093855259,0.110563183,0.167721892,0.154946015,0.105359584,0.111948281,0.081869345,0.061335297,0.025202963,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.091517818,0.091947213,0.09266574,0.093760565,0.095507004,0.112854656,0.133937775,0.196906048,0.212018335,0.14024506,0.128573076,0.107157445,0.072716878,0.035531704,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.077398,0.091552,0.036493,0.047274
1567345,1985-07-19T14:33:59.829999Z,A86018A1,5.97,0.08,Slab,N,1,213,73,255,special,-38.72,177.3,-38.6665,178.0227,6267008.8,2883855.15,6269685,2946952,11,11,63,70.36,59.68,65.91,-49.85,-36.61,0,31,25.74,nu,GISS,D,138,Q2,1,Q1,40,Q3,0,-99999,-99999,1,0.46,11,0.782,11,Webb_Anderson_1998&Dowrick_Rhoades1998&HarvardCMT,0.077328586,0.077546392,0.077889592,0.078372322,0.079018166,0.081701395,0.089440917,0.104081788,0.11902324,0.123225163,0.133880931,0.137165582,0.117676075,0.100808575,0.087609326,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.094478582,0.094670021,0.094974933,0.095401485,0.095973871,0.098584357,0.104776307,0.111863881,0.131803291,0.154924458,0.166934581,0.180893315,0.159358952,0.125472638,0.095331938,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.077059,0.09437,0.067476,0.081824
16899,1988-06-03T23:27:54.351999Z,A88070A1,6.69,0.08,Slab,R,1,310,86,118,special,-45.1,167.17,-45.4167,167.7191,5551299.74,2051472.44,5519112,2096857,25,55,55.56,81.99,43.13,61.55,6.43,-55.46,0,60,32.57,nu,TAFS,D,298,Q3,1.4,Q3,200,Q3,0,-99999,-99999,1,0.2,22,0.34,22,Robinson_etal_2003&Dowrick_Rhoades1998&HarvardCMT&Reyners_etal1991,0.097901198,0.098235659,0.098827759,0.099665797,0.101025319,0.103616146,0.11992188,0.142621837,0.164995503,0.187984638,0.159268441,0.140030039,0.12148807,0.092546125,0.080702874,0.075031097,0.054758461,-99999,-99999,-99999,-99999,-99999,0.110163166,0.110541528,0.111284086,0.112259959,0.112854282,0.120251139,0.130497953,0.157149744,0.219209732,0.200010907,0.187928459,0.187464728,0.170651437,0.124623971,0.110920198,0.086577159,0.068394792,-99999,-99999,-99999,-99999,-99999,0.097738,0.110206,0.094318,0.104734
