CuspID,Origin_time,Record,Mw,MwUncert,TectClass,Mech,PreferredFaultPlane,Strike,Dip,Rake,Location,HypLat,HypLon,StationLat,StationLon,HypN,HypE,StationN,StationE,LENGTH_km,WIDTH_km,Repi_km,Rhyp_km,Rjb_km,Rrup_km,Rx_km,Ry_km,Rvol_km,HypDepth_km,ZTOR_km,HWFW,SiteCode,SiteClass1170,Vs30,Vs30Uncert,Tsite,TsiteUncert,Z1,Z1Uncertainty,Directivity,Pulse_or,Pulse_T,S_Trigger_Flag,fcButterHP,f_iniLP,fmin,fmax,References,f100.0000SA_LHC,f50.0000SA_LHC,f33.3333SA_LHC,f25.0000SA_LHC,f20.0000SA_LHC,f13.3333SA_LHC,f10.0000SA_LHC,f6.6667SA_LHC,f5.0000SA_LHC,f4.0000SA_LHC,f3.3333SA_LHC,f2.5000SA_LHC,f2.0000SA_LHC,f1.3333SA_LHC,f1.0000SA_LHC,f0.6667SA_LHC,f0.5000SA_LHC,f0.3333SA_LHC,f0.2500SA_LHC,f0.2000SA_LHC,f0.1333SA_LHC,f0.1000SA_LHC,PGA_LHC,PGV_LHC
1558224,1977-01-18T05:41:48.207000Z,A77911A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2886,174.7769,5941084.19,2618142.66,5989396,2658808,9.4,9.4,63.13,71.72,58.46,67.03,-6.03,-62.67,0,34,29.64,nu,911A,C,358,Q2,0.29,Q2,1.85E+01,Q2,0,-99999,-99999,1,0.6,19,1.02,19,Webb_Anderson_1998&Dowrick_Rhoades1998,0.071448638,0.071695684,0.072138501,0.072823445,0.074219496,0.076107036,0.11168942,0.093346167,0.198167295,0.237186716,0.234984986,0.214458935,0.109201303,0.039887653,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.071417,0.04237
1558224,1977-01-18T05:41:48.207000Z,A77912A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.3264,174.809,5941084.19,2618142.66,5985141,2661416,9.4,9.4,61.72,70.5,57.11,65.8,-10.54,-60.52,0,34,29.64,nu,WNAS,D,239,Q2,0.78,Q2,64,Q2,0,-99999,-99999,0,0.45,24.5,0.765,24.5,Webb_Anderson_1998&Dowrick_Rhoades1998,0.0670892,0.068397368,0.070596963,0.076808622,0.090022044,0.122892779,0.268201911,0.151343392,0.173379761,0.124220149,0.122472279,0.059962744,0.071105724,0.086995613,0.032271852,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.067146,0.02687
1558224,1977-01-18T05:41:48.207000Z,A77913A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2875,174.7727,5941084.19,2618142.66,5989525,2658459,9.4,9.4,63.01,71.61,58.34,66.93,-5.67,-62.58,0,34,29.64,nu,913A,B,1000,Q3,<0.1,Q3,2,Q2,0,-99999,-99999,1,0.35,21,0.595,21,Webb_Anderson_1998&Dowrick_Rhoades1998,0.069482073,0.070022112,0.070928166,0.072170136,0.070722347,0.086497448,0.16461657,0.145140076,0.210192018,0.257502609,0.206477965,0.077309443,0.063122158,0.031579509,0.016630657,0.009072589,-99999,-99999,-99999,-99999,-99999,-99999,0.06895,0.02635
1558224,1977-01-18T05:41:48.207000Z,A77914A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.295,174.7735,5941084.19,2618142.66,5988691,2658509,9.4,9.4,62.4,76.37,57.73,71.7,-6.16,-61.91,0,34,29.64,nu,914B,D,282,Q2,0.61,Q2,4.65E+01,Q2,0,-99999,-99999,1,0.7,24.5,1.19,24.5,Webb_Anderson_1998&Dowrick_Rhoades1998,0.070727792,0.071266246,0.072601174,0.077556488,0.074813897,0.111992497,0.171428092,0.207974689,0.28378483,0.182261211,0.174703319,0.113236481,0.145784388,0.05328294,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.070703,0.03893
1558224,1977-01-18T05:41:48.207000Z,A77916A1,6.02,0.15,Slab,R,1,213,68,251,special,-41.73,174.3,-41.2941,174.7757,5941084.19,2618142.66,5988787,2658695,9.4,9.4,62.59,71.26,57.93,66.57,-6.27,-62.09,0,34,29.64,nu,916A,D,291,Q2,0.8,Q2,8.54E+01,Q2,0,-99999,-99999,1,0.55,17,0.935,17,Webb_Anderson_1998&Dowrick_Rhoades1998,0.044215962,0.044628257,0.045330034,0.046479182,0.048716008,0.085103794,0.090102138,0.115348391,0.176204647,0.120567026,0.135875538,0.12042354,0.085321094,0.054803761,0.029300743,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.04422,0.03022
1561001,1980-06-23T16:45:19.942000Z,K80087C1,5.49,0.15,Slab,R,1,49,87,101,nlloc,-39.8738,175.576,-39.7171,175.1382,6144762.72,2730330.66,6163158,2693314,5.1,5.1,41.27,96.17,40.35,93.78,-38.03,-15.87,0,86.8,84.25,nu,087C,C,425,Q3,0.33,Q3,30,Q3,0,-99999,-99999,1,0.7,18,1.19,18,HarvardCMT,0.099511813,0.099754815,0.100147729,0.100944644,0.103228573,0.111376283,0.143613565,0.153619533,0.266241757,0.338046769,0.260463268,0.358418053,0.23214057,0.106994434,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.099429,0.06444
1561256,1980-10-05T15:32:49.243000Z,S80027C1,5.66,0.15,Slab,N,0,235,45,-5.20E+01,geonet,-39.72,176.87,-39.5046,176.896,6157802.95,2841693.87,6181602,2844964,6.2,6.2,24.06,38.47,21.18,36.39,-99999,-99999,0,30,27.61,nu,027C,E,150,Q3,1.7,Q3,200,Q3,0,-99999,-99999,1,0.43,19,0.731,19,HarvardCMT,0.124489754,0.125704574,0.127976103,0.131923939,0.137936716,0.167937169,0.205521598,0.472700248,0.448048033,0.368555274,0.503521261,0.273225868,0.212232917,0.12024039,0.069290051,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.123965,0.08669
1563250,1982-09-02T15:58:54.183999Z,S82032A1,5.46,0.15,Slab,N,0,76,32,-3.80E+01,nlloc,-39.7432,176.995,-39.9425,176.5874,6154756.79,2852286.05,6134136,2816486,4.9,4.9,41.25,56.9,39.07,55.11,-99999,-99999,0,38.98,37.16,nu,032A,C,495,Q3,0.13,Q3,10,Q3,0,-99999,-99999,1,0.6,16,1.02,16,HarvardCMT,0.090960662,0.091419011,0.092142252,0.093139771,0.094399394,0.11919325,0.169506099,0.27733031,0.294110769,0.152899137,0.166837852,0.176634634,0.100880209,0.03808466,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.090968,0.04626
1567345,1985-07-19T14:33:59.829999Z,A86018A1,5.97,0.08,Slab,N,1,213,73,255,special,-38.72,177.3,-38.6665,178.0227,6267008.8,2883855.15,6269685,2946952,11,11,63,70.36,59.68,65.91,-49.85,-36.61,0,31,25.74,nu,GISS,D,138,Q2,1,Q1,40,Q3,0,-99999,-99999,1,0.46,11,0.782,11,Webb_Anderson_1998&Dowrick_Rhoades1998&HarvardCMT,0.089314869,0.089509578,0.089825493,0.090221929,0.090771227,0.092810052,0.100645564,0.132334468,0.211163861,0.225747732,0.219706628,0.26913486,0.183810061,0.194205168,0.172119247,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.089307,0.0802
16899,1988-06-03T23:27:54.351999Z,A88070A1,6.69,0.08,Slab,R,1,310,86,118,special,-45.1,167.17,-45.4167,167.7191,5551299.74,2051472.44,5519112,2096857,25,55,55.56,81.99,43.13,61.55,6.43,-55.46,0,60,32.57,nu,TAFS,D,298,Q3,1.4,Q3,200,Q3,0,-99999,-99999,1,0.2,22,0.34,22,Robinson_etal_2003&Dowrick_Rhoades1998&HarvardCMT&Reyners_etal1991,0.104335245,0.10481609,0.10560146,0.106781158,0.108685661,0.116316945,0.164703174,0.209570971,0.340328583,0.305207687,0.284798786,0.348265025,0.308578334,0.131112168,0.168721965,0.149483884,0.108500331,-99999,-99999,-99999,-99999,-99999,0.104332,0.10444
