SEGMENT,LAT,LON,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH
1, -46.3015, 166.0430, 21963.4445, 1.48358, 23.50, 33.17, 169.69, 5000.000, 5000.000
1, -46.3164, 166.0920, 24828.0856, 1.28833, 23.50, 34.95, 171.28, 5000.000, 5000.000
1, -46.3309, 166.1400, 27822.0260, 1.02093, 23.50, 36.77, 172.75, 5000.000, 5000.000
1, -46.3451, 166.1870, 30947.8406, 0.72068, 23.50, 38.67, 174.89, 5000.000, 5000.000
1, -46.3589, 166.2320, 34206.8576, 0.43008, 23.50, 40.65, 180.93, 5000.000, 5000.000
1, -46.3723, 166.2770, 37600.6372, 0.20404, 23.50, 42.72, 205.87, 5000.000, 5000.000
1, -46.3852, 166.3190, 41129.8659, 0.16871, 23.50, 44.85, 269.39, 5000.000, 5000.000
1, -46.3977, 166.3610, 44791.1578, 0.23305, 23.50, 47.03, 295.24, 5000.000, 5000.000
1, -46.4097, 166.4000, 48578.5848, 0.20039, 23.50, 49.20, 300.67, 5000.000, 5000.000
1, -46.4212, 166.4380, 52485.7186, 0.04592, 23.50, 51.34, 240.36, 5000.000, 5000.000
1, -46.1472, 165.6950, 6350.7757, 0.34096, 23.50, 13.37, 161.22, 5000.000, 5000.000
1, -46.1645, 165.7520, 7906.5447, 0.77400, 23.50, 18.13, 159.07, 5000.000, 5000.000
1, -46.1813, 165.8070, 9769.2467, 1.23631, 23.50, 21.87, 159.33, 5000.000, 5000.000
1, -46.1978, 165.8620, 11871.7091, 1.66139, 23.50, 24.86, 160.28, 5000.000, 5000.000
1, -46.2139, 165.9150, 14167.4869, 1.99225, 23.50, 27.33, 161.65, 5000.000, 5000.000
1, -46.2297, 165.9670, 16625.7292, 2.18597, 23.50, 29.45, 163.26, 5000.000, 5000.000
1, -46.2451, 166.0180, 19227.8781, 2.21815, 23.50, 31.36, 164.91, 5000.000, 5000.000
1, -46.2603, 166.0680, 21963.4445, 2.08633, 23.50, 33.17, 166.29, 5000.000, 5000.000
1, -46.2751, 166.1170, 24828.0856, 1.81137, 23.50, 34.95, 167.06, 5000.000, 5000.000
1, -46.2897, 166.1660, 27822.0260, 1.43537, 23.50, 36.77, 166.81, 5000.000, 5000.000
1, -46.3039, 166.2120, 30947.8406, 1.01387, 23.50, 38.67, 165.28, 5000.000, 5000.000
1, -46.3177, 166.2580, 34206.8576, 0.60254, 23.50, 40.65, 162.66, 5000.000, 5000.000
1, -46.3311, 166.3020, 37600.6372, 0.24479, 23.50, 42.72, 161.44, 5000.000, 5000.000
1, -46.3440, 166.3450, 41129.8659, 0.04243, 23.50, 44.85, 290.19, 5000.000, 5000.000
1, -46.3565, 166.3860, 44791.1578, 0.19651, 23.50, 47.03, 317.32, 5000.000, 5000.000
1, -46.3685, 166.4260, 48578.5848, 0.19929, 23.50, 49.20, 314.45, 5000.000, 5000.000
1, -46.3799, 166.4640, 52485.7186, 0.04054, 23.50, 51.34, 224.81, 5000.000, 5000.000
1, -46.1060, 165.7200, 6350.7757, 0.44256, 23.50, 13.37, 158.67, 5000.000, 5000.000
1, -46.1233, 165.7770, 7906.5447, 0.99864, 23.50, 18.13, 156.63, 5000.000, 5000.000
1, -46.1401, 165.8330, 9769.2467, 1.59157, 23.50, 21.87, 156.67, 5000.000, 5000.000
1, -46.1566, 165.8880, 11871.7091, 2.13623, 23.50, 24.86, 157.50, 5000.000, 5000.000
1, -46.1726, 165.9410, 14167.4869, 2.56034, 23.50, 27.33, 158.81, 5000.000, 5000.000
1, -46.1884, 165.9930, 16625.7292, 2.80966, 23.50, 29.45, 160.41, 5000.000, 5000.000
