MeasurementNumber,NZTM-mE,NZTM-mN,CO2
1,1829559,5664894,138
2,1829562,5664895,4111
3,1829572,5664896,7
4,1829577,5664895,3146
5,1829582,5664894,2849
6,1829579,5664891,1
7,1829598,5664889,18
8,1829601,5664881,973
9,1829594,5664881,209
10,1829590,5664890,96
11,1829580,5664888,762
12,1829578,5664889,1857
13,1829572,5664883,112
14,1829563,5664885,48
15,1829563,5664881,3
16,1829571,5664881,3
17,1829579,5664883,4
18,1829588,5664882,4915
19,1829594,5664874,165
20,1829600,5664876,395
