MeasurementNumber,NZTM-mE,NZTM-mN,CO2
666,1901520,5759651,25.9
667,1901481,5759849,19.6
668,1901402,5760081,13.5
669/670,1901644,5759822,6.3
671,1901653,5759821,2857.8
672,1901653,5759822,10744.8
673,1901635,5759833,20.6
674,1901629,5759843,358.9
675,1901617,5759849,84.9
676,1901644,5759849,81.6
677,1901645,5759891,22.3
678,1901669,5759830,23.3
679,1901695,5759698,60.3
680,1901699,5759566,21.2
681,1901729,5759425,21.2
682,1901793,5759294,36.5
683,1901836,5759183,32.9
684,1902199,5758904,21.4
685,1902132,5759073,34.1
686,1902050,5759226,28.8
687,1901979,5759391,16.8
688,1901959,5759563,23.7
689,1901863,5759705,28.6
690,1901799,5759857,18.6
691,1901783,5759979,17.8
692,1901906,5760101,18.8
693,1901982,5759959,36.4
694,1902031,5759803,38.8
695,1902094,5759669,27.1
696,1902167,5759534,43.5
697,1902266,5759398,68.4
698,1902308,5759243,61.8
699,1902368,5759114,25.4
700,1902428,5759028,27.1
701,1902619,5759130,20.5
702,1902555,5759304,28.3
703,1902097,5760231,16.6
704,1902140,5760113,34.6
705,1902194,5759957,43.4
706,1902272,5759804,27.6
707,1902357,5759653,28.8
708,1902458,5759488,33.1
709,1902798,5759267,28.8
710,1902711,5759426,26.4
711,1902621,5759574,33.6
712,1902563,5759728,49.8
713,1902484,5759877,69.5
714,1902407,5760031,50.0
715,1902312,5760180,32.4
716,1902236,5760331,19.5
717,1902189,5760507,17.5
718,1902376,5760573,25.5
719,1902449,5760417,17.8
720,1902525,5760231,17.3
721,1902613,5760085,36.0
722,1902688,5759929,43.2
723,1902753,5759760,28.6
724,1902842,5759631,39.2
725,1902952,5759515,46.7
726,1903112,5759602,26.4
727,1903021,5759752,34.3
728,1902933,5759890,24.5
729,1902849,5760047,22.1
730,1902783,5760217,31.7
731,1902696,5760382,28.6
732,1902613,5760543,29.5
733,1902730,5760714,23.8
734,1902821,5760581,21.6
735,1902891,5760420,20.4
736,1902976,5760255,29.5
737,1903064,5760118,15.6
738,1903147,5759966,26.1
739,1903211,5759830,33.1
740,1903318,5759682,32.6
741,1903430,5759551,34.1
742,1903479,5759740,30.7
743,1903387,5759891,26.8
744,1903299,5760048,25.2
745,1903226,5760220,24.2
746,1903149,5760370,19.2
747,1903076,5760541,32.4
748,1902997,5760707,27.3
749,1903160,5760856,21.8
750,1903253,5760712,25.2
751,1903300,5760575,26.4
752,1903354,5760458,24.0
753,1903422,5760333,29.7
754,1903477,5760148,15.1
755,1903637,5760011,19.0
756,1903539,5760487,20.7
757,1903482,5760651,32.8
758,1903423,5760812,24.4
759,1903393,5760920,27.5
760,1903609,5760918,15.2
761,1903696,5760778,19.5
762,1903752,5760935,35.2
763,1903937,5760892,20.2
764,1901646,5759824,16953.2
765,1901654,5759822,7949.7
766,1901646,5759838,19040.8
