MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
1,1825573,5664347,1.23,8.2
2,1825126,5664887,0.00,8.9
3,1827585,5662246,0.00,8.3
4,1827585,5662271,0.00,6.7
5,1827586,5662292,0.00,8.6
6,1827586,5662314,0.00,9.0
7,1827585,5662337,0.00,9.4
8,1827584,5662363,0.00,8.3
9,1827581,5662385,0.00,13.2
10,1827578,5662407,0.00,10.4
11,1827579,5662424,0.00,12.0
12,1827586,5662455,0.00,18.4
13,1827593,5662467,0.00,11.5
14,1827599,5662475,8.64,26.2
15,1827603,5662454,20.74,44.7
16,1827615,5662451,866.81,78.6
17,1827632,5662443,134.59,44.5
18,1827646,5662434,12.84,20.7
19,1827663,5662423,0.00,10.1
20,1827672,5662435,5.19,10.7
21,1827658,5662445,1.48,13.6
22,1827640,5662455,0.00,15.9
23,1827627,5662464,324.25,23.7
24,1827608,5662473,711.47,61.9
25,1827587,5662490,358.08,37.5
26,1827575,5662497,503.04,45.0
27,1827559,5662506,126.19,21.7
28,1827560,5662515,370.68,36.4
29,1827577,5662510,400.31,55.8
30,1827594,5662507,81.00,27.7
31,1827611,5662497,97.05,17.9
32,1827631,5662488,24.70,22.3
33,1827634,5662482,0.00,14.6
34,1827600,5662444,4.20,18.7
35,1827612,5662440,568.49,39.0
36,1827631,5662429,411.18,43.9
37,1827637,5662425,33.83,47.4
38,1827649,5662414,0.00,25.1
39,1827660,5662404,0.99,16.1
40,1827671,5662390,13.09,18.2
405,1827671,5662390,0.00,15.2
41,1827678,5662353,17.04,29.0
42,1827659,5662368,653.19,35.5
43,1827649,5662381,414.88,35.5
44,1827639,5662385,1441.22,78.2
45,1827627,5662394,95.82,47.4
46,1827634,5662375,148.42,50.4
47,1827645,5662370,1009.30,49.1
48,1827659,5662355,309.68,67.6
49,1827669,5662345,405.25,44.5
50,1827674,5662333,114.59,34.9
51,1827661,5662341,280.79,34.8
52,1827651,5662354,750.00,58.1
53,1827643,5662364,536.14,67.0
54,1827642,5662359,261.77,48.2
55,1827650,5662345,351.66,48.4
56,1827659,5662333,106.19,40.3
57,1827665,5662314,828.53,58.9
58,1827668,5662301,92.36,72.3
59,1827670,5662285,64.45,73.1
60,1827677,5662265,330.18,47.2
61,1827665,5662308,327.46,81.7
62,1827658,5662311,418.34,61.4
63,1827654,5662311,221.27,47.4
64,1827647,5662306,83.72,44.8
65,1827636,5662308,206.95,25.0
66,1827623,5662307,3.95,29.9
67,1827613,5662301,0.00,24.7
