MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
290,1827389,5662549,97.67,26.4
291,1827376,5662542,1.39,3.8
292,1827370,5662561,5.14,5.1
293,1827376,5662564,2043.26,53
294,1827372,5662576,5654.30,58.4
295,1827373,5662582,424.07,41.7
296,1827374,5662588,3161.27,58
297,1827389,5662588,609.12,53.1
298,1827389,5662580,1811.95,63.6
299,1827395,5662573,123.37,37.6
300,1827417,5662546,0.00,5.5
301,1827435,5662537,1.59,4.6
302,1827457,5662537,0.11,3.4
303,1827479,5662534,4.63,4.7
304,1827599,5662459,4.11,13.4
305,1827603,5662443,1.57,9.1
306,1827616,5662439,223.60,55.6
307,1827625,5662435,14726.88,87.2
308,1827636,5662426,143.93,43.6
309,1827649,5662408,436.92,59.3
310,1827652,5662394,192.76,38.1
311,1827660,5662355,681.09,76.2
312,1827656,5662336,318.70,57.2
313,1827665,5662329,758.19,45.1
314,1827664,5662319,835.29,51.2
315,1827670,5662315,125.94,49.4
316,1827674,5662309,773.61,55
317,1827676,5662302,480.62,70.8
318,1827678,5662292,138.79,44.1
319,1827682,5662287,190.19,39.9
320,1827679,5662284,51.40,34.6
322,1827684,5662277,92.52,34.9
323,1827688,5662279,28.27,27.9
324,1827684,5662270,28.27,22.6
325,1827683,5662264,174.77,66.5
326,1827679,5662256,1362.17,59.1
327,1827678,5662243,603.98,78.8
328,1827686,5662235,200.47,28.6
329,1827669,5662229,645.10,60.8
330,1827668,5662211,1953.30,89.7
331,1827667,5662198,601.41,83.2
332,1827668,5662181,575.71,40.5
333,1827665,5662163,25.44,6.9
334,1827654,5662163,0.93,10.9
335,1827642,5662136,0.25,13.1
336,1827632,5662139,3.60,14.5
337,1827648,5662160,3.34,1.7
338,1827655,5662171,1.59,3.4
339,1827661,5662202,565.43,24.3
340,1827661,5662213,878.99,57.3
341,1827666,5662232,917.54,36.2
342,1827670,5662248,624.54,49.5
343,1827674,5662265,1513.81,69.5
344,1827678,5662268,578.28,59
345,1827677,5662284,77.10,23.3
346,1827676,5662292,750.48,29.4
347,1827673,5662303,827.58,76.8
348,1827669,5662314,272.43,56.5
349,1827663,5662323,221.03,52.8
350,1827654,5662336,999.78,88.2
351,1827653,5662349,102.81,45.6
352,1827641,5662365,413.79,53.3
353,1827635,5662376,388.09,60.6
354,1827628,5662384,2325.97,92.1
355,1827626,5662395,1251.66,90.2
356,1827620,5662412,316.13,54.1
357,1827615,5662421,1405.86,82.3
358,1827607,5662432,2.21,9.2
359,1827605,5662444,30.84,11.8
360,1827597,5662453,0.24,10.4
