MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
001,1831035,5667566,0.00,1.10
002,1831037,5667563,5.89,1.7
003,1831051,5667558,0.00,0.5
004,1831024,5667549,0.00,1.2
005,1831028,5667569,0.00,0.7
006,1831045,5667585,0.00,0.1
007,1831035,5667601,4.21,0.2
008,1831052,5667603,2336.37,33.5
009,1831069,5667601,47.74,1.9
010,1831083,5667581,0.00,0.9
011,1831097,5667594,0.00,0.8
012,1831087,5667615,5.06,1.5
013,1831071,5667627,8.43,3.2
014,1831054,5667627,136.56,1.3
015,1831032,5667632,9076.66,2.4
016,1831082,5667641,0.73,89.2
017,1831114,5667651,0.00,3.1
018,1831137,5667676,0.82,1.2
019,1831111,5667682,0.00,0.6
020,1831080,5667689,21.09,9.0
021,1831075,5667716,75.40,1.8
022,1831094,5667728,1.58,2.7
023,1831074,5667739,6.20,6.1
024,1831081,5667762,0.00,1.6
025,1831052,5667750,17.49,2.4
026,1831029,5667756,49.13,2.7
027,1831025,5667765,325.47,5.2
028,1831035,5667780,0.00,1.8
029,1831018,5667775,0.79,1.5
030,1831002,5667763,2.77,2.8
031,1831012,5667736,1640.40,20.8
032,1831031,5667703,127.58,9.1
033,1831033,5667700,4397.51,54.2
034,1831021,5667728,4826.43,89.3
035,1830983,5667755,3.41,0.3
036,1830977,5667777,1.65,2.4
037,1830945,5667780,0.00,1.8
038,1830932,5667762,241.99,9.3
039,1830949,5667739,0.00,1.1
040,1830965,5667712,0.00,0.7
041,1830947,5667687,36.23,0.9
042,1830929,5667682,50.25,5.2
043,1830930,5667648,4.56,1.8
045,1830913,5667617,71.18,1.6
046,1830908,5667596,530.50,22.8
047,1830900,5667581,176.20,8.6
048,1830891,5667565,13.06,7.7
049,1830901,5667566,90.78,5.8
050,1830872,5667532,0.00,1.6
051,1830835,5667510,0.00,5.3
052,1830812,5667550,0.00,0.6
053,1830799,5667588,13.28,1.2
054,1830800,5667623,0.00,0.6
055,1830807,5667660,102.98,9.9
056,1830801,5667664,2091.47,10.6
057,1830781,5667673,28.72,2.2
058,1830800,5667699,796.24,11.8
059,1830815,5667707,38.23,4.1
060,1830846,5667735,298.26,16.5
061,1830867,5667765,29.51,12.2
062,1830839,5667775,4.50,1.5
063,1830860,5667792,148.88,14.4
064,1830842,5667798,5.07,6
065,1830870,5667813,95.82,10.2
066,1830905,5667819,120.14,6.8
067,1830922,5667843,1.69,7.1
068,1830877,5667860,101.67,10.3
069,1830929,5667898,1.61,7.8
070,1830887,5667932,18.10,7.4
071,1830905,5667944,0.00,4
072,1830917,5667965,617.37,15.9
073,1830901,5667969,232.38,23
074,1830888,5667961,104.93,17.2
075,1830875,5667952,398.16,18.3
076,1830847,5667957,46.01,7.1
077,1830825,5667960,0.00,3
078,1830826,5667983,1.14,4.2
079,1830845,5667999,0.68,2.7
080,1830841,5668016,0.00,1.3
081,1830840,5668040,0.00,0.1
082,1830851,5668071,3.13,3.3
083,1830842,5668071,0.00,1.7
084,1830866,5668067,690.12,34.7
085,1830862,5668053,2404.82,38.5
086,1830857,5668039,944.57,25.2
087,1830857,5668017,1021.96,16.2
088,1830872,5667995,225.59,8.2
089,1830885,5668012,154.26,9.4
090,1830878,5668031,291.47,7.9
091,1830880,5668044,857.56,22.9
092,1830890,5668039,60.05,9.4
093,1830901,5668017,19.17,9.1
094,1830924,5668010,11.45,7.2
095,1830945,5668004,1.72,6.9
096,1830950,5668026,0.00,8.2
097,1830920,5668034,2.01,6.4
098,1830909,5668054,664.75,15.8
099,1830904,5668076,21.50,7.6
100,1830897,5668092,24.37,7.5
101,1830918,5668085,0.57,5.1
102,1830957,5668075,1.09,4.2
103,1831029,5668138,8.04,7.6
104,1831044,5668159,0.46,5.7
105,1831063,5668188,1.72,3.8
106,1831077,5668226,0.00,3.5
107,1831105,5668273,0.00,2.8
108,1831132,5668317,0.00,3.1
109,1831164,5668354,0.00,1.3
110,1831209,5668406,9.80,0.2
111,1831228,5668410,0.00,0.1
112,1831230,5668353,0.00,0.7
113,1831235,5668302,0.00,1.8
114,1831240,5668253,0.00,1.6
115,1831232,5668205,0.00,3.8
116,1831198,5668168,0.00,6.1
