MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
1,1827307,5662282,0.04,3.1
2,1827294,5662318,0.10,2.6
3,1827292,5662334,0.20,2.9
4,1827322,5662383,6.02,5.8
5,1827326,5662394,20.90,5.2
6,1827333,5662390,171.22,13
7,1827340,5662385,178.77,20
8,1827349,5662395,428.04,15.8
9,1827354,5662398,37.77,16.6
11,1827352,5662395,329.84,24.3
12,1827346,5662379,52.88,18.6
13,1827342,5662365,0.00,2.3
14,1827340,5662370,24.42,10.5
16,1827340,5662360,80.57,8.7
17,1827340,5662346,83.09,8
18,1827339,5662336,0.25,3.3
19,1827340,5662327,236.68,14.4
20,1827342,5662322,4.28,8.7
21,1827336,5662322,37.77,9.4
21a,1827336,5662322,4204.85,70.1
23,1827337,5662305,873.70,32.3
24,1827336,5662308,224.09,24.4
25,1827354,5662300,1.76,4.8
26,1827361,5662292,17.63,8.1
27,1827360,5662280,11.08,5.1
28,1827362,5662274,156.11,15.3
29,1827367,5662261,138.48,13.8
30,1827385,5662263,3.53,8.2
31,1827395,5662263,0.48,5.7
33,1827407,5662269,1.51,5.2
34,1827419,5662264,14.86,5.1
