MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
2,1827630,5662393,153.7,42.1
3,1827634,5662383,162.4,38.4
4,1827636,5662378,307.3,62.7
5,1827641,5662369,1150.8,85.6
6,1827639,5662360,367.0,51.3
7,1827641,5662358,469.5,55.0
8,1827644,5662350,564.4,68.9
9,1827649,5662349,10348.1,88.0
10,1827652,5662346,305.9,53.8
11,1827661,5662335,662.7,49.6
12,1827665,5662317,609.0,49.8
13,1827669,5662306,469.7,51.5
14,1827671,5662303,519.2,69.6
15,1827671,5662292,1508.9,77.0
16,1827678,5662274,676.3,42.6
17,1827675,5662260,746.4,59.2
18,1827673,5662243,369.7,40.8
19,1827666,5662220,363.4,38.4
20,1827691,5662331,942.1,62.0
21,1827646,5662336,225.8,57.4
22,1827635,5662357,215.6,35.0
23,1827546,5662523,80.8,14.1
24,1827520,5662531,0.0,10.9
25,1827507,5662540,176.0,38.0
26,1827470,5662541,5.6,11.5
28,1827479,5662540,49.0,28.4
29,1827474,5662551,0.0,10.8
30,1827795,5663477,6.7,19.7
31,1827732,5663473,1.3,19.0
32,1827682,5663466,2.0,22.9
33,1827626,5663458,2.8,19.5
34,1827569,5663454,2.3,20.6
35,1827518,5663432,0.8,18.6
36,1827488,5663423,0.0,22.6
37,1827447,5663404,2.6,21.9
38,1827398,5663388,0.5,17.4
39,1827349,5663381,0.0,18.8
40,1827313,5663356,0.0,17.7
41,1827252,5663319,0.0,17.6
42,1827240,5663295,1.8,18.4
43,1827218,5663285,0.8,19.7
44,1827194,5663274,0.0,18.0
45,1827134,5663256,0.0,18.0
46,1827134,5663256,0.8,19.4
47,1827081,5663223,1.5,17.8
48,1827040,5663209,1.8,21.0
49,1827002,5663190,0.0,22.8
50,1826930,5663149,0.0,17.9
51,1826941,5663320,0.0,19.0
52,1826944,5663404,0.0,21.4
53,1826910,5663506,0.0,26.2
54,1826890,5663595,1.3,22.6
55,1826922,5664174,2.0,30.2
