MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
19112003001,1877896,5719850,1.2,12.0
19112003002,1877900,5719830,1.8,11.3
19112003003,1877912,5719836,1.2,10.9
19112003004,1877896,5719816,1.2,11.8
19112003005,1877892,5719801,2.5,13.0
19112003006,1877885,5719796,15.3,12.7
19112003007,1877864,5719793,1.2,15.6
19112003008,1877859,5719785,79.6,14.9
19112003009,1877884,5719773,1.2,14.1
19112003010,1877883,5719761,25.7,20.1
19112003011,1877901,5719748,1.2,16.5
19112003012,1877885,5719733,101.1,19.5
19112003013,1877859,5719702,1.2,20.1
19112003014,1877841,5719703,1.2,21.2
19112003015,1877827,5719701,1.2,17.7
19112003016,1877808,5719697,1.2,17.8
19112003017,1877891,5719705,1.2,18.1
19112003018,1877846,5719789,27.6,16.6
19112003019,1877827,5719785,153.1,16.9
19112003020,1877817,5719811,1.2,16.7
19112003021,1877798,5719789,45.9,14.9
19112003022,1877770,5719809,1.2,17.5
19112003023,1877767,5719779,20.8,16.8
19112003024,1877746,5719808,1.2,15.3
19112003025,1877716,5719818,1.8,17.9
19112003026,1877753,5719786,36.8,18.1
19112003027,1877738,5719763,6.4,21.9
19112003028,1877715,5719715,6.1,17.2
19112003029,1877716,5719715,9.2,16.5
19112003030,1877764,5719724,1.8,15.7
19112003031,1877761,5719745,5696.5,25.0
19112003032,1877793,5719729,9.8,17.9
19112003033,1877791,5719694,23.3,17.5
19112003034,1877822,5719743,1.2,23.2
19112003035,1877716,5719773,4.0,30.7
19112003036,1878647,5721261,34.4,32.5
19112003037,1878644,5721263,38.1,32.5
19112003038,1878640,5721283,31.1,20.9
19112003039,1878369,5721426,1.2,17.2
19112003040,1878375,5721390,7.9,22.4
19112003041,1878402,5721321,1.2,22.9
19112003042,1878384,5721280,1.2,22.5
19112003043,1878407,5721256,5.8,39.7
19112003044,1878392,5721248,1.5,79.9
19112003045,1878368,5721263,25.9,33.6
19112003046,1878175,5721320,7.0,46.0
19112003047,1878190,5721295,5.8,44.3
19112003048,1878204,5721285,16.7,50.3
19112003049,1878491,5720806,97.4,84.2
19112003050,1878493,5720805,268.0,87.7
19112003051,1878466,5720778,25.3,41.4
19112003052,1878407,5720736,66.5,24.5
4122003001,1878447,5720731,25.1,22.4
4122003002,1878505,5720712,50.1,22.9
4122003003,1878462,5720719,13.9,29.9
4122003004,1878532,5720721,21.7,22.6
4122003005,1878559,5720745,28.1,22.1
4122003006,1878584,5720803,32.0,25.3
4122003007,1878589,5720784,31.1,21.3
4122003008,1878577,5720825,13.9,20.3
4122003009,1878564,5720795,3231.9,70.0
4122003010,1878605,5720812,104.5,25.2
4122003011,1878546,5720767,1742.8,57.7
4122003012,1878545,5720754,791.4,26.2
4122003013,1878519,5720756,145.0,54.7
4122003014,1878518,5720741,13.0,21.2
4122003015,1878490,5720754,10.3,23.7
4122003016,1878504,5720789,78.5,43.7
4122003017,1878478,5720739,7.9,25.2
4122003018,1878452,5720760,10.3,26.3
4122003019,1878437,5720753,241.6,39.4
4122003020,1878414,5720755,132.9,27.3
4122003021,1878449,5720775,271.8,32.7
4122003022,1878481,5720787,33.2,42.7
4122003023,1878481,5720787,19.9,40.8
4122003024,1878536,5720799,57.4,47.2
4122003025,1878570,5720808,29.0,34.5
4122003026,1878547,5720817,8.8,23.5
4122003027,1878542,5720837,20.8,27.5
4122003028,1878562,5720869,23.9,71.7
4122003029,1878585,5720874,13.0,42.1
4122003030,1878551,5720893,27.2,50.4
4122003031,1878533,5720913,99.7,41.5
4122003032,1878553,5720911,24.2,25.3
4122003033,1878602,5720867,57.4,77.5
4122003034,1878601,5720899,12.1,35.5
4122003035,1878650,5720879,24.2,23.3
4122003036,1878669,5720910,154.0,21.1
4122003037,1878673,5720957,24.2,23.7
4122003038,1878673,5720921,21.1,26.4
4122003039,1878542,5720935,12.1,29.3
4122003040,1878530,5720944,7.9,25.5
4122003041,1878514,5720962,24.2,33.8
4122003042,1878517,5720927,36.2,37.7
4122003043,1878493,5720922,184.1,93.1
4122003044,1878521,5720895,1.8,37.6
4122003045,1878530,5720870,48.3,43.4
4122003046,1878518,5720827,6.0,62.1
4122003047,1878511,5720807,368.3,45.5
4122003048,1878468,5720791,461.8,40.1
4122003049,1878528,5720826,232.4,37.5
4122003050,1878505,5720850,1122.5,77.5
4122003051,1878505,5720876,9.6,32.9
4122003052,1878484,5720899,9.0,34.1
4122003053,1878469,5720918,26.9,37.7
4122003054,1878479,5720936,9.0,34.3
4122003055,1878451,5720929,12.0,35.3
4122003056,1878413,5720933,68.2,35.3
4122003057,1878406,5720912,6.9,37.7
4122003058,1878419,5720891,59.9,35.0
4122003059,1878420,5720873,12.0,29.9
4122003060,1878425,5720836,4.2,41.0
4122003061,1878397,5720851,1.8,21.2
4122003062,1878370,5720870,23.0,36.4
4122003063,1878424,5720828,1.8,30.5
4122003064,1878447,5720861,137.7,81.8
4122003065,1878468,5720863,21.0,29.3
