MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
476,1770119,5928889,10.20,16.5
477,1770141,5928855,24.23,15.6
478,1770159,5928827,17.22,15.2
479,1769255,5928370,0.00,16.5
480,1768891,5927949,33.00,15.6
481,1768893,5927953,21.36,15.6
482,1768893,5927951,19.45,17
483,1768892,5927946,92.57,16.1
484,1768886,5927955,24.55,15.1
485,1768885,5927944,4.15,16.1
259,1769328,5928379,25.19,14.8
260,1769323,5928377,22.00,15
261,1769319,5928375,18.49,15.1
262,1769312,5928371,14.35,14.4
263,1769304,5928362,12.75,15
264,1769276,5928331,4.46,16.5
265,1769272,5928325,25.51,19.1
267,1769273,5928315,17.86,14.7
268,1769262,5928315,22.00,14.4
269,1769253,5928308,21.36,15.3
270,1769245,5928302,32.27,16.2
271,1769241,5928298,13.07,15.9
