MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
183,1827632,5662139,0.97,4.3
184,1827644,5662138,0.97,6.6
186,1827625,5662153,0.97,5.2
187,1827648,5662146,0.97,11.5
188,1827659,5662158,0.97,9.0
189,1827662,5662196,25.32,39.5
189,1827662,5662196,50.16,84.6
189,1827662,5662196,1534.08,74.3
190,1827662,5662198,3068.16,86.4
191,1827663,5662199,827.92,24.4
191,1827663,5662199,8693.13,74.9
192,1827669,5662198,1071.42,43.6
192,1827669,5662198,413.96,85.4
192,1827669,5662198,4358.74,
193,1827666,5662207,1899.34,87.1
193,1827666,5662207,6185.03,88.1
193,1827666,5662207,827.92,86.0
194,1827675,5662224,511.36,40.0
194,1827675,5662224,19.48,24.8
194,1827675,5662224,104.71,24.3
195,1827674,5662238,620.94,68.6
195,1827674,5662238,611.20,19.3
195,1827674,5662238,1212.65,91.0
196,1827676,5662249,146.10,37.2
196,1827676,5662249,1529.21,88.6
196,1827676,5662249,2108.75,75.9
197,1827679,5662259,1047.07,86.0
197,1827679,5662259,92.53,32.3
197,1827679,5662259,1777.59,92.0
198,1827682,5662267,1232.14,65.8
198,1827682,5662267,2873.36,79.0
198,1827682,5662267,413.96,62.8
199,1827680,5662278,219.15,27.2
199,1827680,5662278,294.64,42.8
199,1827680,5662278,114.45,19.5
200,1827676,5662289,2038.14,57.8
200,1827676,5662289,187.50,30.3
200,1827676,5662289,771.91,35.8
201,1827670,5662280,435.87,19.2
201,1827670,5662280,280.03,30.5
201,1827670,5662280,206.98,36.3
202,1827670,5662309,1280.84,70.5
202,1827670,5662309,199.67,55.9
202,1827670,5662309,630.68,69.3
204,1827671,5662320,557.63,74.8
204,1827671,5662320,4086.01,89.4
204,1827671,5662320,776.78,82.1
203,1827683,5662335,267.86,38.5
203,1827683,5662335,477.27,31.7
203,1827683,5662335,87.66,too hard
205,1827650,5662346,73.05,54.4
205,1827650,5662346,560.06,84.9
205,1827650,5662346,1005.68,87.4
206,1827643,5662335,97.40,52.0
206,1827643,5662335,762.17,59.0
206,1827643,5662335,331.17,59.0
207,1827646,5662348,99.84,27.6
207,1827646,5662348,925.32,77.3
207,1827646,5662348,657.46,84.7
208,1827639,5662366,194.80,84.6
208,1827639,5662366,2508.10,73.2
208,1827639,5662366,326.30,76.2
209,1827643,5662357,97.40,41.0
209,1827643,5662357,70.62,34.2
209,1827643,5662357,905.84,52.5
210,1827643,5662366,326.30,64.5
210,1827643,5662366,3043.81,73.7
210,1827643,5662366,1161.52,74.5
211,1827634,5662384,60.88,38.4
211,1827634,5662384,102.27,54.2
211,1827634,5662384,455.35,38.7
212,1827622,5662393,121.75,39.3
212,1827622,5662393,175.32,35.3
212,1827622,5662393,63.31,28.2
213,1827627,5662408,720.77,91.9
213,1827627,5662408,533.28,89.6
213,1827627,5662408,104.71,62.1
214,1827616,5662423,160.71,43.5
214,1827616,5662423,485.31,60.6
214,1827616,5662423,116.88,49.2
215,1827604,5662428,0.97,14.6
215,1827604,5662428,1.22,9.9
216,1827584,5662468,0.97,20.0
216,1827584,5662468,0.97,16.3
217,1827536,5662517,12.18,19.0
217,1827536,5662517,0.97,9.8
217,1827536,5662517,0.97,11.2
218,1827502,5662525,0.97,14.0
218,1827502,5662525,0.97,10.5
219,1827474,5662533,0.97,10.0
219,1827474,5662533,0.97,12.8
