MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
RC1,1829459,5664954,0.0,0.0
RC2,1829470,5665000,0.0,0.0
RC3,1829430,5665012,12.3,0.0
RC4,1829401,5665004,0.0,0.0
RC5,1829344,5664982,0.3,0.0
RC6,1829295,5664969,0.0,0.0
RC7,1829256,5664936,0.0,1.1
RC8,1829226,5664911,9.1,0.0
RC9,1829186,5664897,0.0,0.0
RC10,1829140,5664886,152.6,0.0
RC11,1829117,5664894,347.8,17.4
RC12,1829123,5664894,2439.7,48.7
RC13,1829135,5664898,247.7,8.0
RC14,1829149,5664895,415.5,3.0
RC15,1829162,5664902,141.2,0.0
RC16,1829148,5664911,1302.4,13.8
RC17,1829139,5664914,218.1,1.6
RC18,1829141,5664924,0.0,0.0
RC19,1829122,5664918,7.5,0.0
RC20,1829127,5664906,4756.9,13.7
RC21,1829138,5664905,791.0,20.7
RC22,1829144,5664904,19091.5,56.1
RC23,1829150,5664905,2389.1,12.8
RC24,1829123,5664894,2711.4,24.4
RC25,1829110,5664881,1195.9,2.6
RC26,1829095,5664865,109.2,0.0
RC27,1829076,5664850,0.0,0.0
RC28,1829095,5664850,3244.1,23.2
RC29,1829105,5664846,12811.1,49.0
RC30,1829113,5664848,131.8,34.3
RC31,1829108,5664844,89.5,12.7
RC32,1829091,5664840,506.1,32.0
RC33,1829095,5664841,2580.9,14.7
RC34,1829087,5664834,121.5,1.9
RC35,1829081,5664813,26.4,0.7
RC36,1829079,5664835,221.1,0.0
RC37,1829077,5664834,33.8,0.0
RC38,1829088,5664842,1078.7,6.6
RC39,1829096,5664846,24983.0,50.8
RC40,1829104,5664847,13365.1,46.7
RC41,1829120,5664849,11346.2,36.4
RC42,1829115,5664856,191.8,5.8
RC43,1829130,5664852,181.1,22.2
RC44,1829136,5664861,4205.6,20.7
RC45,1829142,5664869,120.9,4.5
RC46,1829150,5664867,6578.7,29.0
RC47,1829151,5664863,256.8,8.8
RC48,1829151,5664858,16.2,2.0
RC49,1829157,5664874,303.6,12.5
RC50,1829157,5664870,2053.5,23.4
RC51,1829157,5664865,16.2,7.0
RC52,1829162,5664877,420.8,9.6
RC53,1829161,5664874,351.6,10.3
RC54,1829163,5664868,0.0,3.2
RC55,1829166,5664862,0.0,3.2
RC56,1829173,5664876,0.0,4.9
RC57,1829173,5664882,360.2,26.3
RC58,1829177,5664884,12766.3,28.2
RC59,1829178,5664894,0.0,5.2
RC60,1829191,5664885,662.1,15.7
RC61,1829193,5664881,209.2,4.3
RC62,1829196,5664872,0.0,0.4
RC63,1829206,5664884,2110.9,36.8
RC64,1829211,5664877,58.3,3.1
RC65,1829209,5664868,0.0,0.0
RC66,1829210,5664854,60.9,2.5
RC67,1829214,5664844,0.0,3.0
RC68,1829216,5664836,0.0,0.0
RC69,1829232,5664822,0.0,3.0
RC70,1829242,5664905,0.0,9.9
RC71,1829486,5664934,0.0,2.9
RC72,1829480,5664921,23.8,2.5
RC73,1829474,5664923,50.3,4.6
RC74,1829471,5664918,656.4,29.3
RC75,1829469,5664911,894.5,63.8
RC76,1829470,5664908,349.4,62.0
RC77,1829470,5664900,738.4,15.1
RC78,1829477,5664908,1797.0,40.5
RC79,1829478,5664911,444.6,4.3
RC80,1829481,5664906,21.2,2.2
RC81,1829486,5664919,31.8,3.1
RC82,1829476,5664897,18.5,3.3
RC83,1829469,5664894,1024.2,38.7
RC84,1829466,5664890,849.6,25.1
RC85,1829467,5664887,2673.1,15.8
RC86,1829466,5664890,1000.4,4.5
RC87,1829464,5664885,23.8,6.4
RC88,1829464,5664880,251.4,46.3
RC89,1829462,5664874,775.5,20.2
RC90,1829456,5664870,600.8,30.6
RC91,1829451,5664865,90.0,58.5
RC92,1829452,5664855,0.0,10.2
RC93,1829459,5664854,5.3,10.1
RC94,1829460,5664861,701.3,20.9
RC95,1829467,5664870,674.9,24.2
RC96,1829473,5664874,29.1,15.8
RC97,1829482,5664886,0.0,9.2
RC98,1829484,5664873,127.0,6.0
RC99,1829497,5664886,621.9,5.2
RC100,1829475,5664857,762.2,9.5
RC101,1829465,5664837,47.6,10.3
RC102,1829453,5664834,717.2,22.3
RC103,1829444,5664833,113.8,9.7
RC104,1829431,5664851,0.0,7.6
RC105,1829432,5664862,659.0,18.0
RC106,1829415,5664870,23.8,5.4
RC107,1829395,5664867,0.0,8.3
RC108,1829392,5664856,1034.8,10.9
RC109,1829397,5664857,367.9,24.6
RC110,1829401,5664852,465.8,15.0
RC111,1829412,5664844,489.6,10.2
RC112,1829420,5664831,0.0,6.2
RC113,1829405,5664828,15.9,12.7
RC114,1829399,5664837,121.7,21.9
RC115,1829390,5664850,13524.1,79.8
RC116,1829386,5664855,129.7,21.0
RC117,1829373,5664863,1122.2,14.3
RC118,1829365,5664870,60.9,7.8
RC119,1829362,5664861,1990.2,12.6
RC120,1829373,5664854,0.0,8.6
RC121,1829377,5664854,645.8,15.9
RC122,1829384,5664850,1156.6,58.6
RC123,1829391,5664842,82.0,45.8
RC124,1829394,5664835,352.0,36.6
RC126,1829448,5664884,7.7,8.6
RC182,1829472,5664954,0.0,0.0
RC183,1829466,5664963,0.0,0.0
RC184,1829457,5664969,0.0,0.0
RC185,1829453,5664980,16.0,0.0
RC186,1829440,5664983,322.8,0.0
RC187,1829433,5664986,338.8,2.7
RC188,1829425,5664994,24.0,0.1
RC189,1829429,5664974,0.0,0.0
RC190,1829416,5664966,0.0,1.6
RC191,1829401,5664966,122.7,2.3
RC192,1829410,5664971,40.0,8.1
RC193,1829398,5664969,181.4,7.1
RC194,1829386,5664972,0.0,0.4
RC195,1829381,5664979,1117.8,1.4
RC196,1829374,5664961,114.7,2.7
RC197,1829368,5664955,8.0,3.5
RC198,1829358,5664929,288.1,10.0
RC199,1829347,5664943,450.9,10.0
RC200,1829338,5664941,0.0,2.4
RC201,1829325,5664944,61.4,15.3
RC202,1829326,5664958,341.5,13.9
RC203,1829323,5664955,1592.7,32.6
RC204,1829331,5664926,0.0,8.3
RC205,1829332,5664919,720.3,28.2
RC206,1829334,5664908,476.2,26.3
RC207,1829346,5664912,0.0,8.9
RC208,1829350,5664904,696.3,28.4
RC209,1829356,5664913,10.7,6.4
RC210,1829360,5664932,0.0,0.0
RC211,1829365,5664945,216.1,3.7
RC212,1829377,5664951,85.4,0.0
RC213,1829384,5664961,530.9,3.2
RC214,1829415,5664968,0.0,2.2
RC215,1829410,5664975,0.0,2.9
RC216,1829402,5664965,0.0,0.4
RC217,1829391,5664956,0.0,0.0
RC218,1829386,5664931,0.0,0.0
RC219,1829392,5664924,0.0,0.0
RC220,1829393,5664914,202.8,1.9
RC221,1829392,5664907,546.9,2.5
RC222,1829398,5664898,160.1,0.0
RC223,1829384,5664900,285.5,3.2
RC224,1829375,5664908,210.8,2.9
RC225,1829361,5664901,298.8,0.0
RC226,1829348,5664896,362.8,5.5
RC227,1829360,5664887,282.8,7.1
RC228,1829370,5664885,344.1,1.9
RC229,1829358,5664873,0.0,2.7
RC230,1829350,5664873,144.1,2.1
RC231,1829357,5664869,1646.0,81.5
RC232,1829340,5664878,1147.2,35.8
RC233,1829328,5664888,613.6,32.5
RC234,1829316,5664883,1848.8,37.8
RC235,1829321,5664867,656.3,45.9
RC236,1829324,5664866,7309.8,47.3
RC237,1829342,5664862,10644.6,49.3
RC238,1829354,5664864,2155.6,72.9
RC239,1829363,5664857,90.7,6.8
RC240,1829358,5664843,0.0,2.0
RC241,1829358,5664842,0.0,2.7
RC242,1829342,5664847,360.2,58.8
RC243,1829339,5664855,2667.8,49.4
RC244,1829320,5664860,840.4,19.4
RC245,1829312,5664860,1365.9,81.2
RC246,1829295,5664864,3948.4,63.6
RC247,1829288,5664875,0.0,5.2
RC248,1829288,5664886,1013.8,61.3
RC249,1829288,5664892,8.0,9.4
RC250,1829293,5664870,0.0,0.0
RC251,1829301,5664845,0.0,0.2
RC252,1829323,5664831,0.0,1.9
RC253,1829343,5664830,11151.5,30.7
RC254,1829330,5664823,0.0,4.9
RC255,1829357,5664817,0.0,2.5
RC256,1829364,5664813,0.0,6.6
RC257,1829373,5664821,0.0,7.8
RC258,1829383,5664827,1005.8,59.7
RC259,1829394,5664833,784.3,34.2
RC260,1829399,5664824,0.0,6.3
RC261,1829400,5664888,192.1,0.7
RC263,1829394,5664866,650.9,3.0
RC264,1829404,5664858,141.4,3.3
RC265,1829421,5664852,152.1,5.2
RC266,1829420,5664877,72.0,0.5
RC267,1829438,5664866,0.0,3.2
RC268,1829434,5664861,477.5,21.8
