MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
267,1927365,5780244,37.91,17.4
268,1927359,5780236,52.56,16.5
269,1927352,5780226,53.52,16.5
270,1927349,5780217,41.73,16.0
271,1927343,5780211,41.09,16.6
272,1927332,5780191,24.53,16.4
273,1927316,5780165,32.49,17.2
274,1927304,5780148,41.89,16.4
275,1927292,5780130,42.05,17.6
276,1927275,5780102,26.76,17.4
277,1927268,5780088,33.13,17.7
278,1927253,5780060,26.76,17.7
279,1927197,5780147,18.79,17.9
280,1927213,5780166,27.71,19.6
281,1927230,5780190,42.69,18.3
282,1927243,5780209,20.39,16.4
283,1927254,5780227,34.72,18.8
284,1927261,5780235,30.58,17.8
285,1927266,5780244,24.85,18.8
286,1927271,5780250,25.48,18.4
287,1927277,5780262,38.54,18.0
288,1927280,5780269,38.86,18.0
289,1927292,5780282,43.32,18.6
290,1927299,5780290,40.14,18.4
291,1927303,5780297,43.96,18.0
292,1927307,5780306,25.80,17.9
293,1927311,5780313,17.52,19.4
294,1927316,5780320,33.45,18.1
295,1927321,5780328,38.54,19.1
296,1927327,5780340,46.21,17.8
297,1927332,5780343,43.33,17.8
298,1927336,5780352,39.80,19.2
299,1927344,5780366,12.84,18.8
300,1927347,5780372,27.28,18.6
301,1927353,5780380,63.87,17.2
302,1927358,5780388,54.56,18.8
303,1927364,5780396,22.14,19.0
304,1927371,5780405,45.25,18.3
305,1927380,5780416,55.84,18.0
306,1927385,5780424,36.59,18.8
307,1927389,5780435,41.08,18.3
308,1927399,5780448,50.07,18.5
309,1927406,5780460,41.08,19.1
310,1927411,5780465,54.24,18.9
311,1927416,5780470,35.30,18.7
312,1927421,5780478,55.20,19.6
313,1927424,5780485,50.39,17.8
314,1927429,5780492,35.30,17.8
315,1927435,5780502,47.18,19.3
316,1927440,5780510,21.82,19.8
317,1927446,5780519,38.83,19.5
318,1927456,5780534,38.51,19.3
319,1927459,5780538,21.50,20.5
320,1927464,5780547,15.40,20.5
321,1927470,5780558,17.01,19.1
322,1927479,5780571,29.53,20.9
323,1927482,5780576,30.17,20.8
324,1927488,5780583,42.36,19.7
325,1927493,5780591,31.77,19.3
326,1927501,5780602,25.03,19.0
327,1927505,5780612,12.20,20.0
328,1927511,5780618,25.35,20.6
329,1927517,5780629,40.44,20.4
330,1927525,5780639,28.24,20.3
331,1927529,5780648,7.38,24.5
332,1927534,5780655,29.53,21.0
333,1927539,5780665,74.30,19.7
334,1927543,5780670,58.09,19.0
335,1927545,5780671,31.13,19.0
336,1927551,5780680,30.81,20.1
337,1927558,5780692,44.61,21.0
338,1927565,5780703,44.29,18.0
339,1927567,5780708,37.23,19.0
340,1927583,5780732,37.23,17.1
341,1927593,5780748,48.46,19.3
342,1927609,5780770,45.89,18.8
343,1927624,5780795,31.13,196.0
344,1927636,5780813,48.78,19.8
345,1927652,5780835,36.59,18.9
346,1927668,5780860,50.71,21.4
347,1927679,5780875,48.14,19.3
348,1927690,5780895,34.02,19.2
349,1927704,5780915,36.59,21.8
350,1927721,5780941,36.27,20.6
351,1927733,5780961,51.99,19.6
352,1927744,5780982,59.56,21.2
353,1927801,5780925,51.96,22.0
354,1927792,5780909,58.93,19.0
355,1927778,5780889,39.28,20.7
356,1927763,5780863,61.46,21.2
357,1927744,5780839,59.24,20.1
358,1927737,5780824,37.07,21.7
359,1927721,5780800,59.88,20.3
360,1927711,5780782,36.12,20.4
361,1927695,5780757,61.46,19.6
362,1927678,5780733,56.08,22.0
187,1927809,5780941,52.59,19.0
189,1927782,5780900,62.10,20.3
191,1927764,5780862,44.35,22.0
194,1927763,5780856,48.16,21.2
195,1927725,5780803,51.01,20.1
198,1927690,5780750,38.65,21.5
210,1927610,5780628,2.53,23.9
