MeasurementNumber,NZTM-mE,NZTM-mN,CO2
226,1885976,5773024,2.09
227,1885900,5773029,64.05
228,1885827,5773065,26.51
229,1885789,5773147,29.49
230,1885792,5773205,6.55
231,1885716,5773321,18.17
232,1885697,5773372,3.87
233,1885775,5773393,19.66
234,1885808,5773416,95.63
235,1885821,5773392,228.79
236,1885851,5773391,34.26
237,1885879,5773408,11.02
238,1885885,5773365,25.62
239,1885816,5773318,1.19
240,1885781,5773268,11.62
241,1885768,5773088,1.19
242,1885704,5773110,1.19
243,1885665,5773163,5.66
244,1885657,5773278,1.79
245,1885624,5773337,19.66
246,1885607,5773399,1.79
247,1885568,5773490,70.90
248,1885527,5773590,1.19
249,1885673,5773098,1.19
250,1885704,5773037,1.19
251,1885733,5772949,14.60
252,1885754,5772800,33.66
253,1885853,5772701,2.09
254,1885816,5772875,45.58
255,1885833,5772949,1.19
256,1885811,5772998,220.74
257,1885515,5773640,19.83
258,1885598,5773638,5.71
259,1885700,5773733,55.88
260,1885632,5773708,16.52
261,1885572,5773695,37.25
262,1885507,5773735,5.41
263,1885542,5773781,8.11
264,1885604,5773783,2.40
265,1885584,5773749,8.71
266,1885616,5773826,791.87
267,1885548,5773844,30.04
268,1885539,5773916,9.61
269,1885540,5773974,34.55
270,1885611,5773968,9.61
271,1885611,5773946,11535.52
272,1885639,5773990,67.89
273,1885678,5774016,383.62
274,1885727,5773976,14.42
275,1885749,5773916,17.72
276,1885734,5773860,23.43
277,1885812,5773903,368.90
278,1885845,5773906,8.71
279,1885798,5773995,30.34
280,1885877,5774031,1.20
281,1885915,5773999,103.64
282,1885975,5774030,31.54
283,1886015,5774125,1.20
284,1886059,5774201,1.20
285,1886006,5774166,55.88
286,1885956,5774117,92.22
287,1885912,5774162,102.44
288,1885929,5774078,170.93
289,1885863,5774073,11.42
290,1885797,5774037,42.66
291,1885707,5774034,193.46
292,1885648,5774007,6.01
293,1885958,5774190,124.44
294,1886071,5774227,79.44
295,1886123,5774244,11.78
296,1886171,5774278,20.84
297,1886134,5774319,6.95
298,1886107,5774285,24.77
299,1886049,5774296,7.25
300,1886092,5774356,13.89
301,1886068,5774393,3.93
302,1886134,5774409,28.69
303,1886081,5774447,3.62
304,1886097,5774496,1.21
305,1886151,5774495,2.11
306,1886175,5774548,14.80
307,1886130,5774572,20.24
308,1886151,5774626,1.51
309,1886212,5774630,52.86
310,1886205,5774703,22.65
311,1886146,5774695,23.56
312,1886109,5774767,27.18
313,1886062,5774709,10.87
314,1886099,5774654,9.97
315,1886076,5774584,1.21
316,1886032,5774609,11.78
317,1885981,5774581,10.87
318,1886035,5774540,12.38
319,1885995,5774499,4.53
320,1886009,5774448,33.23
321,1886004,5774394,16.01
322,1885963,5774448,1.81
323,1885943,5774497,13.29
324,1885928,5774551,18.42
325,1885868,5774553,1.21
326,1885876,5774505,4.83
327,1885898,5774445,1.51
328,1885918,5774377,16.31
329,1885872,5774352,9.36
330,1885845,5774397,22.65
331,1885836,5774450,12.69
332,1885816,5774501,16.01
333,1885782,5774550,6.95
334,1885728,5774601,5.13
335,1885680,5774619,1.21
336,1885629,5774560,12.08
337,1885627,5774503,15.10
338,1885712,5774536,27.79
339,1885758,5774481,11.78
340,1885789,5774430,20.84
341,1885820,5774322,38.06
342,1885794,5774360,34.43
343,1885739,5774375,26.28
344,1885759,5774330,1.16
345,1885695,5774314,1.16
346,1885687,5774269,34.19
347,1885790,5774272,6.95
348,1885754,5774256,13.91
349,1885797,5774220,10.14
350,1885988,5774326,8.11
351,1885971,5774274,11.30
352,1885857,5774248,31.58
353,1885844,5774280,35.06
354,1885915,5774213,6.37
355,1885842,5774195,69.24
356,1885860,5774147,1.16
357,1885866,5774100,16.22
358,1885783,5774074,72.43
359,1885722,5774078,20.86
360,1885794,5774113,30.42
361,1885821,5774137,115.02
362,1885796,5774183,65.77
363,1885750,5774135,116.76
364,1885736,5774185,4.06
365,1885725,5774214,4.64
366,1885693,5774133,11.59
367,1885646,5774075,13.33
368,1885585,5774055,62.58
369,1885548,5774021,88.94
370,1885494,5774007,107.20
371,1885516,5774062,161.95
372,1885612,5774112,8.40
373,1885618,5774170,7.53
374,1885668,5774175,77.94
375,1885668,5774227,14.20
376,1885627,5774255,33.03
377,1885591,5774357,42.88
378,1885609,5774409,8.11
379,1885635,5774466,9.85
380,1885708,5774463,8.69
381,1885701,5774397,24.63
382,1885667,5774362,55.05
383,1885630,5774314,17.67
384,1885595,5774264,24.13
385,1885551,5774401,0.60
386,1885560,5774473,11.46
387,1885566,5774586,6.64
388,1885479,5774606,23.53
389,1885370,5774648,15.69
390,1885243,5774633,15.69
391,1885286,5774583,6.03
392,1885409,5774572,14.48
393,1885473,5774552,16.29
394,1885538,5774507,8.75
395,1885502,5774459,16.59
396,1885501,5774388,6.33
397,1885448,5774375,7.24
398,1885414,5774419,19.61
399,1885359,5774421,55.20
400,1885430,5774496,294.11
401,1885375,5774513,85.97
402,1885328,5774503,1.21
403,1885250,5774515,5.73
404,1885210,5774457,1.21
405,1885306,5774454,27.15
406,1885281,5774383,2.71
407,1885371,5774379,76.92
408,1885562,5774323,1.21
409,1885533,5774293,35.90
410,1885494,5774245,23.53
411,1885427,5774226,219.60
412,1885369,5774252,55.20
413,1885413,5774288,126.69
414,1885364,5774313,180.09
415,1885425,5774375,349.92
416,1885417,5774325,136.95
417,1885472,5774332,19.00
418,1885466,5774301,249.17
419,1885465,5774255,40.12
420,1885417,5774256,27.45
421,1885382,5774215,4.83
422,1885496,5774209,12.37
423,1885557,5774205,46.15
424,1885577,5774256,12.07
425,1885555,5774115,19.61
426,1885554,5774148,18.70
427,1885510,5774169,27.45
428,1885520,5774115,25.34
429,1885482,5774116,27.45
430,1885461,5774166,21.12
431,1885407,5774159,56.71
432,1885350,5774143,1.21
433,1885409,5774124,56.41
434,1885360,5774105,18.40
435,1885379,5774055,8.14
436,1885433,5774069,18.70
437,1885470,5774072,53.09
438,1885474,5774021,38.31
439,1885434,5774039,7.24
440,1885393,5774024,26.85
441,1885349,5774011,38.91
442,1885343,5774042,51.58
443,1885351,5773944,41.93
444,1885341,5773883,46.45
445,1885424,5773910,1.21
446,1885407,5773940,45.25
447,1885472,5773877,111.61
448,1885504,5773861,83.26
449,1885499,5773940,20.81
450,1885463,5773931,7.84
451,1885453,5773981,5.13
452,1885475,5774002,11.16
453,1885426,5773987,13.88
454,1884361,5774207,36.58
455,1884368,5774364,13.11
456,1884475,5774678,91.44
457,1885465,5774299,60.96
458,1884497,5775237,42.67
459,1884461,5775204,16.16
460,1884608,5775052,76.20
461,1884838,5774987,36.58
462,1884308,5775084,15.24
463,1884856,5774850,1.22
464,1884999,5774799,39.63
465,1885092,5774573,18.90
466,1884859,5774526,25.91
467,1885052,5774277,1.22
468,1885179,5774198,30.48
469,1885038,5774089,15.24
470,1885121,5773900,26.82
471,1884582,5773962,21.34
472,1885132,5773759,128.02
473,1884361,5774207,18.95
474,1884370,5774366,15.59
475,1884478,5774680,262.88
476,1885465,5774301,146.72
477,1885519,5773129,1.22
478,1885519,5773129,11.62
479,1885519,5773129,6.42
480,1885539,5773101,6.11
481,1885477,5773180,17.73
482,1885343,5773329,16.51
483,1885343,5773329,17.42
484,1885213,5773517,14.06
485,1885213,5773517,12.23
486,1885344,5773686,36.68
487,1886438,5772669,4.89
488,1886438,5772669,5.81
489,1886429,5772771,155.89
490,1886429,5772771,134.49
491,1886429,5772771,3423.50
492,1886370,5772792,48.91
493,1886370,5772792,18.34
494,1886370,5772792,446.28
495,1886335,5772845,17.12
496,1886335,5772845,125.32
497,1886335,5772845,48.91
498,1886325,5772764,210.91
499,1886325,5772764,30.57
500,1886325,5772764,76.42
501,1886325,5772764,855.87
502,1886256,5772783,21.40
503,1886256,5772783,14.67
504,1886105,5772849,9.48
505,1886105,5772849,7.03
506,1886026,5772917,6.11
507,1886026,5772917,9.48
508,1885944,5772843,3.67
509,1886066,5772774,39.74
510,1886155,5772651,30.26
511,1886155,5772651,20.17
512,1886108,5772645,5.20
513,1886108,5772645,11.00
514,1886082,5772612,48.91
515,1886082,5772612,23.54
516,1886082,5772612,12.53
517,1886086,5772553,48.91
518,1886086,5772553,15.28
519,1886145,5772544,67.25
520,1886145,5772544,162.00
521,1886259,5772608,48.91
522,1886259,5772608,36.68
523,1885482,5772435,10.39
524,1885482,5772435,34.23
525,1885528,5772464,462.29
526,1885528,5772464,1039.40
527,1885521,5772567,9.06
528,1885521,5772567,6.65
529,1885488,5772640,26.29
530,1885488,5772640,33.24
531,1885316,5772673,29.31
532,1885316,5772673,17.52
533,1885330,5772757,18.43
534,1885330,5772757,1.81
535,1885362,5772839,22.06
536,1885396,5772843,20.55
537,1885452,5772899,7.25
538,1885473,5772887,4.53
539,1885546,5772953,30.22
540,1885605,5772841,11.48
541,1885620,5772788,7.86
542,1885660,5772748,17.22
543,1885706,5772625,3.02
544,1885706,5772625,2.42
545,1885633,5772552,9.97
546,1885633,5772552,3.02
547,1885554,5772508,36.26
548,1885554,5772508,519.70
549,1885554,5772508,45.32
550,1885539,5772379,12.09
551,1885539,5772379,17.83
552,1885498,5772327,6.95
553,1885498,5772327,5.74
554,1885297,5772487,26.59
555,1885297,5772487,13.90
556,1885167,5773098,56.20
557,1885167,5773098,30.82
558,1885161,5772933,24.17
559,1885161,5772933,69.49
560,1885161,5772933,42.30
561,1885151,5772769,11.18
562,1885151,5772769,10.88
563,1885139,5772491,25.38
564,1885006,5773406,84.68
565,1885006,5773406,51.42
566,1885006,5773406,66.54
567,1884829,5773414,17.84
568,1884829,5773414,15.12
569,1884829,5773414,17.24
570,1884591,5773428,8.47
571,1884591,5773428,2.42
572,1884591,5773428,19.05
573,1884802,5773136,45.37
574,1884802,5773136,36.29
575,1884976,5773148,14.82
576,1884924,5772851,48.39
577,1884924,5772851,21.17
578,1884585,5772953,33.27
579,1884585,5772953,66.54
580,1884493,5772635,27.82
581,1884149,5772623,36.29
582,1884149,5772623,21.17
583,1885017,5772525,25.10
584,1885017,5772525,23.29
585,1884587,5772231,36.29
586,1884587,5772231,21.17
587,1884758,5772091,417.47
588,1885028,5772182,38.77
589,1885028,5772182,38.77
590,1885268,5772144,35.78
591,1885268,5772144,28.33
592,1885508,5772179,44.73
593,1885508,5772179,24.75
594,1885654,5772201,18.19
595,1885654,5772201,38.77
596,1885469,5772011,35.78
597,1885469,5772011,35.78
598,1885291,5771933,26.84
599,1885291,5771933,16.40
600,1885291,5771927,18.79
601,1885291,5771927,26.54
602,1885135,5771924,10.14
603,1885135,5771924,22.96
604,1885121,5771736,23.86
605,1885121,5771736,35.78
606,1885233,5771573,10.14
607,1885471,5771568,21.47
608,1885425,5771447,25.64
609,1885425,5771447,21.17
610,1885722,5771427,8.35
611,1885722,5771427,22.36
612,1886036,5771660,24.15
613,1885771,5771923,14.61
614,1885761,5772022,5.67
615,1885765,5772182,29.82
616,1885902,5772300,18.19
617,1886008,5772310,21.77
618,1886009,5772303,600.86
619,1886017,5772265,25.05
620,1886021,5772374,1.19
621,1886160,5772427,19.68
622,1886071,5772156,41.75
623,1886030,5771995,23.86
624,1884874,5771945,79.89
625,1884874,5771945,56.85
626,1884239,5772010,47.32
627,1884046,5771828,78.05
628,1884046,5771828,73.75
629,1884076,5771406,14.44
630,1884189,5771466,230.46
631,1884189,5771466,116.77
632,1884228,5771473,15.36
633,1884262,5771489,1622.43
634,1884274,5771498,605.34
635,1884328,5771519,17.21
636,1884177,5771148,21.51
637,1884177,5771148,76.82
