MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
877,1908187,5764088,7.7,15.3
878,1908225,5764127,17.67,13.4
879,1908344,5764140,0.97,12.8
880,1908428,5764101,0,14.6
881,1908394,5764042,0,14.4
882,1908382,5764050,0,17.0
883,1908351,5764012,0,15.7
884,1908341,5764009,0,16.0
886,1908311,5763988,0,15.2
887,1908188,5763971,0.4,22.2
888,1908130,5764041,2.84,18.0
889,1906373,5762837,0,
891,1906373,5762837,0.43,
892,1906281,5762821,5.7,
893,1906140,5762751,0,
894,1906014,5762635,0.63,
895,1906014,5762635,0,
896,1905760,5762502,0.34,
897,1905767,5762432,0.28,
898,1905787,5762293,0,
899,1907338,5763076,0,
900,1907450,5763171,0,
901,1907523,5763235,1.6,
902,1907610,5763349,0,
903,1907750,5763450,0,
904,1907835,5763507,0.43,
905,1907942,5763730,1,
906,1907898,5763915,0.85,
907,1907860,5763918,0.63,
908,1907817,5763916,0.68,
909,1907785,5763910,0.28,
910,1907785,5763910,0.28,
911,1907699,5763770,0,
912,1907606,5763731,0,
913,1907499,5763709,1.79,
914,1907325,5763621,0.83,
915,1907785,5763910,0,
916,1907785,5763910,0,
917,1907814,5763841,0,
918,1907814,5763841,0,
919,1907814,5763841,0,
920,1907958,5763799,0,
921,1907958,5763799,0,
922,1907942,5763730,0,
923,1907942,5763730,0.21,
924,1907931,5763689,0.54,
925,1907931,5763689,0.05,
