MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
286,1884048,5771752,45.80,0.043,21.6
287,1884077,5771661,17.36,0.046,18.8
288,1884086,5771547,22.53,0.043,21.6
289,1884066,5771414,41.22,0.054,25.2
290,1884117,5771305,37.56,0.049,24.9
291,1884218,5771191,26.22,0.049,23.8
292,1884311,5771086,30.29,0.063,23.5
293,1884432,5771837,3.70,0.014,21.6
294,1884550,5771839,47.98,0.011,17.2
295,1884717,5771833,45.31,0.007,18.0
296,1884895,5771829,40.61,0.010,18.7
297,1885073,5771820,92.73,0.024,21.3
298,1885079,5771706,174.84,0.025,20.1
299,1885077,5771525,78.00,0.023,17.6
300,1885068,5771359,132.16,0.020,20.4
301,1885090,5771230,109.87,0.028,27.8
302,1884949,5771199,78.19,0.063,23.2
303,1884810,5771123,54.86,0.022,19.0
304,1884503,5771942,25.86,0.031,19.4
305,1884665,5772335,0.00,0.018,21.1
306,1884873,5772564,60.02,0.070,32.2
307,1884944,5772786,34.96,0.059,29.8
308,1884476,5772873,105.18,0.084,22.8
309,1884260,5772667,61.69,0.062,18.9
310,1884390,5772399,43.99,0.056,18.8
311,1884808,5773151,4.73,0.079,31.0
312,1884346,5773584,115.63,0.079,25.1
313,1884011,5773377,135.34,0.068,21.6
314,1884836,5773885,53.03,0.010,21.8
315,1884845,5773886,62.54,6.243,20.9
316,1886702,5771515,91.08,0.213,16.8
317,1886511,5771387,31.22,0.020,18.2
318,1886084,5771046,12.85,0.043,26.4
319,1885830,5770825,6.61,0.019,20.1
320,1885642,5770556,8.45,0.031,27.6
321,1885268,5770485,36.80,0.031,18.8
322,1884919,5770264,43.45,0.021,29.4
323,1884549,5769980,11.75,0.045,16.8
324,1884974,5769940,23.50,0.025,16.0
325,1885331,5769977,28.28,0.037,15.9
326,1885774,5769824,65.15,0.040,26.4
327,1886141,5769869,216.86,0.037,22.3
328,1885268,5771246,36.07,0.014,31.1
329,1885255,5771192,30.16,0.186,25.9
330,1885204,5771053,27.44,0.007,21.6
331,1885229,5771085,26.54,0.017,41.1
332,1885274,5771049,49.13,0.022,22.5
333,1885304,5770994,12.97,0.077,22.4
334,1885271,5770932,8.14,0.028,21.7
335,1885376,5770916,5.73,0.023,29.8
336,1885418,5770890,9.05,0.068,32.3
337,1885353,5770871,20.21,0.023,28.7
338,1885399,5771004,110.35,0.022,96.9
339,1885409,5771008,91.65,0.226,52.5
340,1885396,5771181,38.54,0.054,24.5
341,1885448,5771276,20.51,0.011,52.1
342,1885517,5772490,558.30,0.039,42.4
343,1885539,5772493,189.99,0.067,31.6
344,1885559,5772498,722.57,3.655,35.2
345,1885544,5772468,37.58,0.000,32.6
346,1885540,5772442,499.07,0.309,31.1
347,1885521,5772428,43.04,0.309,22.9
348,1885582,5772557,17.46,0.039,33.2
349,1885513,5772639,48.06,0.070,26.4
350,1885425,5772708,41.73,0.018,24.8
351,1885374,5772825,42.57,0.073,22.1
352,1885543,5772791,109.11,0.087,21.8
353,1885559,5772688,2.77,0.056,25.2
354,1885471,5772216,72.44,0.028,25.6
355,1885638,5771966,64.29,0.012,26.0
356,1885456,5771651,56.25,0.012,28.3
357,1885206,5771851,127.31,0.076,27.4
