MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
1132011130,1877176,5719668,127.1,19.5
1132011131,1877167,5719671,24.2,20.0
1132011132,1877159,5719671,9.1,18.2
1132011133,1877165,5719683,18.2,15.0
1132011134,1877159,5719688,36.3,15.0
1132011135,1877198,5719668,6.1,16.6
1132011136,1877203,5719657,6.1,18.8
1132011137,1877205,5719669,60.5,18.4
1132011138,1877203,5719681,160.4,14.3
1132011139,1877199,5719677,15.1,14.5
1132011140,1877203,5719681,6.1,15.4
1132011141,1877209,5719684,12.1,16.9
1132011142,1877210,5719680,272.4,16.0
1132011143,1877217,5719682,36.3,15.3
1132011144,1877217,5719685,12.1,20.0
1132011145,1877226,5719676,9.1,18.0
1132011146,1877213,5719674,317.8,17.0
1132011147,1877211,5719667,317.8,19.5
1132011148,1877208,5719663,2421.1,65.0
1132011149,1877215,5719659,184.6,75.8
1132011150,1877218,5719665,21.2,18.0
1132011151,1877226,5719663,36.3,19.0
1132011152,1877222,5719657,211.9,18.8
1132011153,1877230,5719656,57.5,18.0
1132011154,1877237,5719652,9.1,14.4
1132011155,1877238,5719660,15.1,16.5
1132011156,1877238,5719670,24.4,26.0
1132011157,1877250,5719663,6.1,18.0
1132011158,1877248,5719650,9.1,17.5
1132011159,1877260,5719643,18.3,17.0
1132011160,1877273,5719655,6.1,18.5
1132011161,1877280,5719632,12.2,18.4
1132011162,1877288,5719640,12.2,17.5
1132011163,1877303,5719631,12.2,24.5
1132011164,1877317,5719637,9.1,26.0
1132011165,1877332,5719636,9.1,21.5
1132011166,1877343,5719631,12.2,28.5
1132011167,1877344,5719620,-3.1,23.0
1132011168,1877335,5719616,76.1,38.0
1132011169,1877333,5719623,2040.6,28.5
1132011170,1877339,5719622,2527.9,31.1
1132011171,1877334,5719632,459.9,21.0
1132011172,1877325,5719630,12185.6,21.5
1132011173,1877320,5719633,42.6,25.0
1132011174,1877320,5719624,520.8,33.1
1132011175,1877324,5719624,1541.1,30.0
1132011176,1877329,5719620,39.6,32.0
1132011177,1877321,5719617,3.1,18.0
1132011178,1877316,5719626,27.4,32.0
1132011179,1877308,5719623,42.6,24.0
1132011180,1877292,5719625,6.1,22.0
1132011181,1877301,5719621,6.1,24.0
1132011182,1877305,5719614,18.2,23.8
1132011183,1877314,5719615,21.3,26.8
1132011184,1877306,5719607,24.3,27.6
1132011185,1877314,5719607,758.9,35.5
1132011186,1877316,5719611,221.6,36.0
1132011187,1877308,5719616,6982.0,25.9
1132011188,1877302,5719619,2732.1,23.0
1132011189,1877312,5719622,667.8,25.5
1132011190,1877316,5719619,75.9,31.1
1132011191,1877319,5719614,42.5,59.0
1132011192,1877321,5719607,1821.4,89.4
1132011193,1877320,5719602,63.8,41.0
1132011194,1877326,5719603,78.9,69.0
1132011195,1877331,5719606,154.8,87.9
1132011196,1877330,5719603,20035.2,97.0
1132011197,1877329,5719609,21553.0,97.2
1132011198,1877333,5719608,53730.7,97.2
1132011199,1877334,5719611,91069.0,97.2
1132011200,1877330,5719613,58284.2,79.0
1132011201,1877325,5719611,14571.0,87.5
1132011202,1877326,5719606,500.9,78.8
1132011203,1877322,5719612,2528.7,96.5
1132011204,1877332,5719607,17919.3,95.5
1132011205,1877325,5719631,27.3,19.0
1132011206,1877322,5719619,282.3,37.5
12032011001,1877349,5719636,6.2,16.0
12032011002,1877365,5719624,6.2,17.5
12032011003,1877374,5719641,12.4,17.5
12032011004,1877364,5719645,3.1,15.5
12032011005,1877340,5719662,18.7,15.4
12032011006,1877383,5719680,21.8,15.2
12032011007,1877398,5719689,3.1,15.4
12032011008,1877409,5719714,3.1,16.0
12032011009,1877381,5719721,3.1,15.2
12032011010,1877356,5719732,18.7,16.1
12032011011,1877324,5719704,12.4,16.3
12032011012,1877281,5719708,3.1,16.5
12032011013,1877272,5719728,3.1,14.4
12032011014,1877302,5719731,3.1,14.5
12032011015,1877328,5719756,9.3,15.0
12032011016,1877356,5719768,12.4,17.0
12032011017,1877725,5719828,6.2,18.0
12032011018,1877728,5719802,3.1,17.5
12032011019,1877757,5719812,9.3,17.7
12032011020,1877757,5719788,6.2,18.8
12032011021,1877761,5719779,3.1,18.8
12032011022,1877758,5719766,12.4,21.8
12032011023,1877758,5719769,248671.1,27.0
12032011024,1877755,5719769,164.7,21.5
12032011025,1877753,5719775,5595.1,23.4
12032011026,1877749,5719784,12.4,19.4
12032011027,1877757,5719783,39.8,21.8
12032011028,1877745,5719776,6.1,18.7
12032011029,1877740,5719774,6.1,18.0
12032011030,1877735,5719787,3.1,16.0
12032011031,1877721,5719769,9.2,16.5
12032011032,1877732,5719763,9.2,17.0
12032011033,1877722,5719749,21.4,17.5
12032011034,1877717,5719729,3.1,16.5
12032011035,1877741,5719745,18.4,19.0
12032011036,1877747,5719751,24.5,25.3
12032011037,1877748,5719740,6.1,17.0
12032011038,1877753,5719746,122.5,27.8
12032011039,1877758,5719742,18.4,18.8
12032011040,1877760,5719749,18.4,23.8
12032011041,1877760,5719752,25426.6,81.0
12032011042,1877755,5719759,30.6,26.0
12032011043,1877756,5719762,24.5,20.5
12032011044,1877756,5719767,3.1,26.4
12032011045,1877764,5719753,21444.1,79.0
12032011046,1877753,5719755,9.2,26.0
12032011047,1877770,5719745,18.4,20.0
12032011048,1877765,5719729,6.1,18.0
12032011049,1877786,5719736,21.4,18.2
12032011050,1877780,5719715,15.3,19.6
12032011051,1877794,5719702,15.3,23.8
12032011052,1877808,5719698,0.3,27.0
12032011053,1877825,5719701,12.3,21.5
12032011054,1877846,5719705,3.1,21.0
12032011055,1877858,5719709,6.1,34.5
12032011056,1877870,5719703,766.6,22.5
12032011057,1877867,5719700,18.4,21.7
12032011058,1877859,5719705,15.3,30.0
12032011059,1877874,5719708,30.7,21.0
12032011060,1877875,5719699,15.3,20.0
12032011061,1877892,5719711,18.4,20.0
12032011062,1877881,5719714,6.1,21.5
12032011063,1877861,5719717,15.3,22.0
12032011064,1877877,5719722,0.3,24.0
12032011065,1877876,5719723,6.1,27.0
12032011066,1877889,5719731,3.1,25.0
12032011067,1877885,5719738,36.8,28.0
12032011068,1877891,5719737,12.3,28.5
12032011069,1877888,5719743,39.9,34.0
12032011070,1877891,5719746,3.1,34.0
12032011071,1877897,5719740,27.6,21.0
12032011072,1877884,5719753,168.7,22.0
12032011073,1877888,5719754,3.1,25.0
12032011074,1877884,5719766,92.0,22.0
12032011075,1877889,5719763,0.3,20.8
12032011076,1877879,5719759,24.5,37.7
12032011077,1877879,5719757,5887.9,22.0
12032011078,1877878,5719764,-1.8,22.0
12032011079,1877874,5719761,440.4,23.0
12032011080,1877871,5719766,1.8,20.8
12032011081,1877878,5719771,6.2,20.5
12032011082,1877891,5719774,3.1,20.0
12032011083,1877866,5719778,3.1,22.8
12032011084,1877864,5719787,322099.2,47.0
12032011085,1877871,5719790,769.9,19.3
12032011086,1877873,5719792,15.4,18.0
12032011087,1877868,5719795,123.2,20.0
12032011088,1877874,5719782,40.0,18.0
12032011089,1877880,5719784,6.2,18.5
12032011090,1877871,5719781,18.5,28.0
12032011091,1877867,5719784,123185.5,29.0
12032011092,1877861,5719789,548.2,19.0
12032011093,1877862,5719796,37.0,18.7
12032011094,1877861,5719802,9.2,14.8
12032011095,1877865,5719799,12.3,17.0
12032011096,1877853,5719798,6.2,19.4
12032011097,1877850,5719786,61.6,19.5
12032011098,1877852,5719784,62208.7,30.5
12032011099,1877852,5719778,1971.0,26.0
12032011100,1877847,5719788,9.2,20.5
12032011101,1877845,5719773,21.6,28.0
12032011102,1877839,5719780,1231.9,25.8
12032011103,1877844,5719780,9.2,24.0
12032011104,1877833,5719792,206.3,25.0
12032011105,1877840,5719795,21.6,18.5
12032011106,1877831,5719798,21.6,20.0
12032011107,1877827,5719786,3.1,30.0
12032011108,1877831,5719783,5375.6,32.0
12032011109,1877840,5719788,18.5,22.0
12032011110,1877822,5719798,74.1,20.5
12032011111,1877826,5719804,12.4,20.0
12032011112,1877812,5719808,18.5,20.5
12032011113,1877810,5719794,234.8,19.0
12032011114,1877817,5719788,12607.9,34.2
12032011115,1877817,5719778,17300.7,42.0
12032011116,1877824,5719775,10195.0,25.0
12032011117,1877807,5719784,3.1,20.5
12032011118,1877802,5719795,5004.8,18.2
12032011119,1877805,5719801,401.6,20.5
12032011120,1877803,5719809,9.3,15.8
12032011121,1877795,5719809,15.4,17.0
12032011122,1877793,5719802,46.3,19.0
12032011123,1877792,5719786,15.4,21.0
12032011124,1877778,5719793,6.2,21.0
12032011125,1877788,5719806,9.3,18.0
12032011126,1877771,5719812,6.2,16.0
12032011127,1877775,5719803,6.2,19.0
12032011128,1877765,5719787,30.9,20.0
12032011129,1877767,5719795,349.1,19.0
12032011130,1877771,5719797,30.9,19.5
12032011131,1877764,5719805,3.1,20.0
12032011132,1877756,5719796,201.5,20.0
12032011133,1877752,5719804,3.1,19.1
12032011134,1877747,5719791,3.1,19.0
12032011135,1877740,5719801,3.1,19.0
12032011136,1877742,5719723,9.3,19.0
12032011137,1877773,5719720,6.2,20.0
12032011138,1877803,5719749,3.1,26.0
12032011139,1877821,5719757,3.1,26.0
12032011140,1877816,5719760,3.1,24.0
12032011141,1877805,5719759,3.1,26.0
12032011142,1877798,5719749,6.2,26.5
14032011001,1877438,5719634,12.1,22.3
14032011002,1877457,5719667,9.0,22.0
14032011003,1877470,5719692,18.1,20.0
14032011004,1877490,5719676,6.0,18.8
14032011005,1877498,5719653,18.1,19.8
14032011006,1877468,5719653,18.1,21.0
14032011007,1877518,5719664,6.0,19.8
14032011008,1877534,5719661,6.0,26.0
14032011009,1877544,5719671,21.1,25.1
14032011010,1877555,5719661,626.7,48.1
14032011011,1877552,5719667,256.1,27.8
14032011012,1877542,5719665,24.1,28.0
14032011013,1877553,5719679,27.1,26.4
14032011014,1877562,5719688,6.1,22.2
14032011015,1877577,5719698,12.1,23.4
14032011016,1877595,5719701,6.1,21.8
14032011017,1877610,5719708,21.2,18.0
14032011018,1877628,5719712,30.3,18.8
14032011019,1877632,5719726,15.2,23.3
14032011020,1877646,5719725,27.3,23.5
14032011021,1877659,5719729,12.1,20.5
14032011022,1877640,5719751,15.2,20.5
14032011023,1877611,5719763,9.1,19.0
14032011024,1877614,5719742,18.2,17.5
14032011025,1877594,5719741,3.0,19.0
14032011026,1877588,5719711,6.1,19.4
14032011027,1877552,5719760,6.1,21.0
14032011028,1877554,5719727,21.2,23.3
14032011029,1877518,5719723,18.2,24.0
14032011030,1877511,5719700,15.2,20.0
14032011031,1877487,5719698,21.2,20.8
14032011032,1877477,5719717,3.0,19.0
14032011033,1877483,5719741,4.6,26.0
14032011034,1877519,5719757,9.2,20.0
14032011035,1877680,5719803,9.2,22.0
14032011036,1877647,5719793,12.2,22.3
14032011037,1877670,5719761,21.3,21.2
14032011038,1877694,5719763,15.3,19.2
14032011039,1877688,5719742,30.5,18.8
14032011040,1877681,5719726,12.2,19.0
14032011041,1877703,5719739,18.3,18.0
14032011042,1877703,5719714,4.6,19.5
14032011043,1877717,5719707,6.1,20.5
14032011044,1877735,5719712,3.1,22.9
15032011001,1878000,5719814,30.3,20.0
15032011002,1877998,5719797,233.4,21.8
15032011003,1877986,5719789,45.5,19.4
15032011004,1877996,5719783,87.9,21.8
15032011005,1878004,5719786,697.1,24.5
15032011006,1878011,5719775,3.0,19.1
15032011007,1878000,5719794,727.4,36.6
15032011008,1878008,5719786,12.1,38.3
15032011009,1877988,5719781,763.8,28.5
15032011010,1877982,5719771,24.2,23.1
15032011011,1877975,5719761,4.5,27.5
15032011012,1877968,5719761,9.1,25.0
15032011013,1877968,5719772,90.9,25.4
15032011014,1877956,5719771,24.2,20.0
15032011015,1877957,5719769,30.3,20.9
15032011016,1877961,5719773,2727.8,34.0
15032011017,1877965,5719783,30.3,21.1
15032011018,1877976,5719780,378.9,32.4
15032011019,1877981,5719780,109.1,28.8
15032011020,1877983,5719789,12.1,21.0
15032011021,1877976,5719800,30.5,18.7
15032011022,1877962,5719801,12.2,21.5
15032011023,1877947,5719783,137.3,20.8
15032011024,1877947,5719775,4423.8,23.5
15032011025,1877945,5719759,33.6,21.3
15032011026,1877939,5719767,274.6,23.4
15032011027,1877945,5719766,460.7,26.8
15032011028,1877943,5719768,42.7,22.0
15032011029,1877944,5719774,183.1,22.7
15032011030,1877939,5719783,173.9,24.7
