MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
275,1827681,5662278,228.48,18.7
276,1827685,5662270,297.02,11.3
277,1827679,5662265,667.67,57.5
278,1827676,5662259,3932.39,65.5
279,1827674,5662252,614.36,52.9
280,1827673,5662248,1871.00,61.4
281,1827673,5662243,627.05,35.0
282,1827671,5662237,1259.18,34.7
283,1827669,5662233,332.57,28.8
284,1827669,5662227,462.04,41.2
285,1827667,5662222,888.53,25.4
286,1827667,5662216,1528.28,35.2
287,1827665,5662213,3160.64,54.3
288,1827664,5662206,83.78,41.6
289,1827663,5662200,2366.04,82.8
290,1827663,5662195,1264.26,55.1
291,1827663,5662190,1124.63,12.4
292,1827664,5662185,1769.45,16.5
293,1827666,5662189,421.42,13.9
294,1827666,5662190,1020.54,23.1
295,1827661,5662193,482.35,13
296,1827659,5662198,5605.37,17.5
297,1827658,5662202,1551.12,24.1
298,1827658,5662204,352.87,22.2
299,1827659,5662209,1175.40,33.5
300,1827660,5662214,30.46,20.4
301,1827663,5662219,299.56,26.8
302,1827665,5662223,1990.31,19.1
303,1827666,5662226,517.89,27.8
304,1827666,5662232,588.97,27.2
305,1827667,5662238,1124.63,41.9
306,1827669,5662244,2185.79,49.5
307,1827667,5662249,637.20,46.6
308,1827665,5662253,1436.88,43.6
309,1827668,5662254,2447.27,48.3
310,1827672,5662257,1084.01,62.2
311,1827673,5662261,3919.70,75.2
312,1827677,5662265,682.90,31.6
313,1827678,5662271,1282.03,65.2
314,1827674,5662285,441.73,39.7
315,1827673,5662285,510.27,35.4
316,1827670,5662289,1028.16,51.7
317,1827668,5662293,340.18,29.6
318,1827666,5662302,177.71,56.4
319,1827667,5662306,1213.48,52.2
320,1827669,5662311,309.72,32.0
321,1827667,5662316,540.74,52.1
322,1827665,5662320,266.56,51.4
323,1827663,5662328,1236.33,57.3
324,1827662,5662332,680.36,44.4
325,1827659,5662337,1327.72,56.1
326,1827655,5662340,317.33,55.8
327,1827651,5662344,723.52,40.3
328,1827646,5662347,718.44,50.7
329,1827643,5662370,512.81,29.3
330,1827641,5662373,1119.55,65.0
331,1827494,5662377,2.46,0.8
332,1827463,5662401,0.00,3.8
333,1827330,5662386,761.02,24.5
334,1827335,5662387,1124.87,48.7
335,1827347,5662389,325.42,38.5
336,1827352,5662392,133.24,44.6
337,1827358,5662393,1347.79,41.4
338,1827353,5662390,904.51,37.8
339,1827354,5662378,38.44,16.7
