MeasurementNumber,NZTM-mE,NZTM-mN,CO2
442,1900728,5759021,40.6
201,1900542,5759261,21.1
203,1900491,5759507,0.6
204,1900469,5759706,3.1
205,1900440,5760022,9.5
712,1902563,5759728,6.9
713,1902484,5759877,2.0
714,1902407,5760031,8.5
715,1902312,5760180,23.3
219,1902573,5760568,0.2
725,1902952,5759515,9.6
726,1903112,5759602,3.5
727,1903021,5759752,9.6
728,1902933,5759890,7.1
704,1902140,5760113,10.2
705,1902194,5759957,11.6
220,1899645,5759985,38.7
713,1902484,5759877,22.7
250,1902037,5759507,11.0
247,1902094,5759349,35.3
251,1902180,5759232,48.8
246,1901939,5759125,38.0
249,1901905,5759294,46.3
248,1901866,5759442,60.4
245,1901673,5759194,26.6
252,1901731,5759069,32.3
255,1901821,5758789,27.1
256,1901703,5758626,71.3
259,1901090,5758472,32.7
253,1900941,5758600,29.2
224,1900890,5758771,65.6
266,1900854,5758941,58.1
223,1900734,5759181,67.9
221,1900534,5759065,49.7
226,1900688,5759707,81.3
229,1900165,5759541,66.5
228,1900153,5759742,172.0
227,1900094,5759930,106.0
230,1899837,5759961,65.5
242,1899867,5759806,126.9
238,1899725,5759716,84.2
231,1899551,5759642,31.4
235,1899433,5759470,125.4
232,1899575,5759488,63.1
237,1899777,5759558,133.8
243,1899944,5759689,106.8
244,1899961,5759425,87.1
240,1899811,5759356,225.1
239,1899665,5759138,177.7
233,1899607,5759283,164.1
234,1899445,5759229,170.7
287,1899420,5759116,141.4
236,1899540,5759013,188.5
276,1899754,5758878,184.5
274,1900080,5758634,99.7
263,1900617,5758387,122.5
613,1901493,5757657,66.0
639,1901628,5757649,6.8
289,1901823,5757743,-0.7
