MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
205,1905833,5762457,0.00,16.0
206,1905821,5762445,0.00,17.4
207,1905803,5762448,8.09,15.8
208,1905785,5762449,0.00,15.6
209,1905777,5762429,10.98,15.2
210,1905772,5762414,0.00,16.9
211,1905754,5762416,0.00,16.0
212,1905741,5762415,0.03,17.4
213,1905737,5762404,0.00,18.8
214,1905728,5762393,0.00,18.7
215,1905726,5762378,0.00,20.3
216,1905692,5762394,0.29,19.7
217,1905682,5762383,0.87,18.4
218,1905700,5762352,2.88,19.3
219,1905709,5762338,0.00,19.7
220,1905718,5762303,1.44,20.2
221,1905724,5762202,0.00,16.4
222,1905795,5762312,0.00,18.3
223,1905927,5762381,0.00,19.6
224,1906060,5762433,0.86,19.4
225,1906179,5762557,0.00,20.6
226,1906310,5762587,4.32,19.3
227,1906493,5762662,0.58,17.4
228,1907308,5763037,0.00,21.4
229,1907423,5763456,0.86,19.4
230,1907432,5763493,0.00,20.5
231,1907439,5763519,1.15,21.0
232,1907446,5763530,0.29,20.3
233,1907472,5763514,0.00,20.9
234,1907500,5763508,0.00,19.2
235,1907512,5763545,0.00,21.0
236,1907546,5763551,0.00,21.3
237,1907609,5763584,0.00,20.0
238,1907676,5763621,1.72,20.9
240,1907716,5763599,0.00,20.4
241,1907762,5763588,0.00,20.8
242,1907818,5763611,0.00,19.8
243,1907857,5763646,0.00,23.4
244,1907198,5763061,0.00,26.7
245,1907150,5763145,1.29,26.7
246,1906954,5763147,0.00,25.2
247,1906863,5763045,0.39,20.1
248,1906677,5762981,1.13,20.8
249,1906465,5762856,1.61,22.2
250,1906406,5762845,0.00,27.2
251,1906096,5762758,0.00,21.9
252,1906150,5762641,3.69,26.1
253,1906192,5762656,2.84,24.4
254,1906240,5762676,0.00,25.6
255,1906283,5762666,0.00,24.4
256,1906313,5762675,0.00,25.2
257,1906319,5762722,1.64,22.9
258,1906342,5762686,161.01,22.9
259,1906359,5762677,84.34,24.3
260,1906379,5762678,37.16,23.3
261,1906387,5762684,25.34,24.2
262,1906400,5762713,299.25,26.8
263,1906417,5762734,472.46,31.4
264,1906424,5762738,621.86,29.9
265,1906356,5762660,32.40,17.4
266,1906284,5762651,1.85,24.0
267,1907122,5763173,0.00,16.1
268,1907129,5763174,0.00,15.5
269,1907119,5763189,0.00,17.6
270,1907100,5763192,0.00,16.5
271,1907079,5763204,0.00,17.5
272,1907067,5763200,0.00,14.8
273,1907069,5763235,0.00,14.9
274,1907059,5763251,0.00,14.6
275,1907085,5763331,0.00,13.1
276,1907046,5763350,0.00,14.6
277,1907029,5763388,0.00,14.8
278,1906967,5763422,0.00,16.1
279,1906997,5763424,0.00,17.5
280,1907048,5763431,0.00,16
281,1907086,5763455,0.00,15.8
282,1907115,5763483,0.00,16.5
283,1907152,5763562,0.00,15
284,1907163,5763537,0.00,11.3
285,1907154,5763514,0.00,15.3
286,1907156,5763490,0.00,14.2
287,1907196,5763474,0.00,15.1
288,1907202,5763433,0.00,16.5
289,1907208,5763384,0.00,15
290,1907205,5763348,0.00,14.9
291,1907185,5763254,0.00,11.1
292,1907189,5763258,0.00,12.5
293,1907195,5763262,0.00,17.5
294,1907205,5763265,0.00,19.9
295,1907239,5763288,0.00,16.6
296,1907312,5763290,0.00,19.8
297,1907328,5763309,0.00,18.3
298,1907356,5763329,0.00,19.3
299,1907345,5763361,0.00,18.4
300,1907680,5763642,0.00,12.4
301,1907715,5763673,0.00,11
302,1907772,5763691,0.00,11.7
303,1907812,5763677,0.00,18.4
304,1907835,5763663,0.00,17.3
