MeasurementNumber,NZTM-mE,NZTM-mN,CO2,GroundTemperature
2,1827575,5662501,477.20,27.7
3,1827553,5662507,0.00,7.1
4,1827535,5662505,0.00,7.0
5,1827514,5662508,0.00,7.5
7,1827484,5662509,0.00,6.5
8,1827468,5662506,0.00,7.3
9,1827460,5662506,1.54,8.1
10,1827441,5662509,0.00,9.1
11,1827429,5662514,0.00,9.2
12,1827413,5662520,0.00,7.6
13,1827397,5662530,0.00,11.8
14,1827385,5662551,25.94,13.8
16,1827386,5662549,323.61,29.6
17,1827371,5662541,1792.72,53.6
18,1827365,5662538,219.60,15.4
19,1827355,5662540,0.00,3.7
20,1827357,5662554,89.89,6.6
21,1827353,5662566,823.93,25.5
22,1827339,5662559,20.29,6.9
23,1827362,5662573,77.05,24.3
24,1827372,5662583,344.16,44.8
25,1827384,5662582,1286.75,44.6
26,1827404,5662578,278.41,21.6
27,1827421,5662572,17.98,9.1
28,1827438,5662565,145.11,8.4
29,1827453,5662561,7.71,8.3
30,1827469,5662560,2.05,7.6
31,1827488,5662560,177.99,11.3
32,1827508,5662563,2.31,8.1
33,1827526,5662563,17.98,18.1
35,1827508,5662579,610.76,39.8
36,1827491,5662580,97.08,42.6
37,1827475,5662583,69.35,20.3
38,1827456,5662587,441.50,20.4
39,1827440,5662586,446.90,28.6
40,1827428,5662591,945.16,37.5
41,1827414,5662598,41.61,15.7
42,1827400,5662603,17.98,13.3
43,1827383,5662607,83.73,18.9
44,1827422,5662620,2.57,11.8
45,1827441,5662611,30.05,18.6
46,1827457,5662609,10.27,18.4
47,1827467,5662607,24.40,23.0
48,1827484,5662609,182.10,46.7
49,1827500,5662608,277.90,33.7
50,1827514,5662605,538.84,32.2
51,1827530,5662603,45.97,23.9
52,1827547,5662601,71.66,19.1
53,1827491,5662546,18.49,20.0
54,1827469,5662545,292.79,26.3
55,1827577,5662474,0.00,7.4
