PeriodStart UTC,PeriodEnd UTC,ACC
2009-08-03T00:00:00Z,2012-07-20T01:29:59Z,Green
2012-07-20T01:30:00Z,2012-08-06T12:24:59Z,Yellow
2012-08-06T12:25:00Z,2012-08-06T22:59:59Z,Red
2012-08-06T23:00:00Z,2012-08-08T03:14:59Z,Orange
2012-08-08T03:15:00Z,2012-11-21T01:44:59Z,Yellow
2012-11-21T01:45:00Z,2012-11-21T05:29:59Z,Red
2012-11-21T05:30:00Z,2012-11-22T23:59:59Z,Orange
2012-11-23T00:00:00Z,2013-03-25T01:29:59Z,Yellow
2013-03-25T01:30:00Z,9999-01-01T00:00:00Z,Green
