segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupture time (s),length (m),width (m)
9,173.0077,-42.52879,16250.0,0.36987,247.3255,55.0,110.3036, ,2076.677,3051.936
8,172.961,-42.53167,16250.0,0.0,267.9854,55.0,180.0, ,1975.096,3051.936
6,173.0431,-42.49276,6944.4400000000005,0.39506,241.3895,70.0,117.7871, ,1929.235,2956.049
9,173.0862,-42.52442,13750.0,0.97041,247.3255,55.0,179.2802, ,2076.677,3051.936
9,173.0314,-42.52241,16250.0,0.26461,247.3255,55.0,155.5381, ,2076.677,3051.936
9,173.0989,-42.60478,1250.0,4.83121,247.3255,55.0,180.0, ,2076.677,3051.936
8,172.8875,-42.60969,3750.0,3.54496,267.9854,55.0,180.0, ,1975.096,3051.936
6,173.0377,-42.48458,9722.22,0.09951,241.3895,70.0,117.2611, ,1929.235,2956.05
8,172.8887,-42.54672,13750.0,0.70555,267.9854,55.0,180.0, ,1975.096,3051.936
8,172.937,-42.53144,16250.0,0.0,267.9854,55.0,180.0, ,1975.096,3051.936
10,173.1346,-42.54203,8750.0,3.77484,240.305,55.0,118.3242, ,1867.867,3051.936
10,173.095,-42.52164,13750.0,1.32194,240.305,55.0,100.3168, ,1867.867,3051.936
6,173.0485,-42.50094,4166.67,0.56222,241.3895,70.0,136.9787, ,1929.235,2956.05
10,173.1249,-42.52801,11250.0,3.00723,240.305,55.0,111.5242, ,1867.867,3051.936
9,173.0552,-42.51602,16250.0,0.3027,247.3255,55.0,178.5158, ,2076.677,3051.936
8,172.9129,-42.53121,16250.0,0.0499,267.9854,55.0,180.0, ,1975.096,3051.936
8,172.9113,-42.62566,1250.0,1.22185,267.9854,55.0,180.0, ,1975.096,3051.936
6,173.0642,-42.48517,6944.4400000000005,0.41079,241.3895,70.0,149.8411, ,1929.235,2956.049
10,173.1443,-42.55605,6250.0,3.99472,240.305,55.0,122.6158, ,1867.867,3051.936
10,173.1338,-42.57772,3750.0,2.66695,240.305,55.0,116.9737, ,1867.867,3051.936
16,173.1393,-42.54088,12500.0,0.29159,194.0362,60.0,90.0, ,1894.498,3207.502
6,173.0588,-42.47699,9722.22,0.08556,241.3895,70.0,153.8806, ,1929.235,2956.05
16,173.1206,-42.53675,15277.78,0.04241,194.0362,60.0,90.0, ,1894.498,3207.502
6,173.0323,-42.4764,12500.0,0.0,241.3895,70.0,180.0, ,1929.235,2956.05
10,173.1152,-42.51399,13750.0,1.94383,240.305,55.0,103.9714, ,1867.867,3051.936
9,173.0789,-42.50963,16250.0,0.26791,247.3255,55.0,180.0, ,2076.677,3051.936
9,172.9767,-42.52037,18750.0,0.18482,247.3255,55.0,90.0, ,2076.677,3051.936
8,172.8889,-42.53098,16250.0,0.15184,267.9854,55.0,180.0, ,1975.096,3051.936
8,173.0093,-42.51636,18750.0,0.0,267.9854,55.0,180.0, ,1975.096,3051.936
16,173.158,-42.54501,9722.22,0.70644,194.0362,60.0,90.0, ,1894.498,3207.502
8,172.9853,-42.51615,18750.0,0.0,267.9854,55.0,180.0, ,1975.096,3051.936
9,173.0004,-42.51399,18750.0,0.05253,247.3255,55.0,90.0, ,2076.677,3051.936
10,173.0853,-42.50761,16250.0,0.58833,240.305,55.0,94.40754, ,1867.867,3051.936
10,173.1548,-42.53438,8750.0,4.69995,240.305,55.0,117.2463, ,1867.867,3051.936
9,173.1227,-42.59838,1250.0,3.74524,247.3255,55.0,180.0, ,2076.677,3051.936
8,172.9612,-42.51593,18750.0,0.0,267.9854,55.0,180.0, ,1975.096,3051.936
6,173.0695,-42.49334,4166.67,0.8943,241.3895,70.0,164.0264, ,1929.235,2956.05
10,173.1451,-42.52036,11250.0,3.78534,240.305,55.0,110.5891, ,1867.867,3051.936
9,173.0242,-42.50761,18750.0,0.0,247.3255,55.0,180.0, ,2076.677,3051.936
16,173.1019,-42.53261,18055.56,0.0,194.0362,60.0,180.0, ,1894.498,3207.501
16,173.1459,-42.52456,12500.0,0.55914,194.0362,60.0,90.0, ,1894.498,3207.502
6,173.0538,-42.50911,1388.8899999999999,0.65891,241.3895,70.0,179.5632, ,1929.235,2956.05
6,173.0852,-42.47757,6944.4400000000005,0.44326,241.3895,70.0,169.6944, ,1929.235,2956.049
16,173.1272,-42.52042,15277.78,0.09362,194.0362,60.0,90.0, ,1894.498,3207.502
6,173.0534,-42.46881,12500.0,0.0,241.3895,70.0,180.0, ,1929.235,2956.05
8,172.9372,-42.5157,18750.0,0.0,267.9854,55.0,180.0, ,1975.096,3051.936
6,173.0799,-42.4694,9722.22,0.0721,241.3895,70.0,180.0, ,1929.235,2956.05
8,172.8872,-42.62543,1250.0,2.53392,267.9854,55.0,180.0, ,1975.096,3051.936
9,173.0479,-42.50122,18750.0,0.00686,247.3255,55.0,180.0, ,2076.677,3051.936
10,173.1645,-42.5484,6250.0,4.93234,240.305,55.0,121.8658, ,1867.867,3051.936
16,173.1646,-42.52869,9722.22,1.33628,194.0362,60.0,90.0, ,1894.498,3207.502
8,172.9132,-42.51547,18750.0,0.0,267.9854,55.0,180.0, ,1975.096,3051.936
10,173.1354,-42.50635,13750.0,2.50879,240.305,55.0,103.4434, ,1867.867,3051.936
10,173.154,-42.57007,3750.0,3.8111,240.305,55.0,120.7601, ,1867.867,3051.936
6,173.027,-42.46822,15277.78,0.0,241.3895,70.0,180.0, ,1929.235,2956.05
10,173.1055,-42.49997,16250.0,0.94485,240.305,55.0,96.522, ,1867.867,3051.936
16,173.1085,-42.51629,18055.56,0.0,194.0362,60.0,180.0, ,1894.498,3207.501
16,173.1767,-42.54914,6944.4400000000005,1.12552,194.0362,60.0,96.7874, ,1894.498,3207.501
16,173.1525,-42.50823,12500.0,0.74162,194.0362,60.0,90.0, ,1894.498,3207.502
16,173.1338,-42.5041,15277.78,0.13264,194.0362,60.0,90.0, ,1894.498,3207.502
8,172.8892,-42.51524,18750.0,0.0,267.9854,55.0,180.0, ,1975.096,3051.936
6,173.0745,-42.46122,12500.0,0.0,241.3895,70.0,180.0, ,1929.235,2956.05
16,173.0832,-42.52847,20833.33,0.0,194.0362,60.0,180.0, ,1894.498,3207.502
9,173.0716,-42.49483,18750.0,0.00658,247.3255,55.0,180.0, ,2076.677,3051.936
6,173.0906,-42.48575,4166.67,1.19639,241.3895,70.0,174.208, ,1929.235,2956.05
10,173.1751,-42.52673,8750.0,5.22554,240.305,55.0,112.6731, ,1867.867,3051.936
6,173.048,-42.46064,15277.78,0.0,241.3895,70.0,180.0, ,1929.235,2956.05
10,173.1654,-42.51271,11250.0,4.28916,240.305,55.0,106.5862, ,1867.867,3051.936
6,173.1063,-42.46997,6944.4400000000005,0.42047,241.3895,70.0,179.7142, ,1929.235,2956.049
10,173.0756,-42.49359,18750.0,0.13335,240.305,55.0,90.0, ,1867.867,3051.936
6,173.1009,-42.4618,9722.22,0.04156,241.3895,70.0,180.0, ,1929.235,2956.05
10,173.1435,-42.59174,1250.0,2.85027,240.305,55.0,110.9489, ,1867.867,3051.936
6,173.0749,-42.50152,1388.8899999999999,1.54744,241.3895,70.0,180.0, ,1929.235,2956.05
9,172.9694,-42.50557,21250.0,0.0,247.3255,55.0,180.0, ,2076.677,3051.936
16,173.1711,-42.51236,9722.22,1.76804,194.0362,60.0,90.0, ,1894.498,3207.502
8,173.0095,-42.50062,21250.0,0.0,267.9854,55.0,180.0, ,1975.096,3051.936
8,172.9855,-42.5004,21250.0,0.0,267.9854,55.0,180.0, ,1975.096,3051.936
