This corresponds to Model B of Holden et al. (2017), Geophysical Research Letters, http://dx.doi.org/10.1002/2017GL075301.
    segment           lat             lon          depth(km)       slip(m)     risetime(s)    rupturetime(s)       strike           dip             rake         patchlength(m)     patchwidth(m)   
               1      -42.400487       173.72805       6.6850283            1.02               2               37.41             248              61             120                  3000                3000
               1      -42.410774        173.6944       6.6850283            1.36               2                35.8             248              61             120                  3000                3000
               1      -42.421053       173.66061       6.6850283            1.61               2                34.2             248              61             120                  3000                3000
               1      -42.431411       173.62693       6.6850283            1.84               2                32.6             248              61             120                  3000                3000
               1      -42.441669       173.59324       6.6850283            1.98               2               31.01             248              61             120                  3000                3000
               1      -42.452008       173.55954       6.6850283            2.12               2               29.41             248              61             120                  3000                3000
               1      -42.462247       173.52582       6.6850283            2.25               2               27.82             248              61             120                  3000                3000
               1      -42.472476        173.4921       6.6850283            2.37               2               26.23             248              61             120                  3000                3000
               1      -42.482785       173.45825       6.6850283            2.48               2               24.65             248              61             120                  3000                3000
               1      -42.492994        173.4245       6.6850283            2.58               2               23.06             248              61             120                  3000                3000
               1      -42.503284       173.39074       6.6850283            2.63               2               21.49             248              61             120                  3000                3000
               1      -42.513473       173.35698       6.6850283            2.67               2               19.92             248              61             120                  3000                3000
               1      -42.523653        173.3232       6.6850283            2.75               2               18.36             248              61             120                  3000                3000
               1      -42.533912       173.28941       6.6850283            2.79               2               16.81             248              61             120                  3000                3000
               1      -42.544072       173.25561       6.6850283            2.82               2               15.27             248              61             120                  3000                3000
               1      -42.554222       173.22168       6.6850283            2.85               2               13.75             248              61             120                  3000                3000
               1      -42.564452       173.18785       6.6850283            2.85               2               14.19             248              61             120                  3000                3000
               1      -42.574582       173.15402       6.6850283            2.88               2               12.73             248              61             120                  3000                3000
               1      -42.584792       173.12018       6.6850283            2.88               2               11.32             248              61             120                  3000                3000
               1      -42.594902       173.08632       6.6850283            2.85               2                9.99             248              61             120                  3000                3000
               1      -42.605002       173.05246       6.6850283            2.85               2                8.79             248              61             120                  3000                3000
               1      -42.615183       173.01846       6.6850283            2.82               2                7.79             248              61             120                  3000                3000
               1      -42.625263       172.98457       6.6850283            2.79               2                7.11             248              61             120                  3000                3000
               1      -42.635333       172.95067       6.6850283            2.75               2                6.89             248              61             120                  3000                3000
               1      -42.645483       172.91676       6.6850283            2.67               2                7.18             248              61             120                  3000                3000
               1      -42.655533       172.88284       6.6850283            2.63               2                7.91             248              61             120                  3000                3000
               1      -42.665664        172.8489       6.6850283            2.58               2                8.94             248              61             120                  3000                3000
