segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupture time (s),length (m),width (m)
1, , ,2956.3938,0.05181,69.0, ,-143.13, ,1000.0,1000.0
1, , ,3934.5438,0.06789,69.0, ,-153.06, ,1000.0,1000.0
1, , ,4912.6938,0.06732,69.0, ,-160.63, ,1000.0,1000.0
1, , ,5890.8338,0.05118,69.0, ,-166.86, ,1000.0,1000.0
1, , ,6868.983800000001,0.02643,69.0, ,-171.28, ,1000.0,1000.0
1, , ,7847.1338,0.00363,69.0, ,-156.23, ,1000.0,1000.0
1, , ,8825.2838,0.00713,69.0, ,-17.53, ,1000.0,1000.0
2, , ,1829.1388,0.18648,153.0, ,-36.64, ,1000.0,1000.0
2, , ,2658.1788000000006,0.27927,153.0, ,-21.4, ,1000.0,1000.0
2, , ,3487.2088,0.30311,153.0, ,-0.48, ,1000.0,1000.0
2, , ,4316.2488,0.29276,153.0, ,18.75, ,1000.0,1000.0
2, , ,5145.2888,0.25106,153.0, ,32.23, ,1000.0,1000.0
2, , ,5974.3288,0.18199,153.0, ,38.43, ,1000.0,1000.0
2, , ,6803.3588,0.1093,153.0, ,24.67, ,1000.0,1000.0
2, , ,7632.3988,0.1399,153.0, ,-24.18, ,1000.0,1000.0
2, , ,1829.1388,0.35788,153.0, ,-30.43, ,1000.0,1000.0
2, , ,2658.1788000000006,0.54216,153.0, ,-12.39, ,1000.0,1000.0
2, , ,3487.2088,0.63444,153.0, ,7.76, ,1000.0,1000.0
2, , ,4316.2488,0.63821,153.0, ,24.32, ,1000.0,1000.0
2, , ,5145.2888,0.55311,153.0, ,35.79, ,1000.0,1000.0
2, , ,5974.3288,0.40017,153.0, ,41.39, ,1000.0,1000.0
2, , ,6803.3588,0.23006,153.0, ,32.08, ,1000.0,1000.0
2, , ,7632.3988,0.20144,153.0, ,-16.29, ,1000.0,1000.0
2, , ,1829.1388,0.43755,153.0, ,-27.18, ,1000.0,1000.0
2, , ,2658.1788000000006,0.66975,153.0, ,-6.97, ,1000.0,1000.0
2, , ,3487.2088,0.81136,153.0, ,13.5, ,1000.0,1000.0
2, , ,4316.2488,0.83222,153.0, ,28.94, ,1000.0,1000.0
2, , ,5145.2888,0.72409,153.0, ,39.31, ,1000.0,1000.0
2, , ,5974.3288,0.52395,153.0, ,44.21, ,1000.0,1000.0
2, , ,6803.3588,0.30608,153.0, ,35.32, ,1000.0,1000.0
2, , ,7632.3988,0.25723,153.0, ,-8.86, ,1000.0,1000.0
2, , ,1829.1388,0.52552,153.0, ,-21.89, ,1000.0,1000.0
2, , ,2658.1788000000006,0.7395,153.0, ,-4.73, ,1000.0,1000.0
2, , ,3487.2088,0.84354,153.0, ,15.17, ,1000.0,1000.0
2, , ,4316.2488,0.83836,153.0, ,30.65, ,1000.0,1000.0
2, , ,5145.2888,0.71592,153.0, ,40.88, ,1000.0,1000.0
2, , ,5974.3288,0.51559,153.0, ,45.11, ,1000.0,1000.0
2, , ,6803.3588,0.32455,153.0, ,34.37, ,1000.0,1000.0
2, , ,7632.3988,0.33268,153.0, ,-0.87, ,1000.0,1000.0
2, , ,1829.1388,0.67024,153.0, ,-10.49, ,1000.0,1000.0
2, , ,2658.1788000000006,0.82712,153.0, ,-1.96, ,1000.0,1000.0
2, , ,3487.2088,0.81742,153.0, ,12.76, ,1000.0,1000.0
2, , ,4316.2488,0.72484,153.0, ,26.96, ,1000.0,1000.0
2, , ,5145.2888,0.57317,153.0, ,37.06, ,1000.0,1000.0
2, , ,5974.3288,0.39741,153.0, ,40.26, ,1000.0,1000.0
2, , ,6803.3588,0.27964,153.0, ,27.5, ,1000.0,1000.0
2, , ,7632.3988,0.36403,153.0, ,4.58, ,1000.0,1000.0
2, , ,1829.1388,0.73846,153.0, ,0.51, ,1000.0,1000.0
2, , ,2658.1788000000006,0.85606,153.0, ,2.17, ,1000.0,1000.0
