#ID,OT,Lat,Lon,Dep,NrStaMLv,NrStaMLNZ20,MLv,MLNZ20,Ratio MLNZ20/MLv
2025p048899,2025-01-19T02:13:45.0Z,-38.45,175.90,169,18,17,2.41,2.32,.9626
2025p049038,2025-01-19T03:27:32.7Z,-39.07,178.42,26,7,7,2.29,2.15,.9388
2025p049057,2025-01-19T03:38:05.1Z,-41.80,174.00,13,19,17,2.61,2.50,.9578
2025p049099,2025-01-19T04:00:06.6Z,-40.14,176.43,13,12,11,1.63,1.46,.8957
2025p049100,2025-01-19T04:00:32.0Z,-38.58,176.04,5,9,6,1.55,1.41,.9096
2025p049129,2025-01-19T04:16:18.6Z,-39.16,175.24,95,3,5,1.18,1.62,1.372
2025p049316,2025-01-19T05:55:55.4Z,-39.46,175.95,11,24,22,2.09,1.84,.8803
2025p049327,2025-01-19T06:02:02.6Z,-39.54,175.72,47,3,3,0.65,0.75,1.153
2025p049387,2025-01-19T06:34:05.0Z,-39.43,175.96,9,1,1,0.08,0.06,.7500
2025p049394,2025-01-19T06:37:08.6Z,-38.96,177.41,46,30,31,2.57,2.47,.9610
2025p049414,2025-01-19T06:47:47.9Z,-40.44,175.05,35,14,12,2.15,1.97,.9162
2025p049509,2025-01-19T07:38:52.8Z,-43.45,172.13,6,13,12,3.19,2.92,.9153
2025p049554,2025-01-19T08:03:07.9Z,-39.44,175.95,6,6,5,0.97,0.64,.6597
2025p049663,2025-01-19T09:00:27.9Z,-39.11,178.07,12,7,7,2.01,1.73,.8606
2025p049690,2025-01-19T09:15:14.2Z,-37.18,179.02,12,6,6,2.72,2.62,.9632
2025p049716,2025-01-19T09:29:00.8Z,-40.17,174.44,12,18,19,2.45,2.39,.9755
2025p049739,2025-01-19T09:41:15.3Z,-38.97,175.53,99,2,2,2.09,2.00,.9569
2025p049754,2025-01-19T09:49:04.2Z,-38.89,178.00,33,6,7,1.81,1.62,.8950
2025p049817,2025-01-19T10:22:46.6Z,-41.22,175.21,23,4,4,0.66,0.79,1.196
2025p049825,2025-01-19T10:26:56.2Z,-38.30,176.37,5,14,13,1.93,1.88,.9740
2025p049879,2025-01-19T10:55:53.7Z,-39.55,174.46,127,3,3,1.92,1.81,.9427
2025p049907,2025-01-19T11:10:54.7Z,-40.55,176.41,15,4,5,1.45,1.32,.9103
2025p049940,2025-01-19T11:28:21.4Z,-39.49,175.94,10,3,7,0.78,0.69,.8846
2025p049947,2025-01-19T11:31:40.5Z,-35.77,179.50,100,31,31,4.48,4.07,.9084
2025p049948,2025-01-19T11:32:26.2Z,-44.33,168.15,5,11,10,3.40,3.14,.9235
2025p049963,2025-01-19T11:40:49.1Z,-38.86,178.03,21,6,7,1.91,1.74,.9109
2025p050003,2025-01-19T12:01:40.0Z,-37.89,179.61,12,3,5,2.32,2.15,.9267
2025p050023,2025-01-19T12:12:17.0Z,-41.19,173.54,5,13,13,2.38,2.28,.9579
2025p050037,2025-01-19T12:19:53.9Z,-39.21,177.31,21,31,30,2.59,2.44,.9420
2025p050062,2025-01-19T12:33:30.3Z,-44.54,168.77,5,6,6,2.32,2.04,.8793
2025p050093,2025-01-19T12:49:45.7Z,-42.04,173.71,7,5,5,2.03,1.79,.8817
2025p050134,2025-01-19T13:11:22.1Z,-36.59,177.56,186,3,5,2.18,2.46,1.128
2025p050161,2025-01-19T13:26:08.8Z,-39.76,176.94,37,5,5,1.24,1.06,.8548
2025p050162,2025-01-19T13:26:50.8Z,-39.48,175.95,9,7,6,1.15,0.94,.8173
2025p050179,2025-01-19T13:35:29.7Z,-38.55,175.73,99,2,2,1.82,1.76,.9670
2025p050200,2025-01-19T13:46:55.4Z,-37.45,176.50,205,10,10,2.37,2.34,.9873
2025p050248,2025-01-19T14:13:09.0Z,-40.43,175.40,10,3,6,1.41,1.25,.8865
2025p050252,2025-01-19T14:14:32.0Z,-40.59,174.48,12,7,7,1.91,1.75,.9162
2025p050288,2025-01-19T14:33:49.5Z,-39.21,177.35,19,5,6,1.47,1.28,.8707
2025p050336,2025-01-19T14:59:00.7Z,-36.10,178.90,201,4,4,2.58,2.32,.8992
2025p050353,2025-01-19T15:08:27.3Z,-39.97,176.63,37,6,6,0.99,1.05,1.060
2025p050364,2025-01-19T15:14:44.2Z,-38.29,176.37,5,7,7,1.18,1.08,.9152
2025p050368,2025-01-19T15:16:11.9Z,-38.29,176.35,9,5,4,0.95,0.88,.9263
2025p050391,2025-01-19T15:28:21.0Z,-44.55,167.70,5,1,1,1.96,1.65,.8418
2025p050396,2025-01-19T15:31:18.8Z,-40.29,176.74,15,6,6,1.33,1.14,.8571
2025p050400,2025-01-19T15:34:17.2Z,-38.77,175.85,108,4,4,1.53,1.67,1.091
2025p050432,2025-01-19T15:51:24.9Z,-39.31,174.73,23,1,3,1.60,1.73,1.081
2025p050492,2025-01-19T16:22:32.3Z,-39.22,177.34,18,6,7,1.75,1.47,.8400
2025p050517,2025-01-19T16:35:41.2Z,-39.47,175.95,11,7,7,1.09,0.83,.7614
2025p050539,2025-01-19T16:47:10.9Z,-36.45,178.18,209,5,5,2.86,2.52,.8811
2025p050550,2025-01-19T16:53:24.6Z,-38.29,176.37,4,10,10,1.59,1.57,.9874
2025p050579,2025-01-19T17:08:57.8Z,-43.36,171.62,5,2,2,1.70,1.63,.9588
2025p050581,2025-01-19T17:09:50.0Z,-39.20,177.31,20,7,7,1.88,1.59,.8457
2025p050651,2025-01-19T17:48:15.1Z,-38.62,175.91,163,120,108,3.90,3.92,1.005
2025p050664,2025-01-19T17:54:18.6Z,-41.45,174.47,40,5,5,1.66,1.78,1.072
2025p050701,2025-01-19T18:13:38.3Z,-37.85,176.31,166,1,1,1.80,1.94,1.077
2025p050703,2025-01-19T18:15:04.6Z,-38.70,177.97,26,14,14,2.18,2.07,.9495
2025p050716,2025-01-19T18:21:36.5Z,-43.68,171.06,5,3,3,1.81,1.50,.8287
2025p050851,2025-01-19T19:33:19.8Z,-37.16,176.79,208,10,10,2.63,2.54,.9657
2025p050905,2025-01-19T20:02:22.5Z,-38.13,176.26,5,6,6,1.67,1.75,1.047
2025p050928,2025-01-19T20:14:39.2Z,-38.13,176.26,4,8,8,1.68,1.79,1.065
2025p051003,2025-01-19T20:54:46.3Z,-42.98,171.75,5,13,12,2.41,2.23,.9253
2025p051035,2025-01-19T21:11:34.6Z,-37.83,176.62,117,4,6,2.30,2.12,.9217
2025p051053,2025-01-19T21:21:13.1Z,-39.22,177.38,19,2,2,2.12,1.82,.8584
2025p051213,2025-01-19T22:47:05.9Z,-38.34,176.24,7,13,12,1.65,1.69,1.024
2025p051218,2025-01-19T22:49:10.0Z,-43.56,171.84,5,2,2,1.34,1.35,1.007
2025p051248,2025-01-19T23:04:54.0Z,-38.49,175.85,136,29,28,2.29,2.25,.9825
2025p051266,2025-01-19T23:13:29.1Z,-32.57,-179.58,100,10,10,4.45,3.89,.8741
2025p051274,2025-01-19T23:19:30.2Z,-39.73,174.18,125,15,15,2.36,2.23,.9449
2025p051311,2025-01-19T23:38:33.0Z,-38.68,175.69,138,3,4,1.57,1.87,1.191
2025p051355,2025-01-20T00:02:12.3Z,-43.16,172.08,5,6,6,2.72,2.50,.9191
2025p051363,2025-01-20T00:06:43.4Z,-39.37,177.07,25,9,9,1.53,1.33,.8692
