This corresponds to Model A of Holden et al. (2017), Geophysical Research Letters, http://dx.doi.org/10.1002/2017GL075301.
     segment             lat                lon            depth (km)           slip (m)         rise_time (s)    rupture time (s)        strike              dip               rake         patch length (m)       patch width (m)    
                9          -42.61117          173.07510            1.25000              5.84977           3.86981            6.71636          247.32550          55.00000         180.00000           2076.67700             3051.93600
                8          -42.57820          172.88810            8.75000              2.72247           3.00000            6.72985          267.98540          55.00000         180.00000           1975.09600             3051.93600
                9          -42.53921          173.09350           11.25000              2.06753           3.00000            6.73729          247.32550          55.00000         178.27500           2076.67700             3051.93600
               10          -42.54968          173.11440            8.75000              2.62970           3.00000            6.84852          240.30500          55.00000         114.20190           1867.86700             3051.93600
                8          -42.59394          172.88780            6.25000              3.52277           3.00305            6.91693          267.98540          55.00000         180.00000           1975.09600             3051.93600
                9          -42.53081          173.06240           13.75000              1.04138           3.00000            6.96303          247.32550          55.00000         173.63670           2076.67700             3051.93600
                8          -42.56246          172.88840           11.25000              1.64310           3.00000            7.24551          267.98540          55.00000         180.00000           1975.09600             3051.93600
               10          -42.56370          173.12410            6.25000              2.75661           3.00000            7.27614          240.30500          55.00000         118.42010           1867.86700             3051.93600
               10          -42.53566          173.10470           11.25000              2.10182           3.00000            7.27638          240.30500          55.00000         107.61290           1867.86700             3051.93600
                8          -42.54696          172.91270           13.75000              0.41125           3.00000            7.29370          267.98540          55.00000         180.00000           1975.09600             3051.93600
                9          -42.53517          172.98400           16.25000              0.71493           3.00000            7.33337          247.32550          55.00000          92.45347           2076.67700             3051.93600
                8          -42.62590          172.93530            1.25000              0.50289           3.00000            7.34291          267.98540          55.00000         180.00000           1975.09600             3051.93600
                8          -42.53210          173.00900           16.25000              0.00000           3.00000            7.36631          267.98540          55.00000         180.00000           1975.09600             3051.93600
                9          -42.58359          173.11540            3.75000              4.45387           3.37667            7.38651          247.32550          55.00000         179.39120           2076.67700             3051.93600
                8          -42.53189          172.98500           16.25000              0.00000           3.00000            7.44057          267.98540          55.00000         180.00000           1975.09600             3051.93600
                9          -42.52879          173.00770           16.25000              0.36987           3.00000            7.48519          247.32550          55.00000         110.30360           2076.67700             3051.93600
                8          -42.53167          172.96100           16.25000              0.00000           3.00000            7.66165          267.98540          55.00000         180.00000           1975.09600             3051.93600
                6          -42.49276          173.04310            6.94444              0.39506           3.00000            7.68097          241.38950          70.00000         117.78710           1929.23500             2956.04900
                9          -42.52442          173.08620           13.75000              0.97041           3.00000            7.76400          247.32550          55.00000         179.28020           2076.67700             3051.93600
                9          -42.52241          173.03140           16.25000              0.26461           3.00000            7.84238          247.32550          55.00000         155.53810           2076.67700             3051.93600
                9          -42.60478          173.09890            1.25000              4.83121           3.51680            7.91735          247.32550          55.00000         180.00000           2076.67700             3051.93600
                8          -42.60969          172.88750            3.75000              3.54496           3.01249            7.95657          267.98540          55.00000         180.00000           1975.09600             3051.93600
                6          -42.48458          173.03770            9.72222              0.09951           3.00000            8.01011          241.38950          70.00000         117.26110           1929.23500             2956.05000
                8          -42.54672          172.88870           13.75000              0.70555           3.00000            8.01242          267.98540          55.00000         180.00000           1975.09600             3051.93600
                8          -42.53144          172.93700           16.25000              0.00000           3.00000            8.04746          267.98540          55.00000         180.00000           1975.09600             3051.93600
               10          -42.54203          173.13460            8.75000              3.77484           3.10863            8.05285          240.30500          55.00000         118.32420           1867.86700             3051.93600
               10          -42.52164          173.09500           13.75000              1.32194           3.00000            8.11350          240.30500          55.00000         100.31680           1867.86700             3051.93600
                6          -42.50094          173.04850            4.16667              0.56222           3.00000            8.26341          241.38950          70.00000         136.97870           1929.23500             2956.05000
               10          -42.52801          173.12490           11.25000              3.00723           3.00000            8.35113          240.30500          55.00000         111.52420           1867.86700             3051.93600
                9          -42.51602          173.05520           16.25000              0.30270           3.00000            8.36299          247.32550          55.00000         178.51580           2076.67700             3051.93600
                8          -42.53121          172.91290           16.25000              0.04990           3.00000            8.52179          267.98540          55.00000         180.00000           1975.09600             3051.93600
                8          -42.62566          172.91130            1.25000              1.22185           3.00000            8.55229          267.98540          55.00000         180.00000           1975.09600             3051.93600
                6          -42.48517          173.06420            6.94444              0.41079           3.00000            8.57593          241.38950          70.00000         149.84110           1929.23500             2956.04900
               10          -42.55605          173.14430            6.25000              3.99472           3.19789            8.59383          240.30500          55.00000         122.61580           1867.86700             3051.93600
               10          -42.57772          173.13380            3.75000              2.66695           3.00000            8.60742          240.30500          55.00000         116.97370           1867.86700             3051.93600
               16          -42.54088          173.13930           12.50000              0.29159           3.00000            8.71288          194.03620          60.00000          90.00000           1894.49800             3207.50200
                6          -42.47699          173.05880            9.72222              0.08556           3.00000            8.82106          241.38950          70.00000         153.88060           1929.23500             2956.05000
               16          -42.53675          173.12060           15.27778              0.04241           3.00000            8.82226          194.03620          60.00000          90.00000           1894.49800             3207.50200
                6          -42.47640          173.03230           12.50000              0.00000           3.00000            8.88511          241.38950          70.00000         180.00000           1929.23500             2956.05000
               10          -42.51399          173.11520           13.75000              1.94383           3.00000            9.01631          240.30500          55.00000         103.97140           1867.86700             3051.93600
                9          -42.50963          173.07890           16.25000              0.26791           3.00000            9.04399          247.32550          55.00000         180.00000           2076.67700             3051.93600
                9          -42.52037          172.97670           18.75000              0.18482           3.00000            9.05594          247.32550          55.00000          90.00000           2076.67700             3051.93600
                8          -42.53098          172.88890           16.25000              0.15184           3.00000            9.06281          267.98540          55.00000         180.00000           1975.09600             3051.93600
                8          -42.51636          173.00930           18.75000              0.00000           3.00000            9.09830          267.98540          55.00000         180.00000           1975.09600             3051.93600
               16          -42.54501          173.15800            9.72222              0.70644           3.00000            9.14181          194.03620          60.00000          90.00000           1894.49800             3207.50200
                8          -42.51615          172.98530           18.75000              0.00000           3.00000            9.15957          267.98540          55.00000         180.00000           1975.09600             3051.93600
                9          -42.51399          173.00040           18.75000              0.05253           3.00000            9.19152          247.32550          55.00000          90.00000           2076.67700             3051.93600
               10          -42.50761          173.08530           16.25000              0.58833           3.00000            9.26611          240.30500          55.00000          94.40754           1867.86700             3051.93600
               10          -42.53438          173.15480            8.75000              4.69995           3.46870            9.27572          240.30500          55.00000         117.24630           1867.86700             3051.93600
                9          -42.59838          173.12270            1.25000              3.74524           3.09642            9.31359          247.32550          55.00000         180.00000           2076.67700             3051.93600
                8          -42.51593          172.96120           18.75000              0.00000           3.00000            9.31610          267.98540          55.00000         180.00000           1975.09600             3051.93600
                6          -42.49334          173.06950            4.16667              0.89430           3.00000            9.32698          241.38950          70.00000         164.02640           1929.23500             2956.05000
               10          -42.52036          173.14510           11.25000              3.78534           3.11295            9.45267          240.30500          55.00000         110.58910           1867.86700             3051.93600
                9          -42.50761          173.02420           18.75000              0.00000           3.00000            9.45785          247.32550          55.00000         180.00000           2076.67700             3051.93600
               16          -42.53261          173.10190           18.05556              0.00000           3.00000            9.47878          194.03620          60.00000         180.00000           1894.49800             3207.50100
               16          -42.52456          173.14590           12.50000              0.55914           3.00000            9.49027          194.03620          60.00000          90.00000           1894.49800             3207.50200
                6          -42.50911          173.05380            1.38889              0.65891           3.00000            9.51150          241.38950          70.00000         179.56320           1929.23500             2956.05000
                6          -42.47757          173.08520            6.94444              0.44326           3.00000            9.54674          241.38950          70.00000         169.69440           1929.23500             2956.04900
               16          -42.52042          173.12720           15.27778              0.09362           3.00000            9.54950          194.03620          60.00000          90.00000           1894.49800             3207.50200
                6          -42.46881          173.05340           12.50000              0.00000           3.00000            9.56240          241.38950          70.00000         180.00000           1929.23500             2956.05000
                8          -42.51570          172.93720           18.75000              0.00000           3.00000            9.62936          267.98540          55.00000         180.00000           1975.09600             3051.93600
                6          -42.46940          173.07990            9.72222              0.07210           3.00000            9.68226          241.38950          70.00000         180.00000           1929.23500             2956.05000
                8          -42.62543          172.88720            1.25000              2.53392           3.00000            9.88775          267.98540          55.00000         180.00000           1975.09600             3051.93600
                9          -42.50122          173.04790           18.75000              0.00686           3.00000            9.89544          247.32550          55.00000         180.00000           2076.67700             3051.93600
               10          -42.54840          173.16450            6.25000              4.93234           3.55342            9.92331          240.30500          55.00000         121.86580           1867.86700             3051.93600
               16          -42.52869          173.16460            9.72222              1.33628           3.00000            9.93607          194.03620          60.00000          90.00000           1894.49800             3207.50200
                8          -42.51547          172.91320           18.75000              0.00000           3.00000            9.94904          267.98540          55.00000         180.00000           1975.09600             3051.93600
