SEGMENT,lat,lon,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH,rise_time,RUPTURE TIME
1,-42.452008,173.55954,6685.0283,2.12,248,61,120,3000,3000,2,29.41
1,-42.462247,173.52582,6685.0283,2.25,248,61,120,3000,3000,2,27.82
1,-42.472476,173.4921,6685.0283,2.37,248,61,120,3000,3000,2,26.23
1,-42.482785,173.45825,6685.0283,2.48,248,61,120,3000,3000,2,24.65
1,-42.492994,173.4245,6685.0283,2.58,248,61,120,3000,3000,2,23.06
1,-42.503284,173.39074,6685.0283,2.63,248,61,120,3000,3000,2,21.49
1,-42.513473,173.35698,6685.0283,2.67,248,61,120,3000,3000,2,19.92
1,-42.523653,173.3232,6685.0283,2.75,248,61,120,3000,3000,2,18.36
1,-42.533912,173.28941,6685.0283,2.79,248,61,120,3000,3000,2,16.81
1,-42.544072,173.25561,6685.0283,2.82,248,61,120,3000,3000,2,15.27
1,-42.554222,173.22168,6685.0283,2.85,248,61,120,3000,3000,2,13.75
1,-42.564452,173.18785,6685.0283,2.85,248,61,120,3000,3000,2,14.19
1,-42.574582,173.15402,6685.0283,2.88,248,61,120,3000,3000,2,12.73
1,-42.584792,173.12018,6685.0283,2.88,248,61,120,3000,3000,2,11.32
1,-42.594902,173.08632,6685.0283,2.85,248,61,120,3000,3000,2,9.99
1,-42.605002,173.05246,6685.0283,2.85,248,61,120,3000,3000,2,8.79
1,-42.615183,173.01846,6685.0283,2.82,248,61,120,3000,3000,2,7.79
1,-42.625263,172.98457,6685.0283,2.79,248,61,120,3000,3000,2,7.11
1,-42.635333,172.95067,6685.0283,2.75,248,61,120,3000,3000,2,6.89
1,-42.645483,172.91676,6685.0283,2.67,248,61,120,3000,3000,2,7.18
1,-42.655533,172.88284,6685.0283,2.63,248,61,120,3000,3000,2,7.91
1,-42.665664,172.8489,6685.0283,2.58,248,61,120,3000,3000,2,8.94
1,-42.675694,172.81496,6685.0283,2.48,248,61,120,3000,3000,2,10.17
1,-42.685714,172.78089,6685.0283,2.37,248,61,120,3000,3000,2,11.51
1,-42.695814,172.74692,6685.0283,2.25,248,61,120,3000,3000,2,12.92
1,-42.705814,172.71295,6685.0283,2.12,248,61,120,3000,3000,2,14.39
1,-42.715894,172.67896,6685.0283,1.98,248,61,120,3000,3000,2,15.88
1,-42.725874,172.64496,6685.0283,1.84,248,61,120,3000,3000,2,17.41
1,-42.735843,172.61095,6685.0283,1.61,248,61,120,3000,3000,2,18.95
1,-42.37799,173.75488,9308.8867,0.84,248,61,120,3000,3000,2,38.84
1,-42.388376,173.72124,9308.8867,1.28,248,61,120,3000,3000,2,37.23
1,-42.398661,173.68759,9308.8867,1.53,248,61,120,3000,3000,2,35.62
1,-42.409027,173.65392,9308.8867,1.76,248,61,120,3000,3000,2,34.01
1,-42.419294,173.62025,9308.8867,1.91,248,61,120,3000,3000,2,32.4
1,-42.42955,173.58656,9308.8867,2.12,248,61,120,3000,3000,2,30.79
1,-42.439887,173.55275,9308.8867,2.25,248,61,120,3000,3000,2,29.18
1,-42.450124,173.51904,9308.8867,2.37,248,61,120,3000,3000,2,27.58
1,-42.460441,173.48532,9308.8867,2.48,248,61,120,3000,3000,2,25.97
