SEGMENT,lat,lon,DEPTH,STRIKE,DIP,RAKE,flag,SLIP,WIDTH,LENGTH
1,-37.592991,179.715912,52000,74.505,18.206,72.141,1,0.512,5000,10000
1,-37.635311,179.696503,52000,22.023,19.833,13.081,1,0.461,5000,10000
1,-37.677631,179.677078,52000,107.311,84.392,-116.432,1,0.411,5000,10000
1,-37.71994,179.657623,52000,356.689,25.465,-26.737,0,0.368,5000,10000
1,-37.762249,179.638153,52000,339.222,21.601,-43.537,0,0.295,5000,10000
1,-37.804562,179.618668,52000,107.963,73.945,-100.707,1,0.195,5000,10000
1,-37.254292,179.870377,42000,100.447,86.772,-120.153,1,0.135,5000,10000
1,-37.296638,179.851135,42000,20.212,26.763,11.379,1,0.277,5000,10000
1,-37.338982,179.831894,42000,0.479,25.439,-5.707,1,0.375,5000,10000
1,-37.381321,179.812607,42000,343.368,16.862,-11.36,0,0.481,5000,10000
1,-37.42366,179.79332,42000,244.045,89.371,89.303,0,0.606,5000,10000
1,-37.466,179.774002,42000,147.415,5.318,-179.895,1,0.699,5000,10000
1,-37.508331,179.754654,42000,146.665,6.255,-178.093,1,0.708,5000,10000
1,-37.550659,179.735306,42000,234.741,89.031,84.827,0,0.635,5000,10000
1,-37.592991,179.715912,42000,239.91,88.507,90.848,0,0.604,5000,10000
1,-37.635311,179.696503,42000,-23.098,12.644,-3.966,1,0.614,5000,10000
1,-37.677631,179.677078,42000,337.799,18.71,-11.594,0,0.578,5000,10000
1,-37.71994,179.657623,42000,85.548,81.356,-109.173,1,0.475,5000,10000
1,-37.762249,179.638153,42000,84.959,77.444,-109.767,1,0.374,5000,10000
1,-37.804562,179.618668,42000,81,75.169,-112.228,1,0.213,5000,10000
1,-37.254292,179.870377,32000,16.818,38.191,16.69,1,0.119,5000,10000
1,-37.296638,179.851135,32000,15.598,37.035,16.556,1,0.23,5000,10000
1,-37.338982,179.831894,32000,-1.414,27.447,7.786,1,0.361,5000,10000
1,-37.381321,179.812607,32000,343.105,23.306,-1.461,0,0.52,5000,10000
1,-37.42366,179.79332,32000,68.899,86.984,-110.647,1,0.68,5000,10000
1,-37.466,179.774002,32000,65.764,85.897,-109.099,1,0.795,5000,10000
1,-37.508331,179.754654,32000,64.296,85.367,-108.525,1,0.864,5000,10000
1,-37.550659,179.735306,32000,63.502,85.23,-108.42,1,0.882,5000,10000
1,-37.592991,179.715912,32000,64.206,85.031,-108.819,1,0.859,5000,10000
1,-37.635311,179.696503,32000,67.388,84.846,-109.504,1,0.833,5000,10000
1,-37.677631,179.677078,32000,70.107,83.221,-113.291,1,0.742,5000,10000
1,-37.71994,179.657623,32000,70.38,81.875,-117.147,1,0.625,5000,10000
1,-37.762249,179.638153,32000,71.343,77.518,-122.875,1,0.477,5000,10000
1,-37.804562,179.618668,32000,74.964,71.449,-127.805,1,0.266,5000,10000
1,-37.254292,179.870377,22000,53.542,17.09,22.175,1,0.124,5000,10000
1,-37.296638,179.851135,22000,45.478,21.193,25.311,1,0.231,5000,10000
1,-37.338982,179.831894,22000,25.822,22.294,20.893,1,0.291,5000,10000
1,-37.381321,179.812607,22000,266.842,86.11,109.304,1,0.376,5000,10000
1,-37.42366,179.79332,22000,352.898,17.711,4.062,0,0.472,5000,10000
1,-37.466,179.774002,22000,341.106,17.609,-1.314,0,0.567,5000,10000
1,-37.508331,179.754654,22000,67.51,88.396,-108.841,1,0.651,5000,10000
1,-37.550659,179.735306,22000,64.789,87.663,-110.626,1,0.708,5000,10000
1,-37.592991,179.715912,22000,62.5,87.808,-111.532,1,0.737,5000,10000
1,-37.635311,179.696503,22000,59.834,89.4,-110.823,1,0.722,5000,10000
1,-37.677631,179.677078,22000,329.992,23.194,-0.693,1,0.646,5000,10000
1,-37.71994,179.657623,22000,329.33,26.917,-4.029,1,0.536,5000,10000
1,-37.762249,179.638153,22000,325.52,32.907,-12.408,1,0.389,5000,10000
1,-37.804562,179.618668,22000,62.715,81.893,-122.337,1,0.206,5000,10000
1,-37.254292,179.870377,12000,38.48,24.082,37.391,1,0.124,5000,10000
1,-37.296638,179.851135,12000,34.666,23.4,32.33,1,0.217,5000,10000
1,-37.338982,179.831894,12000,30.365,23.29,30.798,1,0.267,5000,10000
1,-37.381321,179.812607,12000,-89.666,80.633,110.987,1,0.282,5000,10000
1,-37.42366,179.79332,12000,263.056,81.221,110.516,1,0.289,5000,10000
1,-37.466,179.774002,12000,252.897,82.405,109.476,1,0.31,5000,10000
1,-37.508331,179.754654,12000,349.773,19.601,15.77,0,0.358,5000,10000
1,-37.550659,179.735306,12000,240.937,86.999,109.279,0,0.403,5000,10000
1,-37.592991,179.715912,12000,240.016,88.585,109.615,0,0.434,5000,10000
1,-37.635311,179.696503,12000,238.704,88.779,110.242,0,0.426,5000,10000
1,-37.677631,179.677078,12000,239.412,89.407,112.684,0,0.388,5000,10000
1,-37.71994,179.657623,12000,60.876,88.715,-114.572,1,0.328,5000,10000
1,-37.762249,179.638153,12000,62.979,84.142,-117.518,1,0.255,5000,10000
1,-37.804562,179.618668,12000,64.068,84.563,-116.052,1,0.117,5000,10000
