segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupture time (s),length (m),width (m)
1, , ,5015.30762,0.02,54, ,118.459,3.281,1000,1000
1, , ,5015.30762,0.0,54, ,118.459,3.345,1000,1000
1, , ,5015.30762,0.0,54, ,118.459,3.424,1000,1000
1, , ,5015.30762,0.0,54, ,118.459,3.515,1000,1000
1, , ,5015.30762,0.0,54, ,118.459,3.619,1000,1000
1, , ,5015.30762,0.0,54, ,118.459,3.734,1000,1000
1, , ,5015.30762,0.0,54, ,118.459,3.858,1000,1000
1, , ,5921.61523,0.0,54, ,118.459,3.639,1000,1000
1, , ,5921.61523,0.0,54, ,118.459,3.511,1000,1000
1, , ,5921.61523,0.0,54, ,118.459,3.392,1000,1000
1, , ,5921.61523,0.0,54, ,118.459,3.286,1000,1000
1, , ,5921.61523,0.0,54, ,118.459,3.192,1000,1000
1, , ,5921.61523,0.03,54, ,118.459,3.111,1000,1000
1, , ,5921.61523,0.11,54, ,118.459,3.046,1000,1000
1, , ,5921.61523,0.29,54, ,118.459,2.997,1000,1000
1, , ,5921.61523,0.52,54, ,118.459,2.964,1000,1000
1, , ,5921.61523,0.63,54, ,118.459,2.949,1000,1000
1, , ,5921.61523,0.53,54, ,118.459,2.951,1000,1000
1, , ,5921.61523,0.31,54, ,118.459,2.971,1000,1000
1, , ,5921.61523,0.12,54, ,118.459,3.008,1000,1000
1, , ,5921.61523,0.03,54, ,118.459,3.061,1000,1000
1, , ,5921.61523,0.0,54, ,118.459,3.13,1000,1000
1, , ,5921.61523,0.0,54, ,118.459,3.214,1000,1000
1, , ,5921.61523,0.0,54, ,118.459,3.311,1000,1000
1, , ,5921.61523,0.0,54, ,118.459,3.421,1000,1000
1, , ,5921.61523,0.0,54, ,118.459,3.542,1000,1000
1, , ,5921.61523,0.0,54, ,118.459,3.673,1000,1000
1, , ,6827.92285,0.0,54, ,118.459,3.457,1000,1000
1, , ,6827.92285,0.0,54, ,118.459,3.322,1000,1000
1, , ,6827.92285,0.0,54, ,118.459,3.197,1000,1000
1, , ,6827.92285,0.0,54, ,118.459,3.083,1000,1000
1, , ,6827.92285,0.0,54, ,118.459,2.983,1000,1000
1, , ,6827.92285,0.04,54, ,118.459,2.897,1000,1000
1, , ,6827.92285,0.14,54, ,118.459,2.826,1000,1000
1, , ,6827.92285,0.37,54, ,118.459,2.773,1000,1000
1, , ,6827.92285,0.65,54, ,118.459,2.738,1000,1000
1, , ,6827.92285,0.8,54, ,118.459,2.721,1000,1000
1, , ,6827.92285,0.67,54, ,118.459,2.724,1000,1000
1, , ,6827.92285,0.39,54, ,118.459,2.745,1000,1000
1, , ,6827.92285,0.16,54, ,118.459,2.785,1000,1000
1, , ,6827.92285,0.04,54, ,118.459,2.842,1000,1000
1, , ,6827.92285,0.0,54, ,118.459,2.917,1000,1000
1, , ,6827.92285,0.0,54, ,118.459,3.006,1000,1000
1, , ,6827.92285,0.0,54, ,118.459,3.11,1000,1000
1, , ,6827.92285,0.0,54, ,118.459,3.227,1000,1000
1, , ,6827.92285,0.0,54, ,118.459,3.355,1000,1000
1, , ,6827.92285,0.0,54, ,118.459,3.493,1000,1000
1, , ,7734.23096,0.0,54, ,118.459,3.281,1000,1000
1, , ,7734.23096,0.0,54, ,118.459,3.138,1000,1000
1, , ,7734.23096,0.0,54, ,118.459,3.005,1000,1000
1, , ,7734.23096,0.0,54, ,118.459,2.884,1000,1000
1, , ,7734.23096,0.0,54, ,118.459,2.777,1000,1000
1, , ,7734.23096,0.04,54, ,118.459,2.684,1000,1000
1, , ,7734.23096,0.16,54, ,118.459,2.608,1000,1000
1, , ,7734.23096,0.42,54, ,118.459,2.55,1000,1000
1, , ,7734.23096,0.75,54, ,118.459,2.512,1000,1000
1, , ,7734.23096,0.92,54, ,118.459,2.494,1000,1000
1, , ,7734.23096,0.77,54, ,118.459,2.496,1000,1000
1, , ,7734.23096,0.45,54, ,118.459,2.52,1000,1000
1, , ,7734.23096,0.18,54, ,118.459,2.563,1000,1000
1, , ,7734.23096,0.05,54, ,118.459,2.625,1000,1000
1, , ,7734.23096,0.0,54, ,118.459,2.706,1000,1000
1, , ,7734.23096,0.0,54, ,118.459,2.802,1000,1000
1, , ,7734.23096,0.0,54, ,118.459,2.913,1000,1000
1, , ,7734.23096,0.0,54, ,118.459,3.037,1000,1000
1, , ,7734.23096,0.0,54, ,118.459,3.173,1000,1000
1, , ,7734.23096,0.0,54, ,118.459,3.319,1000,1000
1, , ,8640.53906,0.0,54, ,118.459,3.112,1000,1000
1, , ,8640.53906,0.0,54, ,118.459,2.96,1000,1000
1, , ,8640.53906,0.0,54, ,118.459,2.819,1000,1000
1, , ,8640.53906,0.0,54, ,118.459,2.69,1000,1000
1, , ,8640.53906,0.0,54, ,118.459,2.574,1000,1000
1, , ,8640.53906,0.05,54, ,118.459,2.474,1000,1000
1, , ,8640.53906,0.17,54, ,118.459,2.391,1000,1000
1, , ,8640.53906,0.44,54, ,118.459,2.328,1000,1000
1, , ,8640.53906,0.78,54, ,118.459,2.286,1000,1000
1, , ,8640.53906,0.96,54, ,118.459,2.266,1000,1000
1, , ,8640.53906,0.81,54, ,118.459,2.269,1000,1000
1, , ,8640.53906,0.47,54, ,118.459,2.295,1000,1000
1, , ,8640.53906,0.19,54, ,118.459,2.342,1000,1000
1, , ,8640.53906,0.05,54, ,118.459,2.41,1000,1000
1, , ,8640.53906,0.0,54, ,118.459,2.498,1000,1000
1, , ,8640.53906,0.0,54, ,118.459,2.602,1000,1000
1, , ,8640.53906,0.0,54, ,118.459,2.721,1000,1000
1, , ,8640.53906,0.0,54, ,118.459,2.854,1000,1000
1, , ,8640.53906,0.0,54, ,118.459,2.997,1000,1000
1, , ,8640.53906,0.0,54, ,118.459,3.151,1000,1000
1, , ,9546.8457,0.0,54, ,118.459,2.95,1000,1000
1, , ,9546.8457,0.0,54, ,118.459,2.79,1000,1000
1, , ,9546.8457,0.0,54, ,118.459,2.64,1000,1000
1, , ,9546.8457,0.0,54, ,118.459,2.501,1000,1000
1, , ,9546.8457,0.0,54, ,118.459,2.376,1000,1000
1, , ,9546.8457,0.04,54, ,118.459,2.267,1000,1000
1, , ,9546.8457,0.16,54, ,118.459,2.177,1000,1000
1, , ,9546.8457,0.42,54, ,118.459,2.108,1000,1000
