SEGMENT,lat,lon,NORTHING,EASTING,DEPTH,SLIP,STRIKE,DIP,RAKE,WIDTH,LENGTH,RUPTURE TIME
1,-43.5638,172.7431,2334.62891,2997.90381,2827.92285,0,75,65,154.777,1000,1000,3.016
1,-43.5638,172.7431,2593.44775,3963.82959,2827.92285,0,75,65,154.777,1000,1000,3.237
1,-43.5638,172.7431,2852.26685,4929.75537,2827.92285,0,75,65,154.777,1000,1000,3.467
1,-43.5638,172.7431,3111.08569,5895.68115,2827.92285,0,75,65,154.777,1000,1000,3.703
1,-43.5638,172.7431,3369.90454,6861.60791,2827.92285,0,75,65,154.777,1000,1000,3.944
1,-43.5638,172.7431,3628.72339,7827.53369,2827.92285,0,75,65,154.777,1000,1000,4.19
1,-43.5638,172.7431,3887.54272,8793.45996,2827.92285,0,75,65,154.777,1000,1000,4.439
1,-43.5638,172.7431,-1438.23511,-9449.75098,3734.23047,0,75,65,154.777,1000,1000,2.353
1,-43.5638,172.7431,-1179.41614,-8483.8252,3734.23047,0,75,65,154.777,1000,1000,2.16
1,-43.5638,172.7431,-920.597229,-7517.89893,3734.23047,0,75,65,154.777,1000,1000,1.991
1,-43.5638,172.7431,-661.77832,-6551.97314,3734.23047,0,75,65,154.777,1000,1000,1.853
1,-43.5638,172.7431,-402.959351,-5586.04736,3734.23047,0,75,65,154.777,1000,1000,1.756
1,-43.5638,172.7431,-144.140381,-4620.12109,3734.23047,0,75,65,154.777,1000,1000,1.709
1,-43.5638,172.7431,114.678467,-3654.19556,3734.23047,0,75,65,154.777,1000,1000,1.718
1,-43.5638,172.7431,373.497437,-2688.26978,3734.23047,0.04,75,65,154.777,1000,1000,2.189
1,-43.5638,172.7431,632.316406,-1722.34399,3734.23047,0.57,75,65,154.777,1000,1000,2.301
1,-43.5638,172.7431,891.135254,-756.417664,3734.23047,2.14,75,65,154.777,1000,1000,2.45
1,-43.5638,172.7431,1149.95435,209.508118,3734.23047,2.19,75,65,154.777,1000,1000,2.628
1,-43.5638,172.7431,1408.77319,1175.43384,3734.23047,0.61,75,65,154.777,1000,1000,2.827
1,-43.5638,172.7431,1667.59204,2141.35962,3734.23047,0.05,75,65,154.777,1000,1000,3.042
1,-43.5638,172.7431,1926.41113,3107.2854,3734.23047,0,75,65,154.777,1000,1000,2.862
1,-43.5638,172.7431,2185.22998,4073.21118,3734.23047,0,75,65,154.777,1000,1000,3.096
1,-43.5638,172.7431,2444.04907,5039.13721,3734.23047,0,75,65,154.777,1000,1000,3.337
1,-43.5638,172.7431,2702.86792,6005.06299,3734.23047,0,75,65,154.777,1000,1000,3.583
1,-43.5638,172.7431,2961.68677,6970.98975,3734.23047,0,75,65,154.777,1000,1000,3.832
1,-43.5638,172.7431,3220.50562,7936.91553,3734.23047,0,75,65,154.777,1000,1000,4.085
1,-43.5638,172.7431,3479.32495,8902.84082,3734.23047,0,75,65,154.777,1000,1000,4.341
1,-43.5638,172.7431,-1846.453,-9340.36914,4640.53809,0,75,65,154.777,1000,1000,2.184
1,-43.5638,172.7431,-1587.63403,-8374.44336,4640.53809,0,75,65,154.777,1000,1000,1.97
1,-43.5638,172.7431,-1328.81519,-7408.51758,4640.53809,0,75,65,154.777,1000,1000,1.777
1,-43.5638,172.7431,-1069.99622,-6442.5918,4640.53809,0,75,65,154.777,1000,1000,1.614
1,-43.5638,172.7431,-811.177246,-5476.66602,4640.53809,0,75,65,154.777,1000,1000,1.496
1,-43.5638,172.7431,-552.358276,-4510.73975,4640.53809,0,75,65,154.777,1000,1000,1.438
1,-43.5638,172.7431,-293.539429,-3544.81396,4640.53809,0,75,65,154.777,1000,1000,1.45
1,-43.5638,172.7431,-34.720459,-2578.88818,4640.53809,0.06,75,65,154.777,1000,1000,1.936
1,-43.5638,172.7431,224.098511,-1612.9624,4640.53809,0.81,75,65,154.777,1000,1000,2.07
1,-43.5638,172.7431,482.917358,-647.036072,4640.53809,3.02,75,65,154.777,1000,1000,2.244
1,-43.5638,172.7431,741.73645,318.889709,4640.53809,3.08,75,65,154.777,1000,1000,2.445
1,-43.5638,172.7431,1000.5553,1284.81543,4640.53809,0.86,75,65,154.777,1000,1000,2.664
1,-43.5638,172.7431,1259.37415,2250.74121,4640.53809,0.07,75,65,154.777,1000,1000,2.895
1,-43.5638,172.7431,1518.19324,3216.66699,4640.53809,0,75,65,154.777,1000,1000,2.729
1,-43.5638,172.7431,1777.01208,4182.59277,4640.53809,0,75,65,154.777,1000,1000,2.976
1,-43.5638,172.7431,2035.83118,5148.51855,4640.53809,0,75,65,154.777,1000,1000,3.227
1,-43.5638,172.7431,2294.6499,6114.44434,4640.53809,0,75,65,154.777,1000,1000,3.481
1,-43.5638,172.7431,2553.46875,7080.37109,4640.53809,0,75,65,154.777,1000,1000,3.739
1,-43.5638,172.7431,2812.2876,8046.29688,4640.53809,0,75,65,154.777,1000,1000,3.998
1,-43.5638,172.7431,3071.10693,9012.22266,4640.53809,0,75,65,154.777,1000,1000,4.259
1,-43.5638,172.7431,-2254.6709,-9230.9873,5546.84619,0,75,65,154.777,1000,1000,2.041
1,-43.5638,172.7431,-1995.85193,-8265.06152,5546.84619,0,75,65,154.777,1000,1000,1.806
1,-43.5638,172.7431,-1737.03296,-7299.13574,5546.84619,0,75,65,154.777,1000,1000,1.587
1,-43.5638,172.7431,-1478.21411,-6333.20996,5546.84619,0,75,65,154.777,1000,1000,1.393
1,-43.5638,172.7431,-1219.39514,-5367.28418,5546.84619,0,75,65,154.777,1000,1000,1.245
1,-43.5638,172.7431,-960.576172,-4401.35791,5546.84619,0,75,65,154.777,1000,1000,1.168
1,-43.5638,172.7431,-701.757324,-3435.43237,5546.84619,0,75,65,154.777,1000,1000,1.184
1,-43.5638,172.7431,-442.938354,-2469.50659,5546.84619,0.04,75,65,154.777,1000,1000,1.694
1,-43.5638,172.7431,-184.119385,-1503.58081,5546.84619,0.5,75,65,154.777,1000,1000,1.86
1,-43.5638,172.7431,74.699463,-537.65448,5546.84619,1.85,75,65,154.777,1000,1000,2.063
1,-43.5638,172.7431,333.518555,428.271301,5546.84619,1.89,75,65,154.777,1000,1000,2.289
1,-43.5638,172.7431,592.337402,1394.19702,5546.84619,0.53,75,65,154.777,1000,1000,2.528
1,-43.5638,172.7431,851.15625,2360.1228,5546.84619,0.04,75,65,154.777,1000,1000,2.776
1,-43.5638,172.7431,1109.97534,3326.04858,5546.84619,0,75,65,154.777,1000,1000,2.622
1,-43.5638,172.7431,1368.79419,4291.97461,5546.84619,0,75,65,154.777,1000,1000,2.88
1,-43.5638,172.7431,1627.61328,5257.90039,5546.84619,0,75,65,154.777,1000,1000,3.14
1,-43.5638,172.7431,1886.43213,6223.82617,5546.84619,0,75,65,154.777,1000,1000,3.402
1,-43.5638,172.7431,2145.25098,7189.75293,5546.84619,0,75,65,154.777,1000,1000,3.665
1,-43.5638,172.7431,2404.06982,8155.67871,5546.84619,0,75,65,154.777,1000,1000,3.93
1,-43.5638,172.7431,2662.88916,9121.60449,5546.84619,0,75,65,154.777,1000,1000,4.196
1,-43.5638,172.7431,-2662.88867,-9121.60547,6453.15381,0,75,65,154.777,1000,1000,1.935
1,-43.5638,172.7431,-2404.06982,-8155.68018,6453.15381,0,75,65,154.777,1000,1000,1.68
1,-43.5638,172.7431,-2145.25073,-7189.75439,6453.15381,0,75,65,154.777,1000,1000,1.434
1,-43.5638,172.7431,-1886.43188,-6223.82861,6453.15381,0,75,65,154.777,1000,1000,1.205
1,-43.5638,172.7431,-1627.61292,-5257.90283,6453.15381,0,75,65,154.777,1000,1000,1.012
1,-43.5638,172.7431,-1368.79395,-4291.97656,6453.15381,0,75,65,154.777,1000,1000,0.899
1,-43.5638,172.7431,-1109.9751,-3326.05078,6453.15381,0,75,65,154.777,1000,1000,0.923
1,-43.5638,172.7431,-851.156128,-2360.125,6453.15381,0,75,65,154.777,1000,1000,1.069
1,-43.5638,172.7431,-592.337158,-1394.1991,6453.15381,0.13,75,65,154.777,1000,1000,1.684
1,-43.5638,172.7431,-333.518311,-428.272827,6453.15381,0.5,75,65,154.777,1000,1000,1.92
1,-43.5638,172.7431,-74.699219,537.652954,6453.15381,0.51,75,65,154.777,1000,1000,2.17
1,-43.5638,172.7431,184.119629,1503.57874,6453.15381,0.14,75,65,154.777,1000,1000,2.427
1,-43.5638,172.7431,442.938477,2469.50439,6453.15381,0,75,65,154.777,1000,1000,2.281
1,-43.5638,172.7431,701.757568,3435.43018,6453.15381,0,75,65,154.777,1000,1000,2.545
1,-43.5638,172.7431,960.576416,4401.35596,6453.15381,0,75,65,154.777,1000,1000,2.81
1,-43.5638,172.7431,1219.39551,5367.28174,6453.15381,0,75,65,154.777,1000,1000,3.077
1,-43.5638,172.7431,1478.21436,6333.20752,6453.15381,0,75,65,154.777,1000,1000,3.345
1,-43.5638,172.7431,1737.0332,7299.13428,6453.15381,0,75,65,154.777,1000,1000,3.613
1,-43.5638,172.7431,1995.85205,8265.06055,6453.15381,0,75,65,154.777,1000,1000,3.882
1,-43.5638,172.7431,2254.67139,9230.98633,6453.15381,0,75,65,154.777,1000,1000,4.151
1,-43.5638,172.7431,-3071.10669,-9012.22461,7359.46191,0,75,65,154.777,1000,1000,1.872
1,-43.5638,172.7431,-2812.28784,-8046.29834,7359.46191,0,75,65,154.777,1000,1000,1.603
1,-43.5638,172.7431,-2553.46875,-7080.37256,7359.46191,0,75,65,154.777,1000,1000,1.337
1,-43.5638,172.7431,-2294.6499,-6114.44678,7359.46191,0,75,65,154.777,1000,1000,1.076
1,-43.5638,172.7431,-2035.83093,-5148.521,7359.46191,0,75,65,154.777,1000,1000,0.827
1,-43.5638,172.7431,-1777.01196,-4182.59473,7359.46191,0,75,65,154.777,1000,1000,0.638
1,-43.5638,172.7431,-1518.19312,-3216.66895,7359.46191,0,75,65,154.777,1000,1000,0.685
1,-43.5638,172.7431,-1259.37415,-2250.74316,7359.46191,0,75,65,154.777,1000,1000,0.906
1,-43.5638,172.7431,-1000.55518,-1284.8175,7359.46191,0,75,65,154.777,1000,1000,1.161
1,-43.5638,172.7431,-741.736328,-318.891235,7359.46191,0.06,75,65,154.777,1000,1000,1.831
1,-43.5638,172.7431,-482.917236,647.034546,7359.46191,0.06,75,65,154.777,1000,1000,2.098
1,-43.5638,172.7431,-224.098389,1612.96033,7359.46191,0,75,65,154.777,1000,1000,1.96
1,-43.5638,172.7431,34.720459,2578.88623,7359.46191,0,75,65,154.777,1000,1000,2.23
1,-43.5638,172.7431,293.539551,3544.81201,7359.46191,0,75,65,154.777,1000,1000,2.5
1,-43.5638,172.7431,552.358398,4510.73779,7359.46191,0,75,65,154.777,1000,1000,2.771
1,-43.5638,172.7431,811.17749,5476.66357,7359.46191,0,75,65,154.777,1000,1000,3.041
1,-43.5638,172.7431,1069.99634,6442.58936,7359.46191,0,75,65,154.777,1000,1000,3.312
1,-43.5638,172.7431,1328.81519,7408.51611,7359.46191,0,75,65,154.777,1000,1000,3.583
1,-43.5638,172.7431,1587.63403,8374.44141,7359.46191,0,75,65,154.777,1000,1000,3.855
1,-43.5638,172.7431,1846.45337,9340.36719,7359.46191,0,75,65,154.777,1000,1000,4.126
1,-43.5638,172.7431,-3479.32446,-8902.84277,8265.76953,0,75,65,154.777,1000,1000,1.857
1,-43.5638,172.7431,-3220.50562,-7936.91699,8265.76953,0,75,65,154.777,1000,1000,1.586
1,-43.5638,172.7431,-2961.68652,-6970.99121,8265.76953,0,75,65,154.777,1000,1000,1.315
1,-43.5638,172.7431,-2702.86768,-6005.06543,8265.76953,0,75,65,154.777,1000,1000,1.044
1,-43.5638,172.7431,-2444.04883,-5039.13965,8265.76953,0,75,65,154.777,1000,1000,0.774
1,-43.5638,172.7431,-2185.22974,-4073.21338,8265.76953,0,75,65,154.777,1000,1000,0.515
1,-43.5638,172.7431,-1926.41089,-3107.2876,8265.76953,0,75,65,154.777,1000,1000,0.597
1,-43.5638,172.7431,-1667.59192,-2141.36182,8265.76953,0,75,65,154.777,1000,1000,0.863
1,-43.5638,172.7431,-1408.77295,-1175.43591,8265.76953,0,75,65,154.777,1000,1000,1.133
1,-43.5638,172.7431,-1149.9541,-209.509644,8265.76953,0,75,65,154.777,1000,1000,1.404
1,-43.5638,172.7431,-891.13501,756.416138,8265.76953,0,75,65,154.777,1000,1000,1.676
1,-43.5638,172.7431,-632.316162,1722.34192,8265.76953,0,75,65,154.777,1000,1000,1.947
1,-43.5638,172.7431,-373.497314,2688.26758,8265.76953,0,75,65,154.777,1000,1000,2.219
1,-43.5638,172.7431,-114.678223,3654.19336,8265.76953,0,75,65,154.777,1000,1000,2.49
1,-43.5638,172.7431,144.140625,4620.11914,8265.76953,0,75,65,154.777,1000,1000,2.762
1,-43.5638,172.7431,402.959717,5586.04492,8265.76953,0,75,65,154.777,1000,1000,3.034
1,-43.5638,172.7431,661.778564,6551.9707,8265.76953,0,75,65,154.777,1000,1000,3.305
1,-43.5638,172.7431,920.597412,7517.89746,8265.76953,0,75,65,154.777,1000,1000,3.577
1,-43.5638,172.7431,1179.41626,8483.82324,8265.76953,0,75,65,154.777,1000,1000,3.849
1,-43.5638,172.7431,1438.2356,9449.74902,8265.76953,0,75,65,154.777,1000,1000,4.12
1,-43.5638,172.7431,-3887.54224,-8793.46094,9172.07715,0,75,65,154.777,1000,1000,1.893
1,-43.5638,172.7431,-3628.72339,-7827.53516,9172.07715,0,75,65,154.777,1000,1000,1.63
1,-43.5638,172.7431,-3369.9043,-6861.60938,9172.07715,0,75,65,154.777,1000,1000,1.371
1,-43.5638,172.7431,-3111.08545,-5895.68359,9172.07715,0,75,65,154.777,1000,1000,1.122
1,-43.5638,172.7431,-2852.2666,-4929.75781,9172.07715,0,75,65,154.777,1000,1000,0.897
1,-43.5638,172.7431,-2593.44751,-3963.83154,9172.07715,0,75,65,154.777,1000,1000,0.75
1,-43.5638,172.7431,-2334.62866,-2997.90576,9172.07715,0,75,65,154.777,1000,1000,0.783
1,-43.5638,172.7431,-2075.80957,-2031.9801,9172.07715,0,75,65,154.777,1000,1000,0.967
1,-43.5638,172.7431,-1816.99072,-1066.05432,9172.07715,0,75,65,154.777,1000,1000,1.203
1,-43.5638,172.7431,-1558.17188,-100.128052,9172.07715,0,75,65,154.777,1000,1000,1.456
1,-43.5638,172.7431,-1299.35278,865.797729,9172.07715,0,75,65,154.777,1000,1000,1.717
1,-43.5638,172.7431,-1040.53394,1831.72351,9172.07715,0,75,65,154.777,1000,1000,1.981
1,-43.5638,172.7431,-781.715088,2797.64941,9172.07715,0,75,65,154.777,1000,1000,2.248
1,-43.5638,172.7431,-522.895996,3763.5752,9172.07715,0,75,65,154.777,1000,1000,2.515
1,-43.5638,172.7431,-264.077148,4729.50098,9172.07715,0,75,65,154.777,1000,1000,2.784
1,-43.5638,172.7431,-5.258057,5695.42676,9172.07715,0,75,65,154.777,1000,1000,3.054
