segment,lon (deg),lat (deg),depth (m),slip (m),strike (deg),dip (deg),rake (deg),rupture time (s),length (m),width (m)
1,166.438,-46.4212,52485.7186,0.12459,23.5,51.34,194.36, ,5000.0,5000.0
1,165.695,-46.1472,6350.7757,0.47208,23.5,13.37,145.98, ,5000.0,5000.0
1,165.752,-46.1645,7906.5447,0.91765,23.5,18.13,141.12, ,5000.0,5000.0
1,165.807,-46.1813,9769.2467,1.34543,23.5,21.87,140.96, ,5000.0,5000.0
1,165.862,-46.1978,11871.7091,1.68845,23.5,24.86,142.31, ,5000.0,5000.0
1,165.915,-46.2139,14167.4869,1.89646,23.5,27.33,144.46, ,5000.0,5000.0
1,165.967,-46.2297,16625.7292,1.94026,23.5,29.45,147.17, ,5000.0,5000.0
1,166.018,-46.2451,19227.8781,1.81576,23.5,31.36,150.42, ,5000.0,5000.0
1,166.068,-46.2603,21963.4445,1.5449,23.5,33.17,154.39, ,5000.0,5000.0
1,166.117,-46.2751,24828.0856,1.17292,23.5,34.95,159.76, ,5000.0,5000.0
1,166.166,-46.2897,27822.026,0.76356,23.5,36.77,168.87, ,5000.0,5000.0
1,166.212,-46.3039,30947.8406,0.40531,23.5,38.67,191.51, ,5000.0,5000.0
1,166.258,-46.3177,34206.8576,0.28142,23.5,40.65,249.47, ,5000.0,5000.0
1,166.302,-46.3311,37600.6372,0.40551,23.5,42.72,285.31, ,5000.0,5000.0
1,166.345,-46.344,41129.8659,0.49405,23.5,44.85,294.09, ,5000.0,5000.0
1,166.386,-46.3565,44791.1578,0.46065,23.5,47.03,293.58, ,5000.0,5000.0
1,166.426,-46.3685,48578.5848,0.28587,23.5,49.2,282.42, ,5000.0,5000.0
1,166.464,-46.3799,52485.7186,0.16623,23.5,51.34,182.78, ,5000.0,5000.0
1,165.72,-46.106,6350.7757,0.6332,23.5,13.37,144.35, ,5000.0,5000.0
1,165.777,-46.1233,7906.5447,1.20812,23.5,18.13,140.36, ,5000.0,5000.0
1,165.833,-46.1401,9769.2467,1.75983,23.5,21.87,140.41, ,5000.0,5000.0
1,165.888,-46.1566,11871.7091,2.20338,23.5,24.86,141.86, ,5000.0,5000.0
1,165.941,-46.1726,14167.4869,2.47478,23.5,27.33,144.09, ,5000.0,5000.0
1,165.993,-46.1884,16625.7292,2.5367,23.5,29.45,146.88, ,5000.0,5000.0
1,166.044,-46.2039,19227.8781,2.38348,23.5,31.36,150.2, ,5000.0,5000.0
1,166.094,-46.219,21963.4445,2.04248,23.5,33.17,154.15, ,5000.0,5000.0
1,166.143,-46.2339,24828.0856,1.57029,23.5,34.95,159.21, ,5000.0,5000.0
1,166.191,-46.2484,27822.026,1.04525,23.5,36.77,167.01, ,5000.0,5000.0
1,166.238,-46.2626,30947.8406,0.56577,23.5,38.67,184.36, ,5000.0,5000.0
1,166.284,-46.2764,34206.8576,0.31395,23.5,40.65,235.94, ,5000.0,5000.0
1,166.328,-46.2898,37600.6372,0.4205,23.5,42.72,283.07, ,5000.0,5000.0
1,166.371,-46.3028,41129.8659,0.53108,23.5,44.85,294.99, ,5000.0,5000.0
1,166.412,-46.3153,44791.1578,0.49922,23.5,47.03,295.07, ,5000.0,5000.0
1,166.452,-46.3272,48578.5848,0.29697,23.5,49.2,282.92, ,5000.0,5000.0
1,166.49,-46.3387,52485.7186,0.21036,23.5,51.34,171.79, ,5000.0,5000.0
1,165.746,-46.0648,6350.7757,0.79941,23.5,13.37,142.16, ,5000.0,5000.0
1,165.803,-46.082,7906.5447,1.50523,23.5,18.13,139.05, ,5000.0,5000.0
