PublicID,Date,Latitude,Longitude,strike1,dip1,rake1,strike2,dip2,rake2,ML,Mw,Mo,CD,NS,DC,Mxx,Mxy,Mxz,Myy,Myz,Mzz,VR,Tva,Tpl,Taz,Nva,Npl,Naz,Pva,Ppl,Paz,Method
2025p771776,2.02510E+13,-46.8492,166.2379,4,88,167,95,77,1,4.0,4.2,2.41E+22,27,7,35,75.78,-219.4,75.78,4.87,-48.86,-80.65,71,272.93,10,319,-89.28,78,178,-183.65,8,51,2
2025p793772,2.02510E+13,-37.6878,176.282,84,79,139,183,50,13,4.7,4.7,1.43E+23,292,27,100,-119.2,1079.0,-119.2,-204.5,109.2,323.7,67,1430.28,35,36,-1.3,48,253,-1428.98,19,140,2
2025p799449,2.02510E+13,-37.6951,176.6306,157,56,50,33,49,133,4.0,4.0,1.47E+22,184,19,5,-12.7,12.72,-12.7,-86.59,20.25,99.28,53,169.51,58,10,-80.68,32,182,-88.83,4,274,2
2025p806773,2.02510E+13,-39.5706,176.9226,137,63,-133,22,49,-35,4.5,4.3,3.29E+22,32,27,64,-135.4,95.48,-135.4,328.0,-49.42,-192.6,70,356.93,8,257,-64.4,38,161,-292.53,51,357,2
2025p808449,2.02510E+13,-37.6769,177.3453,239,65,107,21,30,56,3.9,4.0,1.06E+22,54,23,87,-30.86,52.6,-30.86,-43.56,23.87,74.42,58,102.67,65,180,6.94,16,52,-109.61,18,316,2
2025p821711,2.02511E+13,-42.6148,171.9541,87,87,-137,355,47,-2,4.8,4.3,3.91E+22,9,20,93,50.04,284.5,50.04,-26.41,10.74,-23.63,76,397.77,27,213,-14.2,47,90,-383.57,30,321,2
2025p829680,2.02511E+13,-38.1662,176.3814,337,72,-85,143,17,-103,4.3,4.4,5.64E+22,178,28,68,0.65,193.0,0.65,271.1,422.2,-271.8,73,606.43,27,64,-96.75,4,156,-509.68,62,254,2
2025p836054,2.02511E+13,-41.1768,174.487,237,55,-123,107,46,-51,5.1,4.5,8.00E+22,32,25,39,614.5,-51.48,614.5,34.24,-485.9,-648.7,85,626.39,5,351,274.79,27,258,-901.18,63,91,2
2025p848069,2.02511E+13,-38.8857,175.1535,59,65,131,173,47,34,4.6,4.9,2.45E+23,234,33,99,302.4,1308.0,302.4,-1676.0,-30.86,1373.0,74,2456.98,50,17,-7.69,37,219,-2449.29,11,120,2
2025p863881,2.02511E+13,-37.7318,177.1537,296,86,119,33,29,7,4.0,3.9,8.64E+21,64,22,78,-44.1,16.46,-44.1,36.23,-30.27,7.87,59,80.94,41,234,10.03,29,115,-90.96,35,2,2
2025p871278,2.02511E+13,-36.8926,178.7834,25,72,-94,219,17,-76,3.9,4.2,2.79E+22,4,15,57,88.76,-32.54,88.76,96.42,209.4,-185.2,71,240.22,28,119,65.57,4,27,-305.79,62,289,2
2025p876446,2.02511E+13,-43.9337,172.0621,299,80,-15,32,74,-170,4.0,3.8,6.97E+21,32,18,94,62.6,-30.86,62.6,-54.83,17.24,-7.77,40,70.72,5,347,-2.13,72,91,-68.59,18,255,2
2025p910674,2.02512E+13,-40.4755,176.2976,198,56,84,27,34,98,4.8,4.5,7.52E+22,20,26,97,-94.79,258.5,-94.79,-591.9,283.2,686.7,75,746.61,78,89,10.31,5,201,-756.92,11,292,2
2025p910731,2.02512E+13,-40.4421,176.3096,137,78,-21,231,68,-167,4.4,4.2,2.79E+22,24,26,76,253.7,37.57,253.7,-237.8,-124.1,-15.94,69,259.65,6,186,34.98,65,290,-294.62,24,93,2
2025p923559,2.02512E+13,-37.6823,176.2474,356,49,-104,197,42,-74,4.1,5.0,4.40E+23,224,27,74,-638.4,-654.5,-638.4,4559.0,535.0,-3921.0,54,4665.49,3,97,-598.54,11,6,-4066.95,79,203,2
2025p928596,2.02512E+13,-37.2225,176.7493,245,67,109,22,29,50,3.9,4.0,1.33E+22,258,21,56,-44.25,78.95,-44.25,-30.97,33.12,75.22,34,114.54,62,186,31.99,18,58,-146.53,20,321,2
2025p939956,2.02512E+13,-39.1141,177.995,178,74,-100,33,18,-56,3.9,3.9,9.64E+21,16,25,61,18.74,-14.61,18.74,37.88,-80.28,-56.62,61,84.49,29,277,20.57,10,181,-105.06,59,74,2
2025p941901,2.02512E+13,-40.3874,175.871,67,46,-84,239,43,-95,4.4,4.1,1.63E+22,30,29,77,134.5,-76.07,134.5,17.01,-4.21,-151.5,76,172.13,2,154,-19.71,4,244,-152.42,86,42,2
2025p946056,2.02512E+13,-41.3244,173.0556,132,78,167,224,78,11,4.2,4.4,4.78E+22,66,22,64,-516.0,26.47,-516.0,397.2,90.95,118.8,46,425.08,17,88,91.76,73,270,-516.84,0,178,2
2025p969626,2.02512E+13,-40.6288,176.0933,188,84,-81,310,9,-147,4.7,4.5,6.55E+22,15,28,92,-47.03,67.64,-47.03,151.0,-630.7,-104.0,76,667.04,39,271,-25.24,8,7,-641.8,50,107,2
2025p975688,2.02512E+13,-45.2299,167.0271,194,74,138,296,50,19,4.0,3.7,4.75E+21,44,14,87,16.05,-26.77,16.05,-32.58,23.79,16.53,50,45.89,39,148,3.06,47,358,-48.95,15,251,2
2025p985153,2.02512E+13,-40.1601,174.3799,182,77,-61,293,31,-155,4.1,4.2,2.70E+22,94,29,34,58.15,106.9,58.15,52.67,-207.9,-110.8,58,205.55,27,250,100.61,28,355,-306.16,49,123,2
2026p014588,2.02601E+13,-45.1765,167.431,261,56,47,140,52,135,4.3,3.9,8.28E+21,144,15,99,-68.83,-35.92,-68.83,12.78,34.45,56.04,61,82.95,55,113,-0.32,34,288,-82.63,3,20,2
2026p020083,2.02601E+13,-37.7726,176.2872,165,85,59,67,30,170,4.4,4.2,2.92E+22,206,26,81,50.86,125.2,50.86,-95.42,233.9,44.56,74,305.49,42,47,-28.44,30,169,-277.05,33,281,2
2026p021114,2.02601E+13,-39.8381,174.5202,124,76,58,13,33,154,5.4,5.0,4.03E+23,104,29,95,836.8,-1388.0,836.8,-2431.0,1303.0,1595.0,82,4071.58,49,1,-92.43,30,133,-3979.15,25,239,2
2026p033598,2.02601E+13,-40.578,176.084,11,86,81,262,9,160,4.6,4.2,2.29E+22,14,29,90,-25.02,32.66,-25.02,-4.36,-221.0,29.38,75,234.4,47,273,-11.46,9,12,-222.94,41,110,2
2026p062136,2.02601E+13,-41.6242,174.261,245,83,-65,349,25,-164,3.9,3.7,4.20E+21,16,15,46,-2.62,-20.57,-2.62,7.78,-19.43,-5.15,53,46.84,34,315,-12.72,24,63,-34.12,46,181,2
2026p062367,2.02601E+13,-45.3563,166.6637,113,68,56,354,39,144,3.9,4.0,1.44E+22,27,10,84,-14.3,-75.09,-14.3,-69.32,0.26,83.62,74,150.07,54,341,-11.94,31,127,-138.13,16,228,2
2026p070370,2.02601E+13,-40.4536,174.7854,271,59,96,79,31,79,4.5,4.0,1.17E+22,15,30,90,-99.43,8.24,-99.43,-5.4,-8.64,104.8,74,119.4,75,199,-5.94,5,88,-113.45,14,357,2
2026p091845,2.02602E+13,-41.6349,174.245,214,66,152,316,64,26,4.4,4.1,1.66E+22,23,26,62,105.7,-24.38,105.7,-178.6,8.44,72.87,68,146.31,36,175,34.39,54,357,-180.7,1,265,2
2026p101368,2.02602E+13,-44.7754,167.0235,309,79,118,58,30,21,4.2,3.7,4.80E+21,30,15,80,-30.31,-0.46,-30.31,14.21,-30.74,16.09,56,50.32,48,250,-5.03,28,124,-45.29,29,17,2
2026p104330,2.02602E+13,-40.737,174.0714,143,61,-38,254,56,-144,4.2,3.8,5.38E+21,56,26,81,47.09,25.68,47.09,-17.66,-22.75,-29.43,53,56.22,3,200,-5.29,43,292,-50.93,47,107,2
2026p125233,2.02602E+13,-40.749,174.5633,274,64,151,17,64,28,4.2,4.1,1.61E+22,48,26,99,-80.32,121.5,-80.32,21.16,-65.04,59.16,26,161.67,37,236,-0.46,53,56,-161.21,0,326,2
2026p140531,2.02602E+13,-46.3078,166.102,151,61,75,0,31,115,5.5,4.8,1.75E+23,19,12,93,-38.22,-349.0,-38.22,-1394.0,721.1,1433.0,87,1779.5,70,31,-60.07,13,158,-1719.43,16,252,2
2026p155292,2.02602E+13,-45.0814,167.4199,107,49,114,251,45,63,4.6,4.3,3.00E+22,136,18,64,-324.5,2.55,-324.5,80.37,62.98,244.1,63,266.23,71,84,58.99,19,271,-325.22,2,180,2
2026p166399,2.02603E+13,-38.1564,176.5189,11,84,-134,275,44,-8,4.0,4.4,5.37E+22,132,23,46,172.6,-314.6,172.6,-135.7,398.2,-36.87,46,438.96,26,134,160.5,44,17,-599.45,35,244,2
2026p189537,2.02603E+13,-43.4448,173.5122,117,58,-58,248,43,-130,4.3,4.0,1.10E+22,26,17,88,108.7,8.78,108.7,-26.53,-42.35,-82.19,66,113.28,8,186,-6.83,26,280,-106.45,62,80,2
2026p193918,2.02603E+13,-44.8786,167.501,214,49,-117,72,47,-61,3.9,3.9,8.71E+21,44,12,98,52.3,-47.36,52.3,23.86,-24.04,-76.15,60,87.57,1,323,-0.94,20,233,-86.62,70,56,2
2026p214015,2.02603E+13,-45.1139,167.3883,128,70,142,232,55,23,5.0,4.4,4.37E+22,106,15,44,-467.4,-27.92,-467.4,261.6,112.1,205.8,63,352.32,40,85,137.11,49,285,-489.43,10,184,2
2026p216388,2.02603E+13,-41.1724,175.4343,265,82,-23,358,66,-172,4.2,3.9,8.33E+21,66,22,37,-16.59,-69.47,-16.59,2.48,22.43,14.11,69,64.54,11,314,29.52,65,70,-94.06,22,220,2
2026p216882,2.02603E+13,-42.4039,173.7369,47,61,81,245,29,105,4.0,3.7,4.19E+21,10,18,48,-22.77,25.11,-22.77,-5.19,-15.01,27.96,66,34.5,72,297,12.18,8,52,-46.68,16,144,2
2026p221690,2.02603E+13,-41.6093,174.2858,156,80,-32,252,57,-168,4.3,3.8,6.53E+21,16,24,39,34.98,34.25,34.98,-35.39,-42.36,0.41,65,51.25,15,208,22.29,56,321,-73.53,30,110,2
2026p223345,2.02603E+13,-37.3514,177.5981,66,72,65,303,29,143,4.1,4.0,1.07E+22,120,20,49,-62.54,-18.48,-62.54,1.02,-58.56,61.52,42,119.04,56,306,-30.31,23,74,-88.73,24,175,2
2026p238013,2.02603E+13,-41.6076,174.2816,127,54,78,326,36,105,4.1,3.8,6.59E+21,8,19,94,-27.67,-33.6,-27.67,-32.35,7.83,60.02,68,64.88,77,0,2.06,9,134,-66.94,9,226,2
